"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","redlist","status","hab","ecoregion"
"44",417566,417566,771569,"Genus","Catillopecten","Iredale, 1939",196008,1,1,"Mollusca","Pectinoida","Propeamussiidae","Catillopecten","Bivalvia",NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"45",418174,418174,418170,"Species","Centrobranchus nigroocellatus","(Günther, 1873)",126584,1,1,"Chordata","Myctophiformes","Myctophidae","Centrobranchus","Actinopteri","Centrobranchus nigroocellatus",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"46",418226,418226,741274,"Genus","Centropages","Krøyer, 1849",104159,1,1,"Arthropoda","Calanoida","Centropagidae","Centropages",NA,NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"47",418230,418230,418226,"Species","Centropages bradyi","Wheeler, 1900",104491,1,1,"Arthropoda","Calanoida","Centropagidae","Centropages",NA,"Centropages bradyi",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"48",418237,418237,418226,"Species","Centropages furcatus","(Dana, 1849)",104495,1,1,"Arthropoda","Calanoida","Centropagidae","Centropages",NA,"Centropages furcatus",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"49",418711,418711,418669,"Species","Ceratium fusus","(Ehrenberg) Dujardin, 1841",109951,1,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Dinophyceae","Ceratium fusus",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"50",418716,418716,418669,"Species","Ceratium gibberum","Gourret, 1883",109953,1,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Dinophyceae","Ceratium gibberum",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"51",419124,419124,857266,"Genus","Cerithiella","Verrill, 1882",137763,2,1,"Mollusca","Caenogastropoda incertae sedis","Newtoniellidae","Cerithiella","Gastropoda",NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"52",419338,419338,770024,"Species","Cetoconcha braziliensis","Allen & Morgan, 1981",140842,2,2,"Mollusca",NA,"Cetoconchidae","Cetoconcha","Bivalvia","Cetoconcha braziliensis",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"53",420632,420632,420623,"Species","Cheilopogon exsiliens","(Linnaeus, 1771)",126381,1,1,"Chordata","Beloniformes","Exocoetidae","Cheilopogon","Actinopteri","Cheilopogon exsiliens",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"54",420634,420634,420623,"Species","Cheilopogon heterurus","(Rafinesque, 1810)",126382,7,1,"Chordata","Beloniformes","Exocoetidae","Cheilopogon","Actinopteri","Cheilopogon heterurus",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"55",420781,420781,420779,"Species","Chelator vulgaris","Hessler, 1970",118532,1,1,"Arthropoda","Isopoda","Desmosomatidae","Chelator","Malacostraca","Chelator vulgaris",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"56",420889,420889,771170,"Genus","Chelophyes","Totton, 1932",135360,1,1,"Cnidaria","Siphonophorae","Diphyidae","Chelophyes","Hydrozoa",NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"57",420891,420891,420889,"Species","Chelophyes contorta","(Lens & van Riemsdijk, 1908)",196554,1,1,"Cnidaria","Siphonophorae","Diphyidae","Chelophyes","Hydrozoa","Chelophyes contorta",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"58",420948,420948,770027,"Species","Chevroderma turnerae","Scheltema, 1985",140849,1,1,"Mollusca","Chaetodermatida","Prochaetodermatidae","Chevroderma","Caudofoveata","Chevroderma turnerae",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"59",424048,424048,424047,"Species","Clio andreae","(Boas, 1886)",224426,2,1,"Mollusca","Thecosomata","Cliidae","Clio","Gastropoda","Clio andreae",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"60",424051,424051,424047,"Species","Clio cuspidata","(Bosc, 1801)",139032,1,1,"Mollusca","Thecosomata","Cliidae","Clio","Gastropoda","Clio cuspidata",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"61",424318,424318,424316,"Species","Clytemnestra scutellata","Dana, 1847",115805,2,1,"Arthropoda","Harpacticoida","Peltidiidae","Clytemnestra",NA,"Clytemnestra scutellata",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"62",424460,424460,424458,"Species","Coccolithus pelagicus","(Wallich) J.Schiller, 1930",178600,13,1,"Haptophyta","Coccolithales","Coccolithaceae","Coccolithus","Prymnesiophyceae","Coccolithus pelagicus",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"63",426559,426559,616144,"Species","Copilia mirabilis","Dana, 1852",129038,1,1,"Arthropoda","Poecilostomatoida","Sapphirinidae","Copilia",NA,"Copilia mirabilis",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"64",427186,427186,616514,"Species","Corycaeus speciosus","Dana, 1849",128800,4,1,"Arthropoda","Poecilostomatoida","Corycaeidae","Corycaeus",NA,"Corycaeus speciosus",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"65",427540,427540,770753,"Genus","Coscinodiscus","Ehrenberg, 1839",148917,1,1,"Ochrophyta","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Bacillariophyceae",NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"66",428618,428618,1013894,"Genus","Creseis","Rang, 1828",137752,1,1,"Mollusca","Thecosomata","Creseidae","Creseis","Gastropoda",NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"67",428623,428623,428618,"Species","Creseis virgula","(Rang, 1828)",139035,6,1,"Mollusca","Thecosomata","Creseidae","Creseis","Gastropoda","Creseis virgula",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"68",429892,429892,429954,"Genus","Cuspidaria","Nardo, 1840",137858,1,1,"Mollusca",NA,"Cuspidariidae","Cuspidaria","Bivalvia",NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"69",430558,430558,1014255,"Genus","Cymadusa","Savigny, 1816",101460,1,1,"Arthropoda","Amphipoda","Ampithoidae","Cymadusa","Malacostraca",NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"70",431630,431630,431629,"Species","Cytaeis tetrastyla","Eschscholtz, 1829",117506,2,1,"Cnidaria","Anthoathecata","Cytaeididae","Cytaeis","Hydrozoa","Cytaeis tetrastyla",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"71",433081,433081,740714,"Genus","Deontolaimus","de Man, 1880",2394,1,1,"Nematoda","Plectida","Camacolaimidae","Deontolaimus","Chromadorea",NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"72",433124,433124,620456,"Species","Derichthys serpentinus","Gill, 1884",126291,1,1,"Chordata","Anguilliformes","Derichthyidae","Derichthys","Actinopteri","Derichthys serpentinus",TRUE,"LC",NA,"Sao Pedro and Sao Paulo Islands"
"73",433185,433185,769806,"Species","Dermochelys coriacea","(Vandelli, 1761)",137209,1,1,"Chordata","Testudines","Dermochelyidae","Dermochelys","Reptilia","Dermochelys coriacea",TRUE,"VU",NA,"Sao Pedro and Sao Paulo Islands"
"74",433633,433633,784120,"Species","Diaphus anderseni","Tåning, 1932",272657,2,2,"Chordata","Myctophiformes","Myctophidae","Diaphus","Actinopteri","Diaphus anderseni",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"75",433662,433662,784120,"Species","Diaphus fragilis","Tåning, 1928",158887,2,2,"Chordata","Myctophiformes","Myctophidae","Diaphus","Actinopteri","Diaphus fragilis",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"76",433698,433698,784120,"Species","Diaphus mollis","Tåning, 1928",126595,4,2,"Chordata","Myctophiformes","Myctophidae","Diaphus","Actinopteri","Diaphus mollis",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"77",433723,433723,784120,"Species","Diaphus splendidus","(Brauer, 1904)",158893,2,2,"Chordata","Myctophiformes","Myctophidae","Diaphus","Actinopteri","Diaphus splendidus",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"78",434702,434702,697091,"Species","Diogenichthys atlanticus","(Tåning, 1928)",126599,4,2,"Chordata","Myctophiformes","Myctophidae","Diogenichthys","Actinopteri","Diogenichthys atlanticus",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"79",435641,435641,744625,"Species","Distephanus speculum","(Ehrenberg) Haeckel, 1887",160555,1,1,"Ochrophyta","Dictyochales","Dictyochaceae","Distephanus","Dictyochophyceae","Distephanus speculum",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"80",435911,435911,769810,"Species","Dolioloides rarum","(Grobben, 1882)",137245,2,1,"Chordata","Doliolida","Doliolidae","Dolioloides","Thaliacea","Dolioloides rarum",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"81",435915,435915,682614,"Species","Doliolum denticulatum","Quoy & Gaimard, 1834",137246,2,1,"Chordata","Doliolida","Doliolidae","Doliolum","Thaliacea","Doliolum denticulatum",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"82",437894,437894,623185,"Species","Elasmopus brasiliensis","(Dana, 1855)",102801,1,1,"Arthropoda","Amphipoda","Maeridae","Elasmopus","Malacostraca","Elasmopus brasiliensis",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"83",437908,437908,623185,"Species","Elasmopus pectenicrus","(Bate, 1862)",102802,1,1,"Arthropoda","Amphipoda","Maeridae","Elasmopus","Malacostraca","Elasmopus pectenicrus",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"84",438369,438369,768317,"Species","Emiliania huxleyi","(Lohmann) W.W.Hay & H.P.Mohler, 1967",115104,122,3,"Haptophyta","Isochrysidales","Noelaerhabdaceae","Emiliania","Prymnesiophyceae","Emiliania huxleyi",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"85",439313,439313,439312,"Species","Ephyrina benedicti","Smith, 1885",107585,2,1,"Arthropoda","Decapoda","Acanthephyridae","Ephyrina","Malacostraca","Ephyrina benedicti",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"86",439979,439979,769804,"Species","Eretmochelys imbricata","(Linnaeus, 1766)",137207,1,1,"Chordata","Testudines","Cheloniidae","Eretmochelys","Reptilia","Eretmochelys imbricata",TRUE,"CR",NA,"Sao Pedro and Sao Paulo Islands"
"87",440855,440855,440854,"Genus","Eucalanus","Dana, 1852",104171,1,1,"Arthropoda","Calanoida","Eucalanidae","Eucalanus",NA,NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"88",440907,440907,625137,"Species","Euchaeta acuta","Giesbrecht, 1893",104550,2,1,"Arthropoda","Calanoida","Euchaetidae","Euchaeta",NA,"Euchaeta acuta",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"89",440926,440926,625137,"Species","Euchaeta marina","(Prestandrea, 1833)",104552,4,1,"Arthropoda","Calanoida","Euchaetidae","Euchaeta",NA,"Euchaeta marina",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"90",440952,440952,440947,"Species","Euchaetomera typica","G.O. Sars, 1883",120012,2,1,"Arthropoda","Mysida","Mysidae","Euchaetomera","Malacostraca","Euchaetomera typica",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"91",441187,441187,441186,"Species","Eucopia australis","Dana, 1852",119916,1,1,"Arthropoda","Lophogastrida","Eucopiidae","Eucopia","Malacostraca","Eucopia australis",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"92",441198,441198,441186,"Species","Eucopia unguiculata","(Willemoes-Suhm, 1875)",119921,1,1,"Arthropoda","Lophogastrida","Eucopiidae","Eucopia","Malacostraca","Eucopia unguiculata",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"93",442303,442303,442295,"Species","Eurycope friesae","Wilson, 1983",255739,1,1,"Arthropoda","Isopoda","Munnopsidae","Eurycope","Malacostraca","Eurycope friesae",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"94",442309,442309,442295,"Species","Eurycope juvenalis","Wilson, 1982",255745,2,2,"Arthropoda","Isopoda","Munnopsidae","Eurycope","Malacostraca","Eurycope juvenalis",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"95",443370,443370,746102,"Species","Farranula gracilis","(Dana, 1849)",128813,4,1,"Arthropoda","Poecilostomatoida","Corycaeidae","Farranula",NA,"Farranula gracilis",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"96",443720,443720,767594,"Species","Ferosagitta hispida","(Conant, 1895)",105432,3,1,"Chaetognatha","Aphragmophora","Sagittidae","Ferosagitta","Sagittoidea","Ferosagitta hispida",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"97",444023,444023,805829,"Species","Flabellum (Ulocyathus) alabastrum","Moseley in Thompson, 1873",135194,1,1,"Cnidaria","Scleractinia","Flabellidae","Flabellum","Anthozoa","Flabellum (Ulocyathus) alabastrum",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"98",444025,444025,805829,"Species","Flabellum (Ulocyathus) angulare","Moseley, 1876",135195,1,1,"Cnidaria","Scleractinia","Flabellidae","Flabellum","Anthozoa","Flabellum (Ulocyathus) angulare",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"99",444121,444121,767595,"Species","Flaccisagitta enflata","(Grassi, 1881)",105434,4,1,"Chaetognatha","Aphragmophora","Sagittidae","Flaccisagitta","Sagittoidea","Flaccisagitta enflata",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"100",444122,444122,767595,"Species","Flaccisagitta hexaptera","(d'Orbigny, 1836)",105435,3,1,"Chaetognatha","Aphragmophora","Sagittidae","Flaccisagitta","Sagittoidea","Flaccisagitta hexaptera",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"101",444697,444697,444693,"Species","Funchalia villosa","(Bouvier, 1905)",107100,1,1,"Arthropoda","Decapoda","Penaeidae","Funchalia","Malacostraca","Funchalia villosa",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"102",444698,444698,444693,"Species","Funchalia woodwardi","Johnson, 1868",107101,1,1,"Arthropoda","Decapoda","Penaeidae","Funchalia","Malacostraca","Funchalia woodwardi",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"103",446127,446127,767776,"Genus","Gennadas","Spence Bate, 1881",106813,1,1,"Arthropoda","Decapoda","Benthesicymidae","Gennadas","Malacostraca",NA,NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"104",446129,446129,446127,"Species","Gennadas bouvieri","Kemp, 1909",240798,1,1,"Arthropoda","Decapoda","Benthesicymidae","Gennadas","Malacostraca","Gennadas bouvieri",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"105",446140,446140,446127,"Species","Gennadas scutatus","Bouvier, 1906",107096,8,1,"Arthropoda","Decapoda","Benthesicymidae","Gennadas","Malacostraca","Gennadas scutatus",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"106",446142,446142,446127,"Species","Gennadas talismani","Bouvier, 1906",240799,7,1,"Arthropoda","Decapoda","Benthesicymidae","Gennadas","Malacostraca","Gennadas talismani",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"107",446254,446254,446252,"Species","Gephyrocapsa oceanica","Kamptner, 1943",235955,3,1,"Haptophyta","Isochrysidales","Noelaerhabdaceae","Gephyrocapsa","Prymnesiophyceae","Gephyrocapsa oceanica",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"108",446737,446737,746827,"Species","Globigerina falconensis","Blow, 1959",221249,36,5,"Foraminifera","Globigerinida","Globigerinidae","Globigerina","Globothalamea","Globigerina falconensis",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"109",446761,446761,446759,"Species","Globigerinita glutinata","(Egger, 1893)",113464,47,5,"Foraminifera","Globigerinida","Candeinidae","Globigerinita","Globothalamea","Globigerinita glutinata",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"110",446768,446768,446767,"Species","Globigerinoides conglobatus","(Brady, 1879)",113441,31,4,"Foraminifera","Globigerinida","Globigerinidae","Globigerinoides","Globothalamea","Globigerinoides conglobatus",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"111",446776,446776,446767,"Species","Globigerinoides trilobus","(Reuss, 1850)",113446,4,1,"Foraminifera","Globigerinida","Globigerinidae","Globigerinoides","Globothalamea","Globigerinoides trilobus",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"112",446821,446821,629048,"Species","Globorotalia scitula","(Brady, 1882)",113452,34,4,"Foraminifera","Globigerinida","Globorotaliidae","Globorotalia","Globothalamea","Globorotalia scitula",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"113",448358,448358,747127,"Species","Gonostoma elongatum","Günther, 1878",127296,2,2,"Chordata","Stomiiformes","Gonostomatidae","Gonostoma","Actinopteri","Gonostoma elongatum",NA,NA,NA,"Sao Pedro and Sao Paulo Islands"
"114",448370,448370,448368,"Genus","Gonyaulax","Diesing, 1866",109519,8,1,"Myzozoa","Gonyaulacales","Gonyaulacaceae","Gonyaulax","Dinophyceae",NA,NA,NA,TRUE,"Sao Pedro and Sao Paulo Islands"
