"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","redlist","status","records","datasets","phylum","order","family","genus","species","class","gisd","hab","ecoregion"
"11",402573,402573,695543,"Species","Anchoa argentivittata","(Regan, 1904)",275507,TRUE,"LC",11,3,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa argentivittata","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"12",402582,402582,695543,"Species","Anchoa eigenmannia","(Meek & Hildebrand, 1923)",275516,TRUE,"LC",17,2,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa eigenmannia","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"13",402594,402594,695543,"Species","Anchoa mitchilli","(Valenciennes, 1848)",158699,TRUE,"LC",1,1,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"14",402600,402600,695543,"Species","Anchoa nasus","(Kner & Steindachner, 1867)",275528,TRUE,"LC",7,3,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa nasus","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"15",402605,402605,695543,"Species","Anchoa starksi","(Gilbert & Pierson, 1898)",275534,TRUE,"LC",9,3,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa starksi","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"16",402612,402612,738230,"Species","Anchovia macrolepidota","(Kner, 1863)",279608,TRUE,"LC",34,4,"Chordata","Clupeiformes","Engraulidae","Anchovia","Anchovia macrolepidota","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"17",402619,402619,402616,"Species","Anchoviella balboae","(Jordan & Seale, 1926)",275538,TRUE,"DD",1,1,"Chordata","Clupeiformes","Engraulidae","Anchoviella","Anchoviella balboae","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"18",403211,403211,767747,"Infraorder","Anomura","MacLeay, 1838",106671,NA,NA,4,1,"Arthropoda","Decapoda",NA,NA,NA,"Malacostraca",NA,NA,"Chiapas-Nicaragua"
"19",403770,403770,403720,"Species","Anthopleura xanthogrammica","(Brandt, 1835)",283377,NA,NA,1,1,"Cnidaria","Actiniaria","Actiniidae","Anthopleura","Anthopleura xanthogrammica","Anthozoa",NA,NA,"Chiapas-Nicaragua"
"20",405013,405013,771812,"Species","Aporocidaris milleri","(A. Agassiz, 1898)",160784,NA,NA,1,1,"Echinodermata","Cidaroida","Ctenocidaridae","Aporocidaris","Aporocidaris milleri","Echinoidea",NA,NA,"Chiapas-Nicaragua"
"21",405472,405472,778012,"Species","Archechiniscus marci","Schulz, 1953",342736,NA,NA,1,1,"Tardigrada","Arthrotardigrada","Archechiniscidae","Archechiniscus","Archechiniscus marci","Heterotardigrada",NA,NA,"Chiapas-Nicaragua"
"22",405619,405619,738774,"Species","Arcos rhodospilus","(Günther, 1864)",279685,TRUE,"LC",12,4,"Chordata","Gobiesociformes","Gobiesocidae","Arcos","Arcos rhodospilus","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"23",405865,405865,405864,"Species","Argentina aliceae","Cohen & Atsaides, 1969",272891,TRUE,"LC",3,1,"Chordata","Osmeriformes","Argentinidae","Argentina","Argentina aliceae","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"24",406296,406296,406293,"Species","Armadillidium vulgare","(Latreille, 1804)",257832,NA,NA,1,1,"Arthropoda","Isopoda","Armadillidiidae","Armadillidium","Armadillidium vulgare","Malacostraca",NA,NA,"Chiapas-Nicaragua"
"25",407372,407372,695777,"Species","Astrangia conferta","Verrill, 1870",287117,NA,NA,1,1,"Cnidaria","Scleractinia","Rhizangiidae","Astrangia","Astrangia conferta","Anthozoa",NA,NA,"Chiapas-Nicaragua"
"26",407379,407379,695777,"Species","Astrangia haimei","Verrill, 1866",287121,NA,NA,1,1,"Cnidaria","Scleractinia","Rhizangiidae","Astrangia","Astrangia haimei","Anthozoa",NA,NA,"Chiapas-Nicaragua"
"27",407902,407902,739246,"Species","Atherinella eriarcha","Jordan & Gilbert, 1882",279800,TRUE,"LC",7,3,"Chordata","Atheriniformes","Atherinopsidae","Atherinella","Atherinella eriarcha","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"28",407903,407903,739246,"Species","Atherinella guatemalensis","(Günther, 1864)",279801,TRUE,"LC",6,3,"Chordata","Atheriniformes","Atherinopsidae","Atherinella","Atherinella guatemalensis","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"29",408927,408927,776222,"Species","Axoclinus lucillae","Fowler, 1944",279847,TRUE,"LC",24,2,"Chordata","Perciformes","Tripterygiidae","Axoclinus","Axoclinus lucillae","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"30",409201,409201,409200,"Species","Bairdiella armata","Gill, 1863",276068,TRUE,"LC",3,2,"Chordata","Perciformes","Sciaenidae","Bairdiella","Bairdiella armata","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"31",409205,409205,409200,"Species","Bairdiella ensifera","(Jordan & Gilbert, 1882)",276070,TRUE,"LC",3,1,"Chordata","Perciformes","Sciaenidae","Bairdiella","Bairdiella ensifera","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"32",409238,409238,739484,"Species","Balaenoptera musculus","(Linnaeus, 1758)",137090,TRUE,"EN",16,9,"Chordata","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus","Mammalia",NA,NA,"Chiapas-Nicaragua"
"33",410106,410106,410103,"Species","Bascanichthys cylindricus","Meek & Hildebrand, 1923",275453,TRUE,"LC",5,2,"Chordata","Anguilliformes","Ophichthidae","Bascanichthys","Bascanichthys cylindricus","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"34",410112,410112,410103,"Species","Bascanichthys panamensis","Meek & Hildebrand, 1923",275460,TRUE,"LC",5,2,"Chordata","Anguilliformes","Ophichthidae","Bascanichthys","Bascanichthys panamensis","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"35",410207,410207,739619,"Species","Bathophilus filifer","(Garman, 1899)",275045,NA,NA,1,1,"Chordata","Stomiiformes","Stomiidae","Bathophilus","Bathophilus filifer","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"36",410825,410825,844407,"Genus","Bathysiphon","Sars, 1872",112300,NA,NA,2,1,"Foraminifera","Astrorhizida","Rhabdamminidae","Bathysiphon",NA,"Monothalamea",NA,NA,"Chiapas-Nicaragua"
"37",410936,410936,739731,"Species","Batrachoides waltersi","Collette & Russo, 1981",278670,TRUE,"LC",60,5,"Chordata","Batrachoidiformes","Batrachoididae","Batrachoides","Batrachoides waltersi","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"38",411021,411021,768185,"Species","Beella digitata","(Brady, 1879)",113433,NA,NA,4,1,"Foraminifera","Globigerinida","Globigerinidae","Beella","Beella digitata","Globothalamea",NA,NA,"Chiapas-Nicaragua"
"39",411391,411391,695978,"Species","Benthosema panamense","(Tåning, 1932)",272648,NA,NA,1,1,"Chordata","Myctophiformes","Myctophidae","Benthosema","Benthosema panamense","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"40",411392,411392,695978,"Species","Benthosema pterotum","(Alcock, 1890)",217680,TRUE,"LC",1,1,"Chordata","Myctophiformes","Myctophidae","Benthosema","Benthosema pterotum","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"41",412201,412201,739991,"Species","Bollmannia macropoma","Gilbert, 1892",279934,TRUE,"DD",2,1,"Chordata","Perciformes","Gobiidae","Bollmannia","Bollmannia macropoma","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"42",412202,412202,739991,"Species","Bollmannia marginalis","Ginsburg, 1939",279935,TRUE,"DD",3,1,"Chordata","Perciformes","Gobiidae","Bollmannia","Bollmannia marginalis","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"43",412203,412203,739991,"Species","Bollmannia ocellata","Gilbert, 1892",279936,TRUE,"DD",6,1,"Chordata","Perciformes","Gobiidae","Bollmannia","Bollmannia ocellata","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"44",412204,412204,739991,"Species","Bollmannia stigmatura","Gilbert, 1892",279938,TRUE,"DD",2,1,"Chordata","Perciformes","Gobiidae","Bollmannia","Bollmannia stigmatura","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"45",412205,412205,739991,"Species","Bollmannia umbrosa","Ginsburg, 1939",279939,TRUE,"DD",11,2,"Chordata","Perciformes","Gobiidae","Bollmannia","Bollmannia umbrosa","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"46",412538,412538,696023,"Species","Bothus constellatus","(Jordan, 1889)",274183,NA,NA,2,1,"Chordata","Pleuronectiformes","Bothidae","Bothus","Bothus constellatus","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"47",413112,413112,413129,"Genus","Bregmaceros","Thompson, 1840",125727,NA,NA,5,1,"Chordata","Gadiformes","Bregmacerotidae","Bregmaceros",NA,"Actinopteri",NA,NA,"Chiapas-Nicaragua"
"48",413893,413893,413876,"Species","Bursa granularis","(Röding, 1798)",216964,NA,NA,2,1,"Mollusca","Littorinimorpha","Bursidae","Bursa","Bursa granularis","Gastropoda",NA,NA,"Chiapas-Nicaragua"
"49",414543,414543,774525,"Species","Calcidiscus leptoporus","(G.Murray & V.H.Blackman) Loeblich Jr. & Tappan, 1978",235923,NA,NA,163,2,"Haptophyta","Coccolithales","Calcidiscaceae","Calcidiscus","Calcidiscus leptoporus","Prymnesiophyceae",NA,NA,"Chiapas-Nicaragua"
"50",414705,414705,740540,"Species","Callechelys eristigma","McCosker & Rosenblatt, 1972",275466,TRUE,"LC",1,1,"Chordata","Anguilliformes","Ophichthidae","Callechelys","Callechelys eristigma","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"51",416145,416145,768160,"Species","Cancris auriculus","(Fichtel & Moll, 1798)",112940,NA,NA,26,1,"Foraminifera","Rotaliida","Cancrisidae","Cancris","Cancris auriculus","Globothalamea",NA,NA,"Chiapas-Nicaragua"
"52",416171,416171,609426,"Species","Candacia curta","(Dana, 1849)",104476,NA,NA,1,1,"Arthropoda","Calanoida","Candaciidae","Candacia","Candacia curta",NA,NA,NA,"Chiapas-Nicaragua"
"53",416183,416183,609426,"Species","Candacia pachydactyla","(Dana, 1849)",104483,NA,NA,1,1,"Arthropoda","Calanoida","Candaciidae","Candacia","Candacia pachydactyla",NA,NA,NA,"Chiapas-Nicaragua"
"54",416188,416188,609426,"Species","Candacia simplex","(Giesbrecht, 1889)",220914,NA,NA,2,1,"Arthropoda","Calanoida","Candaciidae","Candacia","Candacia simplex",NA,NA,NA,"Chiapas-Nicaragua"
"55",416575,416575,740885,"Genus","Carangoides","Bleeker, 1851",159473,NA,NA,1,1,"Chordata","Perciformes","Carangidae","Carangoides",NA,"Actinopteri",NA,NA,"Chiapas-Nicaragua"
"56",416686,416686,696227,"Species","Caranx vinctus","Jordan & Gilbert, 1882",273275,TRUE,"LC",8,2,"Chordata","Perciformes","Carangidae","Caranx","Caranx vinctus","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"57",416695,416695,740892,"Species","Carapus dubius","(Putnam, 1874)",272778,TRUE,"DD",9,3,"Chordata","Ophidiiformes","Carapidae","Carapus","Carapus dubius","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"58",416747,416747,696240,"Species","Carcharhinus galapagensis","(Snodgrass & Heller, 1905)",105790,TRUE,"NT",5,3,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus galapagensis","Elasmobranchii",NA,NA,"Chiapas-Nicaragua"
"59",416756,416756,696240,"Species","Carcharhinus longimanus","(Poey, 1861)",105794,TRUE,"VU",1,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus longimanus","Elasmobranchii",NA,NA,"Chiapas-Nicaragua"
"60",417558,417558,741102,"Species","Cathorops fuerthii","(Steindachner, 1877)",280043,TRUE,"DD",7,3,"Chordata","Siluriformes","Ariidae","Cathorops","Cathorops fuerthii","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"61",417941,417941,769180,"Genus","Cavernulina","Kükenthal & Broch, 1911",206748,NA,NA,1,1,"Cnidaria","Pennatulacea","Veretillidae","Cavernulina",NA,"Anthozoa",NA,NA,"Chiapas-Nicaragua"
"62",418289,418289,741280,"Species","Centropomus unionensis","Bocourt, 1868",280069,TRUE,"LC",14,4,"Chordata","Perciformes","Centropomidae","Centropomus","Centropomus unionensis","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"63",418352,418352,741288,"Species","Centroscyllium nigrum","Garman, 1899",271623,TRUE,"DD",1,1,"Chordata","Squaliformes","Etmopteridae","Centroscyllium","Centroscyllium nigrum","Elasmobranchii",NA,NA,"Chiapas-Nicaragua"
"64",418430,418430,418406,"Species","Cephalopholis panamensis","(Steindachner, 1877)",279152,TRUE,"LC",21,3,"Chordata","Perciformes","Serranidae","Cephalopholis","Cephalopholis panamensis","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"65",418442,418442,752044,"Class","Cephalopoda","Cuvier, 1795",11707,NA,NA,8,2,"Mollusca",NA,NA,NA,NA,"Cephalopoda",NA,NA,"Chiapas-Nicaragua"
"66",418991,418991,741419,"Species","Cerdale ionthas","Jordan & Gilbert, 1882",280085,TRUE,"DD",4,2,"Chordata","Perciformes","Microdesmidae","Cerdale","Cerdale ionthas","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"67",419093,419093,419087,"Species","Ceriodaphnia reticulata","(Jurine, 1820)",148400,NA,NA,1,1,"Arthropoda","Diplostraca","Daphniidae","Ceriodaphnia","Ceriodaphnia reticulata","Branchiopoda",NA,NA,"Chiapas-Nicaragua"
"68",419205,419205,696370,"Species","Cerithium columna","Sowerby I, 1834",216708,NA,NA,1,1,"Mollusca","Caenogastropoda incertae sedis","Cerithiidae","Cerithium","Cerithium columna","Gastropoda",NA,NA,"Chiapas-Nicaragua"
"69",419461,419461,741513,"Species","Chaenopsis deltarrhis","Böhlke, 1957",280104,TRUE,"DD",2,2,"Chordata","Perciformes","Chaenopsidae","Chaenopsis","Chaenopsis deltarrhis","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"70",419465,419465,741513,"Species","Chaenopsis schmitti","Böhlke, 1957",280110,TRUE,"VU",2,1,"Chordata","Perciformes","Chaenopsidae","Chaenopsis","Chaenopsis schmitti","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"71",420218,420218,773827,"Species","Chanos chanos","(Forsskål, 1775)",217625,NA,NA,5,2,"Chordata","Gonorhynchiformes","Chanidae","Chanos","Chanos chanos","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"72",420653,420653,420623,"Species","Cheilopogon xenopterus","(Gilbert, 1890)",272166,TRUE,"LC",18,2,"Chordata","Beloniformes","Exocoetidae","Cheilopogon","Cheilopogon xenopterus","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"73",420814,420814,759104,"Genus","Chelidoperca","Boulenger, 1895",204085,NA,NA,2,1,"Chordata","Perciformes","Serranidae","Chelidoperca",NA,"Actinopteri",NA,NA,"Chiapas-Nicaragua"
"74",420876,420876,743298,"Family","Cheloniidae","Oppel, 1811",136999,NA,NA,562,10,"Chordata","Testudines","Cheloniidae",NA,NA,"Reptilia",NA,NA,"Chiapas-Nicaragua"
"75",420891,420891,420889,"Species","Chelophyes contorta","(Lens & van Riemsdijk, 1908)",196554,NA,NA,1,1,"Cnidaria","Siphonophorae","Diphyidae","Chelophyes","Chelophyes contorta","Hydrozoa",NA,NA,"Chiapas-Nicaragua"
"76",421139,421139,768197,"Species","Chilostomella oolina","Schwager, 1878",113553,NA,NA,85,1,"Foraminifera","Rotaliida","Chilostomellidae","Chilostomella","Chilostomella oolina","Globothalamea",NA,NA,"Chiapas-Nicaragua"
"77",421531,421531,421530,"Species","Chlopsis apterus","(Beebe & Tee-Van, 1938)",271712,TRUE,"LC",1,1,"Chordata","Anguilliformes","Chlopsidae","Chlopsis","Chlopsis apterus","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"78",422528,422528,857679,"Genus","Cibicides","de Montfort, 1808",112082,NA,NA,160,1,"Foraminifera","Rotaliida","Cibicididae","Cibicides",NA,"Globothalamea",NA,NA,"Chiapas-Nicaragua"
"79",422599,422599,742043,"Species","Cichlasoma urophthalmus","(Günther, 1862)",280186,NA,NA,1,1,"Chordata","Perciformes","Cichlidae","Cichlasoma","Cichlasoma urophthalmus","Actinopteri",TRUE,NA,"Chiapas-Nicaragua"
"80",423135,423135,742128,"Species","Citharichthys gilberti","Jenkins & Evermann, 1889",275688,TRUE,"LC",41,4,"Chordata","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys gilberti","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"81",423140,423140,742128,"Species","Citharichthys mariajorisae","van der Heiden & Mussot-Pérez, 1995",275691,TRUE,"LC",3,2,"Chordata","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys mariajorisae","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"82",423855,423855,775198,"Species","Cleantioides occidentalis","(Richardson, 1899)",259811,NA,NA,2,1,"Arthropoda","Isopoda","Holognathidae","Cleantioides","Cleantioides occidentalis","Malacostraca",NA,NA,"Chiapas-Nicaragua"
"83",425087,425087,742449,"Species","Coelorinchus scaphopsis","(Gilbert, 1890)",280334,NA,NA,1,1,"Chordata","Gadiformes","Macrouridae","Coelorinchus","Coelorinchus scaphopsis","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"84",428707,795776,428706,"Species","Cribrostomoides crassimargo","(Norman, 1892)",114034,NA,NA,2,1,"Foraminifera","Lituolida","Ammosphaeroidinidae","Cribrostomoides","Cribrostomoides crassimargo","Globothalamea",NA,NA,"Chiapas-Nicaragua"
"85",429097,429097,741808,"Genus","Cryptochironomus","Kieffer, 1918",181574,NA,NA,1,1,"Arthropoda","Diptera","Chironomidae","Cryptochironomus",NA,"Insecta",NA,NA,"Chiapas-Nicaragua"
"86",429388,429388,429381,"Species","Ctenochaetus marginatus","(Valenciennes, 1835)",219657,TRUE,"LC",1,1,"Chordata","Perciformes","Acanthuridae","Ctenochaetus","Ctenochaetus marginatus","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"87",429456,429456,429430,"Species","Ctenogobius sagittula","(Günther, 1862)",276489,TRUE,"LC",32,4,"Chordata","Perciformes","Gobiidae","Ctenogobius","Ctenogobius sagittula","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"88",429542,429542,406291,"Genus","Cubaris","Brandt, 1833",248664,NA,NA,1,1,"Arthropoda","Isopoda","Armadillidae","Cubaris",NA,"Malacostraca",NA,NA,"Chiapas-Nicaragua"
"89",429559,429559,618144,"Species","Cubiceps pauciradiatus","Günther, 1872",159424,NA,NA,6,2,"Chordata","Perciformes","Nomeidae","Cubiceps","Cubiceps pauciradiatus","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"90",430262,430262,754659,"Genus","Cyclopsetta","Gill, 1889",158794,NA,NA,1,1,"Chordata","Pleuronectiformes","Paralichthyidae","Cyclopsetta",NA,"Actinopteri",NA,NA,"Chiapas-Nicaragua"
"91",430265,430265,430262,"Species","Cyclopsetta panamensis","(Steindachner, 1876)",275702,TRUE,"LC",10,3,"Chordata","Pleuronectiformes","Paralichthyidae","Cyclopsetta","Cyclopsetta panamensis","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"92",430894,430894,430911,"Genus","Cymothoa","Fabricius, 1793",118409,NA,NA,1,1,"Arthropoda","Isopoda","Cymothoidae","Cymothoa",NA,"Malacostraca",NA,NA,"Chiapas-Nicaragua"
"93",431031,431031,758691,"Genus","Cynoscion","Gill, 1861",159304,NA,NA,7,1,"Chordata","Perciformes","Sciaenidae","Cynoscion",NA,"Actinopteri",NA,NA,"Chiapas-Nicaragua"
"94",431050,431050,431031,"Species","Cynoscion squamipinnis","(Günther, 1867)",276090,TRUE,"LC",5,2,"Chordata","Perciformes","Sciaenidae","Cynoscion","Cynoscion squamipinnis","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"95",431052,431052,431031,"Species","Cynoscion stolzmanni","(Steindachner, 1879)",276092,TRUE,"LC",3,1,"Chordata","Perciformes","Sciaenidae","Cynoscion","Cynoscion stolzmanni","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"96",431056,431056,431031,"Species","Cynoscion xanthulus","Jordan & Gilbert, 1882",276095,TRUE,"DD",1,1,"Chordata","Perciformes","Sciaenidae","Cynoscion","Cynoscion xanthulus","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"97",431801,431801,776376,"Species","Dactylagnus mundus","Gill, 1863",280470,TRUE,"LC",9,4,"Chordata","Perciformes","Dactyloscopidae","Dactylagnus","Dactylagnus mundus","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"98",431895,431895,431894,"Species","Dactyloscopus amnis","Miller & Briggs, 1962",276393,TRUE,"LC",5,2,"Chordata","Perciformes","Dactyloscopidae","Dactyloscopus","Dactyloscopus amnis","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"99",431904,431904,431894,"Species","Dactyloscopus pectoralis","Gill, 1861",276404,TRUE,"LC",2,2,"Chordata","Perciformes","Dactyloscopidae","Dactyloscopus","Dactyloscopus pectoralis","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"100",431907,431907,431894,"Species","Dactyloscopus zelotes","Jordan & Gilbert, 1896",276407,TRUE,"DD",3,2,"Chordata","Perciformes","Dactyloscopidae","Dactyloscopus","Dactyloscopus zelotes","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"101",432573,432573,743939,"Genus","Delphinus","Linnaeus, 1758",137015,NA,NA,5,3,"Chordata","Cetartiodactyla","Delphinidae","Delphinus",NA,"Mammalia",NA,NA,"Chiapas-Nicaragua"
"102",432575,432575,432573,"Species","Delphinus delphis","Linnaeus, 1758",137094,TRUE,"LC",60,14,"Chordata","Cetartiodactyla","Delphinidae","Delphinus","Delphinus delphis","Mammalia",NA,NA,"Chiapas-Nicaragua"
"103",433041,433041,768188,"Species","Dentigloborotalia anfracta","(Parker, 1967)",113463,NA,NA,2,1,"Foraminifera","Globigerinida","Globorotaliidae","Dentigloborotalia","Dentigloborotalia anfracta","Globothalamea",NA,NA,"Chiapas-Nicaragua"
"104",433124,433124,620456,"Species","Derichthys serpentinus","Gill, 1884",126291,TRUE,"LC",1,1,"Chordata","Anguilliformes","Derichthyidae","Derichthys","Derichthys serpentinus","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"105",433185,433185,769806,"Species","Dermochelys coriacea","(Vandelli, 1761)",137209,TRUE,"VU",12,3,"Chordata","Testudines","Dermochelyidae","Dermochelys","Dermochelys coriacea","Reptilia",NA,NA,"Chiapas-Nicaragua"
"106",433752,433752,433751,"Genus","Diaptomus","Westwood, 1836",247924,NA,NA,1,1,"Arthropoda","Calanoida","Diaptomidae","Diaptomus",NA,NA,NA,NA,"Chiapas-Nicaragua"
"107",433879,433879,620851,"Species","Dibranchus spinosus","(Garman, 1899)",272613,NA,NA,1,1,"Chordata","Lophiiformes","Ogcocephalidae","Dibranchus","Dibranchus spinosus","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"108",434605,434605,434603,"Species","Diodon eydouxii","Brisout de Barneville, 1846",127401,NA,NA,1,1,"Chordata","Tetraodontiformes","Diodontidae","Diodon","Diodon eydouxii","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"109",434822,434822,759104,"Genus","Diplectrum","Holbrook, 1855",159349,NA,NA,4,2,"Chordata","Perciformes","Serranidae","Diplectrum",NA,"Actinopteri",NA,NA,"Chiapas-Nicaragua"
"110",434828,434828,434822,"Species","Diplectrum labarum","Rosenblatt & Johnson, 1974",276180,TRUE,"LC",22,3,"Chordata","Perciformes","Serranidae","Diplectrum","Diplectrum labarum","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"111",434834,434834,434822,"Species","Diplectrum rostrum","Bortone, 1974",276185,TRUE,"LC",4,1,"Chordata","Perciformes","Serranidae","Diplectrum","Diplectrum rostrum","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"112",434846,434846,744505,"Species","Diplobatis ommata","(Jordan & Gilbert, 1890)",280551,TRUE,"VU",3,2,"Chordata","Torpediniformes","Narcinidae","Diplobatis","Diplobatis ommata","Elasmobranchii",NA,NA,"Chiapas-Nicaragua"
"113",436244,436244,777984,"Species","Dosidicus gigas","(d'Orbigny [in 1834-1847], 1835)",342291,TRUE,"DD",1,1,"Mollusca","Oegopsida","Ommastrephidae","Dosidicus","Dosidicus gigas","Cephalopoda",NA,NA,"Chiapas-Nicaragua"
"114",437022,437022,744913,"Species","Echidna nocturna","(Cope, 1872)",278678,TRUE,"LC",9,3,"Chordata","Anguilliformes","Muraenidae","Echidna","Echidna nocturna","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"115",437337,437337,437329,"Species","Echiodon exsilium","Rosenblatt, 1961",272782,TRUE,"LC",1,1,"Chordata","Ophidiiformes","Carapidae","Echiodon","Echiodon exsilium","Actinopteri",NA,NA,"Chiapas-Nicaragua"
"116",437528,437528,622944,"Species","Ectreposebastes imus","Garman, 1899",159566,NA,NA,1,1,"Chordata","Scorpaeniformes","Setarchidae","Ectreposebastes","Ectreposebastes imus","Actinopteri",NA,NA,"Chiapas-Nicaragua"
