"","id","valid_id","parent_id","rank_name","tname","records","datasets","phylum","order","family","genus","species","class","tauthor","worms_id","redlist","status","gisd","hab","ecoregion"
"46",401173,401173,401171,"Species","Amphimedon compressa",5,2,"Porifera","Haplosclerida","Niphatidae","Amphimedon","Amphimedon compressa","Demospongiae","Duchassaing & Michelotti, 1864",166666,NA,NA,NA,NA,"Southwestern Caribbean"
"47",401208,401208,401717,"Genus","Amphiodia",9,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiodia",NA,"Ophiuroidea","Verrill, 1899",172595,NA,NA,NA,NA,"Southwestern Caribbean"
"48",401224,401224,401208,"Species","Amphiodia riisei",9,2,"Echinodermata","Ophiurida","Amphiuridae","Amphiodia","Amphiodia riisei","Ophiuroidea","(Lütken, 1859)",244939,NA,NA,NA,NA,"Southwestern Caribbean"
"49",401313,401313,695475,"Species","Amphioplus tumidus",31,1,"Echinodermata","Ophiurida","Amphiuridae","Amphioplus","Amphioplus tumidus","Ophiuroidea","(Lyman, 1878)",242801,NA,NA,NA,NA,"Southwestern Caribbean"
"50",401320,401320,401717,"Genus","Amphipholis",16,2,"Echinodermata","Ophiurida","Amphiuridae","Amphipholis",NA,"Ophiuroidea","Ljungman, 1866",123612,NA,NA,NA,NA,"Southwestern Caribbean"
"51",401323,401323,401320,"Species","Amphipholis januarii",1,1,"Echinodermata","Ophiurida","Amphiuridae","Amphipholis","Amphipholis januarii","Ophiuroidea","Ljungman, 1866",149906,NA,NA,NA,NA,"Southwestern Caribbean"
"52",401331,401331,401320,"Species","Amphipholis squamata",2,1,"Echinodermata","Ophiurida","Amphiuridae","Amphipholis","Amphipholis squamata","Ophiuroidea","(Delle Chiaje, 1828)",125064,NA,NA,NA,NA,"Southwestern Caribbean"
"53",401333,401333,401717,"Genus","Amphipholizona",2,1,"Echinodermata","Ophiurida","Amphiuridae","Amphipholizona",NA,"Ophiuroidea","Clark, 1915",242502,NA,NA,NA,NA,"Southwestern Caribbean"
"54",401633,401633,401717,"Genus","Amphiura",14,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiura",NA,"Ophiuroidea","Forbes, 1843",123613,NA,NA,NA,NA,"Southwestern Caribbean"
"55",401717,401717,772939,"Family","Amphiuridae",15,2,"Echinodermata","Ophiurida","Amphiuridae",NA,NA,"Ophiuroidea","Ljungman, 1867",123206,NA,NA,NA,NA,"Southwestern Caribbean"
"56",402024,402024,1014255,"Genus","Ampithoe",1,1,"Arthropoda","Amphipoda","Ampithoidae","Ampithoe",NA,"Malacostraca","Leach, 1814",101459,NA,NA,NA,NA,"Southwestern Caribbean"
"57",402308,402308,738174,"Species","Anadyomene stellata",1,1,"Chlorophyta","Cladophorales","Anadyomenaceae","Anadyomene","Anadyomene stellata","Ulvophyceae","(Wulfen) C.Agardh, 1823",145012,NA,NA,NA,NA,"Southwestern Caribbean"
"58",402342,402342,738203,"Species","Anamixis cavatura",1,1,"Arthropoda","Amphipoda","Leucothoidae","Anamixis","Anamixis cavatura","Malacostraca","Thomas, 1997",421483,NA,NA,NA,NA,"Southwestern Caribbean"
"59",402573,402573,695543,"Species","Anchoa argentivittata",1,1,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa argentivittata","Actinopteri","(Regan, 1904)",275507,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"60",402577,402577,695543,"Species","Anchoa colonensis",19,4,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa colonensis","Actinopteri","Hildebrand, 1943",275511,NA,NA,NA,NA,"Southwestern Caribbean"
"61",402605,402605,695543,"Species","Anchoa starksi",1,1,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa starksi","Actinopteri","(Gilbert & Pierson, 1898)",275534,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"62",402612,402612,738230,"Species","Anchovia macrolepidota",2,2,"Chordata","Clupeiformes","Engraulidae","Anchovia","Anchovia macrolepidota","Actinopteri","(Kner, 1863)",279608,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"63",402615,402615,738230,"Species","Anchovia surinamensis",1,1,"Chordata","Clupeiformes","Engraulidae","Anchovia","Anchovia surinamensis","Actinopteri","(Bleeker, 1865)",279609,NA,NA,NA,NA,"Southwestern Caribbean"
"64",402616,402616,745197,"Genus","Anchoviella",2,2,"Chordata","Clupeiformes","Engraulidae","Anchoviella",NA,"Actinopteri","Fowler, 1911",158700,NA,NA,NA,NA,"Southwestern Caribbean"
"65",402774,402774,402768,"Species","Ancylopsetta microctenus",12,2,"Chordata","Pleuronectiformes","Paralichthyidae","Ancylopsetta","Ancylopsetta microctenus","Actinopteri","Gutherz, 1966",276010,NA,NA,NA,NA,"Southwestern Caribbean"
"66",403086,403086,738321,"Species","Anisotremus virginicus",33,4,"Chordata","Perciformes","Haemulidae","Anisotremus","Anisotremus virginicus","Actinopteri","(Linnaeus, 1758)",279625,NA,NA,NA,NA,"Southwestern Caribbean"
"67",403192,403192,741049,"Genus","Anomocora",23,3,"Cnidaria","Scleractinia","Caryophylliidae","Anomocora",NA,"Anthozoa","Studer, 1877",135082,NA,NA,NA,NA,"Southwestern Caribbean"
"68",403193,403193,403192,"Species","Anomocora fecunda",31,5,"Cnidaria","Scleractinia","Caryophylliidae","Anomocora","Anomocora fecunda","Anthozoa","(Pourtalès, 1871)",135130,NA,NA,NA,NA,"Southwestern Caribbean"
"69",403195,403195,403192,"Species","Anomocora prolifera",16,5,"Cnidaria","Scleractinia","Caryophylliidae","Anomocora","Anomocora prolifera","Anthozoa","(Pourtalès, 1871)",286719,NA,NA,NA,NA,"Southwestern Caribbean"
"70",403211,403211,767747,"Infraorder","Anomura",124,2,"Arthropoda","Decapoda",NA,NA,NA,"Malacostraca","MacLeay, 1838",106671,NA,NA,NA,NA,"Southwestern Caribbean"
"71",403246,403246,403239,"Species","Anoplodactylus batangensis",1,1,"Arthropoda","Pantopoda","Phoxichilidiidae","Anoplodactylus","Anoplodactylus batangensis","Pycnogonida","(Helfer, 1938)",239543,NA,NA,NA,NA,"Southwestern Caribbean"
"72",403275,403275,738353,"Species","Anoplogaster cornuta",2,2,"Chordata","Beryciformes","Anoplogastridae","Anoplogaster","Anoplogaster cornuta","Actinopteri","(Valenciennes, 1833)",126393,NA,NA,NA,NA,"Southwestern Caribbean"
"73",403327,403327,601283,"Species","Anotrichium tenue",2,1,"Rhodophyta","Ceramiales","Wrangeliaceae","Anotrichium","Anotrichium tenue","Florideophyceae","(C.Agardh) Nägeli, 1862",144506,NA,NA,NA,NA,"Southwestern Caribbean"
"74",403770,403770,403720,"Species","Anthopleura xanthogrammica",2,2,"Cnidaria","Actiniaria","Actiniidae","Anthopleura","Anthopleura xanthogrammica","Anthozoa","(Brandt, 1835)",283377,NA,NA,NA,NA,"Southwestern Caribbean"
"75",403774,403774,769174,"Genus","Anthoptilum",5,3,"Cnidaria","Pennatulacea","Anthoptilidae","Anthoptilum",NA,"Anthozoa","Kölliker, 1880",128489,NA,NA,NA,NA,"Southwestern Caribbean"
"76",403809,403809,765441,"Family","Anthuridae",14,2,"Arthropoda","Isopoda","Anthuridae",NA,NA,"Malacostraca","Leach, 1814",118244,NA,NA,NA,NA,"Southwestern Caribbean"
"77",403881,403881,740875,"Genus","Antigonia",2,1,"Chordata","Perciformes","Caproidae","Antigonia",NA,"Actinopteri","Lowe, 1843",126242,NA,NA,NA,NA,"Southwestern Caribbean"
"78",403903,403903,769677,"Species","Antillesoma antillarum",1,1,"Sipuncula","Phascolosomatida","Phascolosomatidae","Antillesoma","Antillesoma antillarum","Phascolosomatidea","(Grube, 1858)",136075,NA,NA,NA,NA,"Southwestern Caribbean"
"79",403946,557755,601621,"Species","Antipathes columnaris",1,1,"Cnidaria","Antipatharia","Antipathidae","Antipathes","Antipathes columnaris","Anthozoa","(Duchassaing, 1870)",283888,NA,NA,NA,NA,"Southwestern Caribbean"
"80",403958,403958,601621,"Species","Antipathes lenta",30,3,"Cnidaria","Antipatharia","Antipathidae","Antipathes","Antipathes lenta","Anthozoa","Pourtalès, 1871",283909,NA,NA,NA,NA,"Southwestern Caribbean"
"81",404179,404179,404172,"Species","Aphanipathes salix",7,2,"Cnidaria","Antipatharia","Aphanipathidae","Aphanipathes","Aphanipathes salix","Anthozoa","(Pourtalès, 1880)",283939,NA,NA,NA,NA,"Southwestern Caribbean"
"82",404478,404478,776166,"Species","Aplatophis chauliodus",2,1,"Chordata","Anguilliformes","Ophichthidae","Aplatophis","Aplatophis chauliodus","Actinopteri","Böhlke, 1956",279644,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"83",404623,404623,695645,"Species","Aplysia fasciata",1,1,"Mollusca","Anaspidea","Aplysiidae","Aplysia","Aplysia fasciata","Gastropoda","Poiret, 1789",138755,NA,NA,NA,NA,"Southwestern Caribbean"
"84",404644,404644,404639,"Species","Aplysina lacunosa",1,1,"Porifera","Verongiida","Aplysinidae","Aplysina","Aplysina lacunosa","Demospongiae","(Lamarck, 1814)",169656,NA,NA,NA,NA,"Southwestern Caribbean"
"85",404719,404719,695650,"Species","Apogon binotatus",5,3,"Chordata","Perciformes","Apogonidae","Apogon","Apogon binotatus","Actinopteri","(Poey, 1867)",272982,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"86",404800,404800,695650,"Species","Apogon lachneri",3,1,"Chordata","Perciformes","Apogonidae","Apogon","Apogon lachneri","Actinopteri","Böhlke, 1959",273028,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"87",404851,404851,695650,"Species","Apogon oxina",2,2,"Chordata","Perciformes","Apogonidae","Apogon","Apogon oxina","Actinopteri","Fraser, 1999",273063,NA,NA,NA,NA,"Southwestern Caribbean"
"88",404861,404861,695650,"Species","Apogon phenax",7,1,"Chordata","Perciformes","Apogonidae","Apogon","Apogon phenax","Actinopteri","Böhlke & Randall, 1968",273069,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"89",404864,404864,695650,"Species","Apogon pillionatus",3,1,"Chordata","Perciformes","Apogonidae","Apogon","Apogon pillionatus","Actinopteri","Böhlke & Randall, 1968",273071,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"90",404881,404881,695650,"Species","Apogon robinsi",2,1,"Chordata","Perciformes","Apogonidae","Apogon","Apogon robinsi","Actinopteri","Böhlke & Randall, 1968",273087,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"91",405055,405055,405041,"Species","Apristurus laurussonii",2,2,"Chordata","Carcharhiniformes","Pentanchidae","Apristurus","Apristurus laurussonii","Elasmobranchii","(Saemundsson, 1922)",105807,TRUE,"DD",NA,NA,"Southwestern Caribbean"
"92",405187,405187,650613,"Genus","Arabella",5,1,"Annelida","Eunicida","Oenonidae","Arabella",NA,"Polychaeta","Grube, 1850",129199,NA,NA,NA,NA,"Southwestern Caribbean"
"93",405198,405198,405187,"Species","Arabella mutans",5,1,"Annelida","Eunicida","Oenonidae","Arabella","Arabella mutans","Polychaeta","(Chamberlin, 1919)",157203,NA,NA,NA,NA,"Southwestern Caribbean"
"94",405225,405225,741733,"Class","Arachnida",1,1,"Arthropoda",NA,NA,NA,NA,"Arachnida","Cuvier, 1812",1300,NA,NA,NA,NA,"Southwestern Caribbean"
"95",405302,405302,1011757,"Genus","Araeosoma",1,1,"Echinodermata","Echinothurioida","Echinothuriidae","Araeosoma",NA,"Echinoidea","Mortensen, 1903",123396,NA,NA,NA,NA,"Southwestern Caribbean"
"96",405327,405327,405587,"Genus","Arca",2,1,"Mollusca","Arcoida","Arcidae","Arca",NA,"Bivalvia","Linnaeus, 1758",137670,NA,NA,NA,NA,"Southwestern Caribbean"
"97",405365,405365,405327,"Species","Arca imbricata",4,1,"Mollusca","Arcoida","Arcidae","Arca","Arca imbricata","Bivalvia","Bruguière, 1789",215252,NA,NA,NA,NA,"Southwestern Caribbean"
"98",405451,405451,602382,"Species","Archamia fucata",2,2,"Chordata","Perciformes","Apogonidae","Archamia","Archamia fucata","Actinopteri","(Cantor, 1849)",209392,NA,NA,NA,NA,"Southwestern Caribbean"
"99",405555,405555,405545,"Species","Architectonica nobilis",9,1,"Mollusca","Heterobranchia incertae sedis","Architectonicidae","Architectonica","Architectonica nobilis","Gastropoda","Röding, 1798",181092,NA,NA,NA,NA,"Southwestern Caribbean"
"100",405585,405585,771718,"Species","Archosargus probatocephalus",1,1,"Chordata","Perciformes","Sparidae","Archosargus","Archosargus probatocephalus","Actinopteri","(Walbaum, 1792)",159238,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"101",405587,405587,816810,"Family","Arcidae",4,2,"Mollusca","Arcoida","Arcidae",NA,NA,"Bivalvia","Lamarck, 1809",208,NA,NA,NA,NA,"Southwestern Caribbean"
"102",405606,405606,405605,"Species","Arcopsis adamsi",9,1,"Mollusca","Arcoida","Noetiidae","Arcopsis","Arcopsis adamsi","Bivalvia","(Dall, 1886)",420724,NA,NA,NA,NA,"Southwestern Caribbean"
"103",405873,405873,405864,"Species","Argentina georgei",14,2,"Chordata","Osmeriformes","Argentinidae","Argentina","Argentina georgei","Actinopteri","Cohen & Atsaides, 1969",272895,NA,NA,NA,NA,"Southwestern Caribbean"
"104",405880,405880,405864,"Species","Argentina stewarti",12,2,"Chordata","Osmeriformes","Argentinidae","Argentina","Argentina stewarti","Actinopteri","Cohen & Atsaides, 1969",272898,NA,NA,NA,NA,"Southwestern Caribbean"
"105",405890,405890,428222,"Genus","Argis",1,1,"Arthropoda","Decapoda","Crangonidae","Argis",NA,"Malacostraca","Krøyer, 1843",107006,NA,NA,NA,NA,"Southwestern Caribbean"
"106",405908,405908,405907,"Species","Argonauta argo",1,1,"Mollusca","Octopoda","Argonautidae","Argonauta","Argonauta argo","Cephalopoda","Linnaeus, 1758",138803,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"107",405928,405928,405921,"Species","Argopecten nucleus",2,1,"Mollusca","Pectinoida","Pectinidae","Argopecten","Argopecten nucleus","Bivalvia","(Born, 1778)",394268,NA,NA,NA,NA,"Southwestern Caribbean"
"108",405971,405971,405954,"Species","Argyropelecus sladeni",1,1,"Chordata","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus sladeni","Actinopteri","Regan, 1908",158837,NA,NA,NA,NA,"Southwestern Caribbean"
"109",406104,406104,602787,"Species","Ariomma bondi",1,1,"Chordata","Perciformes","Ariommatidae","Ariomma","Ariomma bondi","Actinopteri","Fowler, 1930",159592,NA,NA,NA,NA,"Southwestern Caribbean"
"110",406123,406123,739686,"Genus","Ariosoma",2,1,"Chordata","Anguilliformes","Congridae","Ariosoma",NA,"Actinopteri","Swainson, 1838",125622,NA,NA,NA,NA,"Southwestern Caribbean"
"111",406129,406129,406123,"Species","Ariosoma balearicum",2,2,"Chordata","Anguilliformes","Congridae","Ariosoma","Ariosoma balearicum","Actinopteri","(Delaroche, 1809)",126283,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"112",406149,406149,406123,"Species","Ariosoma selenops",2,2,"Chordata","Anguilliformes","Congridae","Ariosoma","Ariosoma selenops","Actinopteri","Reid, 1934",271736,TRUE,"LC",NA,NA,"Southwestern Caribbean"
"113",406165,406165,767795,"Species","Aristaeopsis edwardsiana",23,1,"Arthropoda","Decapoda","Aristeidae","Aristaeopsis","Aristaeopsis edwardsiana","Malacostraca","(Johnson, 1868)",240796,NA,NA,NA,NA,"Southwestern Caribbean"
"114",406174,406174,406171,"Species","Aristeus antillensis",15,1,"Arthropoda","Decapoda","Aristeidae","Aristeus","Aristeus antillensis","Malacostraca","A. Milne-Edwards & Bouvier, 1909",158327,NA,NA,NA,NA,"Southwestern Caribbean"
"115",406204,406204,738888,"Species","Aristostomias xenostoma",3,2,"Chordata","Stomiiformes","Stomiidae","Aristostomias","Aristostomias xenostoma","Actinopteri","Regan & Trewavas, 1930",275008,NA,NA,NA,NA,"Southwestern Caribbean"
"116",406302,406302,602933,"Species","Armandia agilis",1,1,"Annelida",NA,"Opheliidae","Armandia","Armandia agilis","Polychaeta","(Andrews, 1891)",157219,NA,NA,NA,NA,"Southwestern Caribbean"
"117",406304,406304,602933,"Species","Armandia brevis",2,1,"Annelida",NA,"Opheliidae","Armandia","Armandia brevis","Polychaeta","(Moore, 1906)",333048,NA,NA,NA,NA,"Southwestern Caribbean"
"118",406607,406607,603103,"Species","Ascidia interrupta",6,1,"Chordata","Phlebobranchia","Ascidiidae","Ascidia","Ascidia interrupta","Ascidiacea","Heller, 1878",103706,NA,NA,NA,NA,"Southwestern Caribbean"
"119",406843,406843,406841,"Species","Aspidodiadema jacobyi",18,2,"Echinodermata","Aspidodiadematoida","Aspidodiadematidae","Aspidodiadema","Aspidodiadema jacobyi","Echinoidea","A. Agassiz, 1880",124329,NA,NA,NA,NA,"Southwestern Caribbean"
"120",407058,407058,407075,"Genus","Asterina",2,1,"Echinodermata","Valvatida","Asterinidae","Asterina",NA,"Asteroidea","Nardo, 1834",123281,NA,NA,NA,NA,"Southwestern Caribbean"
"121",407379,407379,695777,"Species","Astrangia haimei",6,2,"Cnidaria","Scleractinia","Rhizangiidae","Astrangia","Astrangia haimei","Anthozoa","Verrill, 1866",287121,NA,NA,NA,NA,"Southwestern Caribbean"
"122",407388,407388,695777,"Species","Astrangia solitaria",45,5,"Cnidaria","Scleractinia","Rhizangiidae","Astrangia","Astrangia solitaria","Anthozoa","(Le Sueur, 1818)",287125,NA,NA,NA,NA,"Southwestern Caribbean"
"123",407479,407479,774864,"Species","Astrocnida isidis",8,1,"Echinodermata","Euryalida","Gorgonocephalidae","Astrocnida","Astrocnida isidis","Ophiuroidea","(Duchassaing, 1850)",243180,NA,NA,NA,NA,"Southwestern Caribbean"
