"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","redlist","status","gisd","hab","ecoregion"
"12",403211,403211,767747,"Infraorder","Anomura","MacLeay, 1838",106671,1,1,"Arthropoda","Decapoda",NA,NA,"Malacostraca",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"13",403614,403614,601447,"Species","Anthias noeli","Anderson & Baldwin, 2000",273828,6,2,"Chordata","Perciformes","Serranidae","Anthias","Actinopteri","Anthias noeli",NA,NA,NA,NA,"Eastern Galapagos Islands"
"14",403684,403684,771628,"Species","Antholoba achates","(Drayton in Dana, 1846)",287436,12,4,"Cnidaria","Actiniaria","Actinostolidae","Antholoba","Anthozoa","Antholoba achates",NA,NA,NA,NA,"Eastern Galapagos Islands"
"15",403690,403690,737630,"Genus","Anthomastus","Verrill, 1878",125285,2,2,"Cnidaria","Alcyonacea","Alcyoniidae","Anthomastus","Anthozoa",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"16",403748,403748,403720,"Species","Anthopleura mariscali","Daly & Fautin, 2004",283362,40,3,"Cnidaria","Actiniaria","Actiniidae","Anthopleura","Anthozoa","Anthopleura mariscali",NA,NA,NA,NA,"Eastern Galapagos Islands"
"17",403754,403754,403720,"Species","Anthopleura nigrescens","(Verrill, 1928)",283368,18,2,"Cnidaria","Actiniaria","Actiniidae","Anthopleura","Anthozoa","Anthopleura nigrescens",NA,NA,NA,NA,"Eastern Galapagos Islands"
"18",403774,403774,769174,"Genus","Anthoptilum","Kölliker, 1880",128489,2,2,"Cnidaria","Pennatulacea","Anthoptilidae","Anthoptilum","Anthozoa",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"19",403788,403788,768907,"Genus","Anthothela","Verrill, 1879",125324,4,2,"Cnidaria","Alcyonacea","Anthothelidae","Anthothela","Anthozoa",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"20",403789,403789,403788,"Species","Anthothela argentea","Studer, 1894",286577,3,2,"Cnidaria","Alcyonacea","Anthothelidae","Anthothela","Anthozoa","Anthothela argentea",NA,NA,NA,NA,"Eastern Galapagos Islands"
"21",404496,404496,404490,"Species","Aplidium californicum","(Ritter & Forsyth, 1917)",249827,1,1,"Chordata","Aplousobranchia","Polyclinidae","Aplidium","Ascidiacea","Aplidium californicum",NA,NA,NA,NA,"Eastern Galapagos Islands"
"22",404781,404781,695650,"Species","Apogon guadalupensis","(Osburn & Nichols, 1916)",273016,4,2,"Chordata","Perciformes","Apogonidae","Apogon","Actinopteri","Apogon guadalupensis",TRUE,"LC",NA,NA,"Eastern Galapagos Islands"
"23",405041,405041,1027868,"Genus","Apristurus","Garman, 1913",105727,3,1,"Chordata","Carcharhiniformes","Pentanchidae","Apristurus","Elasmobranchii",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"24",405053,405053,405041,"Species","Apristurus kampae","Taylor, 1972",271342,1,1,"Chordata","Carcharhiniformes","Pentanchidae","Apristurus","Elasmobranchii","Apristurus kampae",TRUE,"DD",NA,NA,"Eastern Galapagos Islands"
"25",405584,405584,771718,"Species","Archosargus pourtalesii","(Steindachner, 1881)",275965,57,3,"Chordata","Perciformes","Sparidae","Archosargus","Actinopteri","Archosargus pourtalesii",TRUE,"NT",NA,NA,"Eastern Galapagos Islands"
"26",405617,405617,738774,"Species","Arcos poecilophthalmos","(Jenyns, 1842)",279684,22,4,"Chordata","Gobiesociformes","Gobiesocidae","Arcos","Actinopteri","Arcos poecilophthalmos",NA,NA,NA,NA,"Eastern Galapagos Islands"
"27",405925,405925,405924,"Subspecies","Argopecten irradians concentricus","(Say, 1822)",394266,2,1,"Mollusca","Pectinoida","Pectinidae","Argopecten","Bivalvia","Argopecten irradians",NA,NA,NA,NA,"Eastern Galapagos Islands"
"28",405969,405969,405954,"Species","Argyropelecus olfersii","(Cuvier, 1829)",274967,1,1,"Chordata","Stomiiformes","Sternoptychidae","Argyropelecus","Actinopteri","Argyropelecus olfersii",NA,NA,NA,NA,"Eastern Galapagos Islands"
"29",405971,405971,405954,"Species","Argyropelecus sladeni","Regan, 1908",158837,1,1,"Chordata","Stomiiformes","Sternoptychidae","Argyropelecus","Actinopteri","Argyropelecus sladeni",NA,NA,NA,NA,"Eastern Galapagos Islands"
"30",406092,406092,406086,"Species","Arietellus setosus","Giesbrecht, 1893",104352,1,1,"Arthropoda","Calanoida","Arietellidae","Arietellus",NA,"Arietellus setosus",NA,NA,NA,NA,"Eastern Galapagos Islands"
"31",406180,406180,406171,"Species","Aristeus semidentatus","Spence Bate, 1881",220253,1,1,"Arthropoda","Decapoda","Aristeidae","Aristeus","Malacostraca","Aristeus semidentatus",NA,NA,NA,NA,"Eastern Galapagos Islands"
"32",407174,407174,407159,"Species","Asteromphalus flabellatus","(Brébisson) Greville, 1859",162255,1,1,"Ochrophyta","Asterolamprales","Asterolampraceae","Asteromphalus","Bacillariophyceae","Asteromphalus flabellatus",NA,NA,NA,NA,"Eastern Galapagos Islands"
"33",407214,407214,407213,"Species","Asteronyx loveni","Müller & Troschel, 1842",124951,1,1,"Echinodermata","Euryalida","Asteronychidae","Asteronyx","Ophiuroidea","Asteronyx loveni",NA,NA,NA,NA,"Eastern Galapagos Islands"
"34",408021,408021,769576,"Genus","Atorella","Vanhöffen, 1902",135249,1,1,"Cnidaria","Coronatae","Atorellidae","Atorella","Scyphozoa",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"35",409238,409238,739484,"Species","Balaenoptera musculus","(Linnaeus, 1758)",137090,3,3,"Chordata","Cetartiodactyla","Balaenopteridae","Balaenoptera","Mammalia","Balaenoptera musculus",TRUE,"EN",NA,NA,"Eastern Galapagos Islands"
"36",409257,409257,744019,"Genus","Balanophyllia","Wood, 1844",135108,2,2,"Cnidaria","Scleractinia","Dendrophylliidae","Balanophyllia","Anthozoa",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"37",410649,410649,605849,"Species","Bathypathes bayeri","Opresko, 2001",283942,4,3,"Cnidaria","Antipatharia","Schizopathidae","Bathypathes","Anthozoa","Bathypathes bayeri",NA,NA,NA,NA,"Eastern Galapagos Islands"
"38",410678,410678,769599,"Genus","Bathyphysa","Studer, 1878",135383,1,1,"Cnidaria","Siphonophorae","Rhizophysidae","Bathyphysa","Hydrozoa",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"39",410683,410683,671919,"Genus","Bathyplotes","Östergren, 1896",123460,1,1,"Echinodermata","Aspidochirotida","Synallactidae","Bathyplotes","Holothuroidea",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"40",410698,410698,1029787,"Genus","Bathypolypus","Grimpe, 1921",138265,1,1,"Mollusca","Octopoda","Bathypolypodidae","Bathypolypus","Cephalopoda",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"41",410855,410855,605946,"Species","Bathyteuthis abyssicola","Hoyle, 1885",138848,2,1,"Mollusca","Decapodiformes incertae sedis","Bathyteuthidae","Bathyteuthis","Cephalopoda","Bathyteuthis abyssicola",TRUE,"LC",NA,NA,"Eastern Galapagos Islands"
"42",411021,411021,768185,"Species","Beella digitata","(Brady, 1879)",113433,1,1,"Foraminifera","Globigerinida","Globigerinidae","Beella","Globothalamea","Beella digitata",NA,NA,NA,NA,"Eastern Galapagos Islands"
"43",411067,411067,411064,"Species","Bellator farrago","Richards & McCosker, 1998",276273,2,1,"Chordata","Scorpaeniformes","Triglidae","Bellator","Actinopteri","Bellator farrago",TRUE,"LC",NA,NA,"Eastern Galapagos Islands"
"44",411350,411350,411346,"Species","Benthodytes sanguinolenta","Théel, 1882",241785,1,1,"Echinodermata","Elasipodida","Psychropotidae","Benthodytes","Holothuroidea","Benthodytes sanguinolenta",NA,NA,NA,NA,"Eastern Galapagos Islands"
"45",411353,411353,411346,"Species","Benthodytes typica","Théel, 1882",124765,2,1,"Echinodermata","Elasipodida","Psychropotidae","Benthodytes","Holothuroidea","Benthodytes typica",NA,NA,NA,NA,"Eastern Galapagos Islands"
"46",411529,411529,606337,"Species","Bhawania goodei","Webster, 1884",129925,1,1,"Annelida","Phyllodocida","Chrysopetalidae","Bhawania","Polychaeta","Bhawania goodei",NA,NA,NA,NA,"Eastern Galapagos Islands"
"47",412538,412538,696023,"Species","Bothus constellatus","(Jordan, 1889)",274183,3,2,"Chordata","Pleuronectiformes","Bothidae","Bothus","Actinopteri","Bothus constellatus",NA,NA,NA,NA,"Eastern Galapagos Islands"
"48",413884,413884,413876,"Species","Bursa cruentata","(G. B. Sowerby II, 1835)",216982,1,1,"Mollusca","Littorinimorpha","Bursidae","Bursa","Gastropoda","Bursa cruentata",NA,NA,NA,NA,"Eastern Galapagos Islands"
"49",413893,413893,413876,"Species","Bursa granularis","(Röding, 1798)",216964,1,1,"Mollusca","Littorinimorpha","Bursidae","Bursa","Gastropoda","Bursa granularis",NA,NA,NA,NA,"Eastern Galapagos Islands"
"50",414411,414411,740482,"Species","Calamopteryx jeb","Cohen, 1973",280020,10,3,"Chordata","Ophidiiformes","Bythitidae","Calamopteryx","Actinopteri","Calamopteryx jeb",TRUE,"LC",NA,NA,"Eastern Galapagos Islands"
"51",414543,414543,774525,"Species","Calcidiscus leptoporus","(G.Murray & V.H.Blackman) Loeblich Jr. & Tappan, 1978",235923,1,1,"Haptophyta","Coccolithales","Calcidiscaceae","Calcidiscus","Prymnesiophyceae","Calcidiscus leptoporus",NA,NA,NA,NA,"Eastern Galapagos Islands"
"52",414751,414751,805181,"Genus","Callianassa","Leach, 1814",107072,3,1,"Arthropoda","Decapoda","Callianassidae","Callianassa","Malacostraca",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"53",415568,415568,415566,"Species","Calotomus carolinus","(Valenciennes, 1840)",219076,1,1,"Chordata","Perciformes","Scaridae","Calotomus","Actinopteri","Calotomus carolinus",TRUE,"LC",NA,NA,"Eastern Galapagos Islands"
"54",415693,415693,696181,"Species","Calyptrophora agassizii","Studer, 1894",287648,2,2,"Cnidaria","Alcyonacea","Primnoidae","Calyptrophora","Anthozoa","Calyptrophora agassizii",NA,NA,NA,NA,"Eastern Galapagos Islands"
"55",416164,416164,609426,"Species","Candacia bispinosa","(Claus, 1863)",220915,2,1,"Arthropoda","Calanoida","Candaciidae","Candacia",NA,"Candacia bispinosa",NA,NA,NA,NA,"Eastern Galapagos Islands"
"56",416171,416171,609426,"Species","Candacia curta","(Dana, 1849)",104476,2,1,"Arthropoda","Calanoida","Candaciidae","Candacia",NA,"Candacia curta",NA,NA,NA,NA,"Eastern Galapagos Islands"
"57",416179,416179,609426,"Species","Candacia longimana","(Claus, 1863)",104481,1,1,"Arthropoda","Calanoida","Candaciidae","Candacia",NA,"Candacia longimana",NA,NA,NA,NA,"Eastern Galapagos Islands"
"58",416183,416183,609426,"Species","Candacia pachydactyla","(Dana, 1849)",104483,3,1,"Arthropoda","Calanoida","Candaciidae","Candacia",NA,"Candacia pachydactyla",NA,NA,NA,NA,"Eastern Galapagos Islands"
"59",416188,416188,609426,"Species","Candacia simplex","(Giesbrecht, 1889)",220914,1,1,"Arthropoda","Calanoida","Candaciidae","Candacia",NA,"Candacia simplex",NA,NA,NA,NA,"Eastern Galapagos Islands"
"60",416190,416190,609426,"Species","Candacia truncata","(Dana, 1849)",220916,1,1,"Arthropoda","Calanoida","Candaciidae","Candacia",NA,"Candacia truncata",NA,NA,NA,NA,"Eastern Galapagos Islands"
"61",416305,416305,416304,"Species","Canthigaster amboinensis","(Bleeker, 1864)",219935,2,1,"Chordata","Tetraodontiformes","Tetraodontidae","Canthigaster","Actinopteri","Canthigaster amboinensis",TRUE,"LC",NA,NA,"Eastern Galapagos Islands"
"62",416732,416732,696240,"Species","Carcharhinus albimarginatus","(Rüppell, 1837)",217352,6,2,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Elasmobranchii","Carcharhinus albimarginatus",TRUE,"NT",NA,NA,"Eastern Galapagos Islands"
"63",416747,416747,696240,"Species","Carcharhinus galapagensis","(Snodgrass & Heller, 1905)",105790,31,4,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Elasmobranchii","Carcharhinus galapagensis",TRUE,"NT",NA,NA,"Eastern Galapagos Islands"
"64",416756,416756,696240,"Species","Carcharhinus longimanus","(Poey, 1861)",105794,1,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Elasmobranchii","Carcharhinus longimanus",TRUE,"VU",NA,NA,"Eastern Galapagos Islands"
"65",417267,417267,741049,"Genus","Caryophyllia","Lamarck, 1801",135085,2,2,"Cnidaria","Scleractinia","Caryophylliidae","Caryophyllia","Anthozoa",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"66",417283,417283,417267,"Species","Caryophyllia arnoldi","Vaughan, 1900",286728,2,2,"Cnidaria","Scleractinia","Caryophylliidae","Caryophyllia","Anthozoa","Caryophyllia arnoldi",NA,NA,NA,NA,"Eastern Galapagos Islands"
"67",417309,417309,417267,"Species","Caryophyllia diomedeae","Marenzeller, 1904",135139,4,3,"Cnidaria","Scleractinia","Caryophylliidae","Caryophyllia","Anthozoa","Caryophyllia diomedeae",NA,NA,NA,NA,"Eastern Galapagos Islands"
"68",417339,417339,417267,"Species","Caryophyllia perculta","Cairns, 1991",286757,4,3,"Cnidaria","Scleractinia","Caryophylliidae","Caryophyllia","Anthozoa","Caryophyllia perculta",NA,NA,NA,NA,"Eastern Galapagos Islands"
"69",417357,417357,417267,"Species","Caryophyllia solida","Cairns, 1991",286767,20,4,"Cnidaria","Scleractinia","Caryophylliidae","Caryophyllia","Anthozoa","Caryophyllia solida",TRUE,"DD",NA,NA,"Eastern Galapagos Islands"
"70",418232,418232,418226,"Species","Centropages calaninus","(Dana, 1849)",104492,1,1,"Arthropoda","Calanoida","Centropagidae","Centropages",NA,"Centropages calaninus",NA,NA,NA,NA,"Eastern Galapagos Islands"
"71",418237,418237,418226,"Species","Centropages furcatus","(Dana, 1849)",104495,3,1,"Arthropoda","Calanoida","Centropagidae","Centropages",NA,"Centropages furcatus",NA,NA,NA,NA,"Eastern Galapagos Islands"
"72",418352,418352,741288,"Species","Centroscyllium nigrum","Garman, 1899",271623,2,2,"Chordata","Squaliformes","Etmopteridae","Centroscyllium","Elasmobranchii","Centroscyllium nigrum",TRUE,"DD",NA,NA,"Eastern Galapagos Islands"
"73",418430,418430,418406,"Species","Cephalopholis panamensis","(Steindachner, 1877)",279152,89,2,"Chordata","Perciformes","Serranidae","Cephalopholis","Actinopteri","Cephalopholis panamensis",TRUE,"LC",NA,NA,"Eastern Galapagos Islands"
"74",418442,418442,752044,"Class","Cephalopoda","Cuvier, 1795",11707,7,2,"Mollusca",NA,NA,NA,"Cephalopoda",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"75",418711,418711,418669,"Species","Ceratium fusus","(Ehrenberg) Dujardin, 1841",109951,1,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Dinophyceae","Ceratium fusus",NA,NA,NA,NA,"Eastern Galapagos Islands"
"76",418720,418720,418669,"Species","Ceratium hexacanthum","Gourret, 1883",109955,1,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Dinophyceae","Ceratium hexacanthum",NA,NA,NA,NA,"Eastern Galapagos Islands"
"77",418744,418744,418669,"Species","Ceratium massiliense","(Gourret) Karsten, 1906",109968,1,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Dinophyceae","Ceratium massiliense",NA,NA,NA,NA,"Eastern Galapagos Islands"
"78",418777,418777,418669,"Species","Ceratium trichoceros","(Ehrenberg) Kofoid, 1881",109981,1,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Dinophyceae","Ceratium trichoceros",NA,NA,NA,NA,"Eastern Galapagos Islands"
"79",418779,418779,418669,"Species","Ceratium tripos","(O.F.Müller) Nitzsch, 1817",109982,1,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Dinophyceae","Ceratium tripos",NA,NA,NA,NA,"Eastern Galapagos Islands"
"80",419131,419131,767107,"Family","Cerithiidae","Fleming, 1822",128,1,1,"Mollusca","Caenogastropoda incertae sedis","Cerithiidae",NA,"Gastropoda",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"81",419465,419465,741513,"Species","Chaenopsis schmitti","Böhlke, 1957",280110,10,2,"Chordata","Perciformes","Chaenopsidae","Chaenopsis","Actinopteri","Chaenopsis schmitti",TRUE,"VU",NA,NA,"Eastern Galapagos Islands"
"82",419810,419810,696396,"Species","Chaetodon kleinii","Bloch, 1790",218738,4,1,"Chordata","Perciformes","Chaetodontidae","Chaetodon","Actinopteri","Chaetodon kleinii",TRUE,"LC",NA,NA,"Eastern Galapagos Islands"
"83",419829,419829,696396,"Species","Chaetodon meyeri","Bloch & Schneider, 1801",218752,2,1,"Chordata","Perciformes","Chaetodontidae","Chaetodon","Actinopteri","Chaetodon meyeri",TRUE,"LC",NA,NA,"Eastern Galapagos Islands"
"84",420218,420218,773827,"Species","Chanos chanos","(Forsskål, 1775)",217625,60,2,"Chordata","Gonorhynchiformes","Chanidae","Chanos","Actinopteri","Chanos chanos",NA,NA,NA,NA,"Eastern Galapagos Islands"
"85",420653,420653,420623,"Species","Cheilopogon xenopterus","(Gilbert, 1890)",272166,4,2,"Chordata","Beloniformes","Exocoetidae","Cheilopogon","Actinopteri","Cheilopogon xenopterus",TRUE,"LC",NA,NA,"Eastern Galapagos Islands"
"86",420874,420874,420871,"Species","Chelonibia testudinaria","(Linnaeus, 1758)",106235,1,1,"Arthropoda","Sessilia","Chelonibiidae","Chelonibia",NA,"Chelonibia testudinaria",NA,NA,NA,NA,"Eastern Galapagos Islands"
"87",420876,420876,743298,"Family","Cheloniidae","Oppel, 1811",136999,1,1,"Chordata","Testudines","Cheloniidae",NA,"Reptilia",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"88",420956,420956,612446,"Species","Chiasmodon niger","Johnson, 1864",126840,3,1,"Chordata","Perciformes","Chiasmodontidae","Chiasmodon","Actinopteri","Chiasmodon niger",NA,NA,NA,NA,"Eastern Galapagos Islands"
"89",421114,421114,421106,"Species","Chilomycterus reticulatus","(Linnaeus, 1758)",219964,22,1,"Chordata","Tetraodontiformes","Diodontidae","Chilomycterus","Actinopteri","Chilomycterus reticulatus",NA,NA,NA,NA,"Eastern Galapagos Islands"
"90",421532,421532,421530,"Species","Chlopsis bicollaris","(Myers & Wade, 1941)",271713,14,3,"Chordata","Anguilliformes","Chlopsidae","Chlopsis","Actinopteri","Chlopsis bicollaris",TRUE,"NT",NA,NA,"Eastern Galapagos Islands"
"91",421602,421602,741884,"Genus","Chlorophthalmus","Bonaparte, 1840",125664,1,1,"Chordata","Aulopiformes","Chlorophthalmidae","Chlorophthalmus","Actinopteri",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"92",421619,421619,421602,"Species","Chlorophthalmus mento","Garman, 1899",272058,10,2,"Chordata","Aulopiformes","Chlorophthalmidae","Chlorophthalmus","Actinopteri","Chlorophthalmus mento",NA,NA,NA,NA,"Eastern Galapagos Islands"
"93",422110,422110,422102,"Species","Chromis alta","Greenfield & Woods, 1980",273710,23,1,"Chordata","Perciformes","Pomacentridae","Chromis","Actinopteri","Chromis alta",TRUE,"LC",NA,NA,"Eastern Galapagos Islands"
"94",422824,422824,422804,"Species","Cirolana harfordi","(Lockington, 1877)",256526,5,1,"Arthropoda","Isopoda","Cirolanidae","Cirolana","Malacostraca","Cirolana harfordi",NA,NA,NA,NA,"Eastern Galapagos Islands"
"95",423135,423135,742128,"Species","Citharichthys gilberti","Jenkins & Evermann, 1889",275688,2,2,"Chordata","Pleuronectiformes","Paralichthyidae","Citharichthys","Actinopteri","Citharichthys gilberti",TRUE,"LC",NA,NA,"Eastern Galapagos Islands"
"96",423136,423136,742128,"Species","Citharichthys gnathus","Hoshino & Amaoka, 1999",275689,7,3,"Chordata","Pleuronectiformes","Paralichthyidae","Citharichthys","Actinopteri","Citharichthys gnathus",TRUE,"DD",NA,NA,"Eastern Galapagos Islands"
"97",423704,423704,696573,"Species","Clausocalanus arcuicornis","(Dana, 1849)",104502,1,1,"Arthropoda","Calanoida","Clausocalanidae","Clausocalanus",NA,"Clausocalanus arcuicornis",NA,NA,NA,NA,"Eastern Galapagos Islands"
"98",424338,424338,614533,"Species","Clytia linearis","(Thorneley, 1900)",117370,1,1,"Cnidaria","Leptothecata","Campanulariidae","Clytia","Hydrozoa","Clytia linearis",NA,NA,NA,NA,"Eastern Galapagos Islands"
"99",424458,424458,424456,"Genus","Coccolithus","E.H.L.Schwarz, 1894",178598,58,1,"Haptophyta","Coccolithales","Coccolithaceae","Coccolithus","Prymnesiophyceae",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"100",425022,425022,742449,"Species","Coelorinchus canus","(Garman, 1899)",280260,3,1,"Chordata","Gadiformes","Macrouridae","Coelorinchus","Actinopteri","Coelorinchus canus",NA,NA,NA,NA,"Eastern Galapagos Islands"
"101",425300,425300,696634,"Species","Colobonema sericeum","Vanhöffen, 1902",117854,1,1,"Cnidaria","Trachymedusae","Rhopalonematidae","Colobonema","Hydrozoa","Colobonema sericeum",NA,NA,NA,NA,"Eastern Galapagos Islands"
"102",425316,425316,742510,"Species","Cololabis adocetus","Böhlke, 1951",280365,4,2,"Chordata","Beloniformes","Scomberesocidae","Cololabis","Actinopteri","Cololabis adocetus",NA,NA,NA,NA,"Eastern Galapagos Islands"
"103",426559,426559,616144,"Species","Copilia mirabilis","Dana, 1852",129038,1,1,"Arthropoda","Poecilostomatoida","Sapphirinidae","Copilia",NA,"Copilia mirabilis",NA,NA,NA,NA,"Eastern Galapagos Islands"
"104",427186,427186,616514,"Species","Corycaeus speciosus","Dana, 1849",128800,1,1,"Arthropoda","Poecilostomatoida","Corycaeidae","Corycaeus",NA,"Corycaeus speciosus",NA,NA,NA,NA,"Eastern Galapagos Islands"
"105",427382,427382,743008,"Species","Coryphaenoides delsolari","Chirichigno F. & Iwamoto, 1977",272327,4,2,"Chordata","Gadiformes","Macrouridae","Coryphaenoides","Actinopteri","Coryphaenoides delsolari",NA,NA,NA,NA,"Eastern Galapagos Islands"
"106",428775,428775,743224,"Species","Crispatotrochus galapagensis","Cairns, 1991",289738,8,3,"Cnidaria","Scleractinia","Caryophylliidae","Crispatotrochus","Anthozoa","Crispatotrochus galapagensis",TRUE,"DD",NA,NA,"Eastern Galapagos Islands"
"107",429038,429038,799828,"Genus","Crypthelia","Milne Edwards & Haime, 1849",117241,6,2,"Cnidaria","Anthoathecata","Stylasteridae","Crypthelia","Hydrozoa",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"108",429043,429043,429038,"Species","Crypthelia cymas","Cairns, 1986",285778,18,3,"Cnidaria","Anthoathecata","Stylasteridae","Crypthelia","Hydrozoa","Crypthelia cymas",NA,NA,NA,NA,"Eastern Galapagos Islands"
"109",429045,429045,429038,"Species","Crypthelia lacunosa","Cairns, 1986",285788,6,2,"Cnidaria","Anthoathecata","Stylasteridae","Crypthelia","Hydrozoa","Crypthelia lacunosa",NA,NA,NA,NA,"Eastern Galapagos Islands"
"110",429559,429559,618144,"Species","Cubiceps pauciradiatus","Günther, 1872",159424,2,1,"Chordata","Perciformes","Nomeidae","Cubiceps","Actinopteri","Cubiceps pauciradiatus",NA,NA,NA,NA,"Eastern Galapagos Islands"
"111",429589,429589,696857,"Genus","Cucumaria","de Blainville, 1830",123479,1,1,"Echinodermata","Dendrochirotida","Cucumariidae","Cucumaria","Holothuroidea",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"112",430385,430385,696894,"Species","Cyclothone acclinidens","Garman, 1899",127282,4,2,"Chordata","Stomiiformes","Gonostomatidae","Cyclothone","Actinopteri","Cyclothone acclinidens",NA,NA,NA,NA,"Eastern Galapagos Islands"
"113",430911,430911,777272,"Family","Cymothoidae","Leach, 1818",118274,1,1,"Arthropoda","Isopoda","Cymothoidae",NA,"Malacostraca",NA,NA,NA,NA,NA,"Eastern Galapagos Islands"
"114",431419,431419,696947,"Species","Cypselurus angusticeps","Nichols & Breder, 1935",278729,1,1,"Chordata","Beloniformes","Exocoetidae","Cypselurus","Actinopteri","Cypselurus angusticeps",NA,NA,NA,NA,"Eastern Galapagos Islands"
"115",431587,431587,431583,"Species","Cystodytes dellechiajei","(Della Valle, 1877)",103601,1,1,"Chordata","Aplousobranchia","Polycitoridae","Cystodytes","Ascidiacea","Cystodytes dellechiajei",NA,NA,NA,NA,"Eastern Galapagos Islands"
"116",431631,431631,431629,"Species","Cytaeis vulgaris","Agassiz & Mayer, 1899",284567,8,2,"Cnidaria","Anthoathecata","Cytaeididae","Cytaeis","Hydrozoa","Cytaeis vulgaris",NA,NA,NA,NA,"Eastern Galapagos Islands"
