"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","family","genus","species","class","order","redlist","status","gisd","hab","ecoregion"
"13",397357,397357,597075,"Species","Acrosiphonia coalita","(Ruprecht) Scagel, Garbary, Golden & M.W.Hawkes, 1986",366445,1,1,"Chlorophyta","Ulotrichaceae","Acrosiphonia","Acrosiphonia coalita","Ulvophyceae","Ulotrichales",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"14",398083,398083,398029,"Species","Actinoptychus senarius","(Ehrenberg) Ehrenberg, 1843",148948,9,1,"Ochrophyta","Heliopeltaceae","Actinoptychus","Actinoptychus senarius","Bacillariophyceae","Coscinodiscales",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"15",398190,398190,758792,"Genus","Actitis","lliiger, 1811",159080,8,1,"Chordata","Scolopacidae","Actitis",NA,"Aves","Charadriiformes",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"16",398265,398265,398264,"Species","Adenoides eludens","(Herdman) Balech, 1956",110069,1,1,"Myzozoa","Peridiniida incertae sedis","Adenoides","Adenoides eludens","Dinophyceae","Peridiniales",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"17",398380,398380,778545,"Species","Aechmophorus occidentalis","(Lawrence, 1858)",366617,9158,21,"Chordata","Podicipedidae","Aechmophorus","Aechmophorus occidentalis","Aves","Podicipediformes",TRUE,"LC",NA,NA,"Puget Trough_Georgia Basin"
"18",398561,398561,767084,"Genus","Aequorea","Péron & Lesueur, 1810",116998,1,1,"Cnidaria","Aequoreidae","Aequorea",NA,"Hydrozoa","Leptothecata",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"19",398647,398647,398644,"Species","Aetideus armatus","(Boeck, 1872)",104275,12,1,"Arthropoda","Aetideidae","Aetideus","Aetideus armatus",NA,"Calanoida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"20",398790,398790,398789,"Species","Agarum clathratum","Dumortier, 1822",157207,1,1,"Ochrophyta","Costariaceae","Agarum","Agarum clathratum","Phaeophyceae","Laminariales",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"21",398792,398792,398789,"Species","Agarum fimbriatum","Harvey, 1862",372699,8,3,"Ochrophyta","Costariaceae","Agarum","Agarum fimbriatum","Phaeophyceae","Laminariales",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"22",398853,398853,700249,"Genus","Aglantha","Haeckel, 1879",117212,3,1,"Cnidaria","Rhopalonematidae","Aglantha",NA,"Hydrozoa","Trachymedusae",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"23",398885,398885,398912,"Genus","Aglaophenia","Lamouroux, 1812",116999,2,2,"Cnidaria","Aglaopheniidae","Aglaophenia",NA,"Hydrozoa","Leptothecata",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"24",398897,398897,398885,"Species","Aglaophenia latirostris","Nutting, 1900",284035,1,1,"Cnidaria","Aglaopheniidae","Aglaophenia","Aglaophenia latirostris","Hydrozoa","Leptothecata",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"25",398908,398908,398885,"Species","Aglaophenia struthionides","(Murray, 1860)",284054,1,1,"Cnidaria","Aglaopheniidae","Aglaophenia","Aglaophenia struthionides","Hydrozoa","Leptothecata",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"26",398961,398961,776123,"Species","Agonomalus mozinoi","Wilimovsky & Wilson, 1979",279517,1,1,"Chordata","Agonidae","Agonomalus","Agonomalus mozinoi","Actinopteri","Scorpaeniformes",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"27",399043,399043,399042,"Species","Ahnfeltia fastigiata","(Endlicher) Makienko, 1970",372235,5,1,"Rhodophyta","Ahnfeltiaceae","Ahnfeltia","Ahnfeltia fastigiata","Florideophyceae","Ahnfeltiales",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"28",399050,399050,737576,"Species","Ahnfeltiopsis gigartinoides","(J.Agardh) P.C.Silva & DeCew, 1992",372232,1,1,"Rhodophyta","Phyllophoraceae","Ahnfeltiopsis","Ahnfeltiopsis gigartinoides","Florideophyceae","Gigartinales",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"29",399212,399212,770298,"Genus","Alaria","Greville, 1830",144194,1,1,"Ochrophyta","Alariaceae","Alaria",NA,"Phaeophyceae","Laminariales",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"30",399215,399215,399212,"Species","Alaria marginata","Postels & Ruprecht, 1840",371791,5,4,"Ochrophyta","Alariaceae","Alaria","Alaria marginata","Phaeophyceae","Laminariales",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"31",399317,399317,399316,"Genus","Alcyonidium","J.V.F.Lamouroux, 1813",110993,3,1,"Bryozoa","Alcyonidiidae","Alcyonidium",NA,"Gymnolaemata","Ctenostomatida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"32",399326,399326,399317,"Species","Alcyonidium gelatinosum","(Hudson) J.V.Lamouroux",111600,2,1,"Bryozoa","Alcyonidiidae","Alcyonidium","Alcyonidium gelatinosum","Gymnolaemata","Ctenostomatida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"33",399538,399538,774241,"Species","Alienacanthomysis macropsis","(W. Tattersall, 1932)",226662,1,1,"Arthropoda","Mysidae","Alienacanthomysis","Alienacanthomysis macropsis","Malacostraca","Mysida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"34",399566,399566,774445,"Species","Alitta virens","(M. Sars, 1835)",234851,2,1,"Annelida","Nereididae","Alitta","Alitta virens","Polychaeta","Phyllodocida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"35",399768,399768,598830,"Species","Alosa sapidissima","(Wilson, 1811)",158670,14,4,"Chordata","Clupeidae","Alosa","Alosa sapidissima","Actinopteri","Clupeiformes",TRUE,"LC",NA,NA,"Puget Trough_Georgia Basin"
"36",400043,400043,504575,"Genus","Alvania","Risso, 1826",138439,24,2,"Mollusca","Rissoidae","Alvania",NA,"Gastropoda","Littorinimorpha",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"37",400309,400309,400307,"Species","Amathimysis serrata","Murano, 1986",226926,4,2,"Arthropoda","Mysidae","Amathimysis","Amathimysis serrata","Malacostraca","Mysida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"38",400558,400558,599390,"Species","Ameiurus melas","(Rafinesque, 1820)",154205,4,3,"Chordata","Ictaluridae","Ameiurus","Ameiurus melas","Actinopteri","Siluriformes",TRUE,"LC",NA,NA,"Puget Trough_Georgia Basin"
"39",400655,400655,599445,"Species","Ammodytes personatus","Girard, 1856",272967,1,1,"Chordata","Ammodytidae","Ammodytes","Ammodytes personatus","Actinopteri","Perciformes",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"40",400656,400656,599445,"Species","Ammodytes tobianus","Linnaeus, 1758",126752,1,1,"Chordata","Ammodytidae","Ammodytes","Ammodytes tobianus","Actinopteri","Perciformes",TRUE,"DD",NA,NA,"Puget Trough_Georgia Basin"
"41",400785,400785,737935,"Species","Ampelisca agassizi","(Judd, 1896)",158021,13,3,"Arthropoda","Ampeliscidae","Ampelisca","Ampelisca agassizi","Malacostraca","Amphipoda",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"42",400811,400811,737935,"Species","Ampelisca cristata","Holmes, 1908",421436,4,2,"Arthropoda","Ampeliscidae","Ampelisca","Ampelisca cristata","Malacostraca","Amphipoda",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"43",400835,400835,737935,"Species","Ampelisca lobata","Holmes, 1908",421438,7,3,"Arthropoda","Ampeliscidae","Ampelisca","Ampelisca lobata","Malacostraca","Amphipoda",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"44",400882,400882,628170,"Family","Ampeliscidae","Krøyer, 1842",101364,20,2,"Arthropoda","Ampeliscidae",NA,NA,"Malacostraca","Amphipoda",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"45",400896,400896,599696,"Species","Ampharete acutifrons","(Grube, 1860)",129775,77,3,"Annelida","Ampharetidae","Ampharete","Ampharete acutifrons","Polychaeta","Terebellida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"46",400901,400901,599696,"Species","Ampharete finmarchica","(M. Sars, 1865)",129778,13,1,"Annelida","Ampharetidae","Ampharete","Ampharete finmarchica","Polychaeta","Terebellida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"47",400906,400906,599696,"Species","Ampharete labrops","Hartman, 1961",326317,34,3,"Annelida","Ampharetidae","Ampharete","Ampharete labrops","Polychaeta","Terebellida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"48",401029,401029,401022,"Species","Amphicteis scaphobranchiata","Moore, 1906",326344,1,1,"Annelida","Ampharetidae","Amphicteis","Amphicteis scaphobranchiata","Polychaeta","Terebellida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"49",401208,401208,401717,"Genus","Amphiodia","Verrill, 1899",172595,28,1,"Echinodermata","Amphiuridae","Amphiodia",NA,"Ophiuroidea","Ophiurida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"50",401212,401212,774900,"Species","Amphiodia (Amphispina) urtica","(Lyman, 1860)",245665,15,2,"Echinodermata","Amphiuridae","Amphiodia","Amphiodia (Amphispina) urtica","Ophiuroidea","Ophiurida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"51",401220,401220,401208,"Species","Amphiodia occidentalis","(Lyman, 1860)",242666,1,1,"Echinodermata","Amphiuridae","Amphiodia","Amphiodia occidentalis","Ophiuroidea","Ophiurida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"52",401221,401221,401208,"Species","Amphiodia periercta","H.L. Clark, 1911",242670,5,2,"Echinodermata","Amphiuridae","Amphiodia","Amphiodia periercta","Ophiuroidea","Ophiurida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"53",401320,401320,401717,"Genus","Amphipholis","Ljungman, 1866",123612,7,2,"Echinodermata","Amphiuridae","Amphipholis",NA,"Ophiuroidea","Ophiurida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"54",401328,401328,401320,"Species","Amphipholis pugetana","(Lyman, 1860)",242878,4,2,"Echinodermata","Amphiuridae","Amphipholis","Amphipholis pugetana","Ophiuroidea","Ophiurida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"55",401331,401331,401320,"Species","Amphipholis squamata","(Delle Chiaje, 1828)",125064,6,1,"Echinodermata","Amphiuridae","Amphipholis","Amphipholis squamata","Ophiuroidea","Ophiurida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"56",401367,401367,738062,"Genus","Amphiporus","Ehrenberg, 1831",122391,6,1,"Nemertea","Amphiporidae","Amphiporus",NA,"Enopla","Monostilifera",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"57",401633,401633,401717,"Genus","Amphiura","Forbes, 1843",123613,1,1,"Echinodermata","Amphiuridae","Amphiura",NA,"Ophiuroidea","Ophiurida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"58",401717,401717,772939,"Family","Amphiuridae","Ljungman, 1867",123206,146,3,"Echinodermata","Amphiuridae",NA,NA,"Ophiuroidea","Ophiurida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"59",402024,402024,1014255,"Genus","Ampithoe","Leach, 1814",101459,4,1,"Arthropoda","Ampithoidae","Ampithoe",NA,"Malacostraca","Amphipoda",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"60",402075,402075,778668,"Species","Amplisiphonia pacifica","Hollenberg, 1939",372526,3,1,"Rhodophyta","Rhodomelaceae","Amplisiphonia","Amplisiphonia pacifica","Florideophyceae","Ceramiales",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"61",402329,402329,738199,"Species","Analipus japonicus","(Harvey) M.J.Wynne, 1971",371891,3,2,"Ochrophyta","Scytosiphonaceae","Analipus","Analipus japonicus","Phaeophyceae","Scytosiphonales",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"62",402423,402423,738224,"Genus","Anas","Linnaeus, 1758",148788,1872,19,"Chordata","Anatidae","Anas",NA,"Aves","Anseriformes",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"63",402424,402424,402423,"Species","Anas acuta","Linnaeus, 1758",158939,963,12,"Chordata","Anatidae","Anas","Anas acuta","Aves","Anseriformes",TRUE,"LC",NA,NA,"Puget Trough_Georgia Basin"
"64",402431,402431,402423,"Species","Anas discors","Linnaeus, 1766",159167,7,3,"Chordata","Anatidae","Anas","Anas discors","Aves","Anseriformes",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"65",402434,402434,402423,"Species","Anas oustaleti","Salvadori, 1894",378497,7785,20,"Chordata","Anatidae","Anas","Anas oustaleti","Aves","Anseriformes",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"66",402436,402436,402423,"Species","Anas platyrhynchos","Linnaeus, 1758",148791,1,1,"Chordata","Anatidae","Anas","Anas platyrhynchos","Aves","Anseriformes",TRUE,"LC",TRUE,NA,"Puget Trough_Georgia Basin"
"67",402441,402441,402423,"Species","Anas strepera","Linnaeus, 1758",159171,112,13,"Chordata","Anatidae","Anas","Anas strepera","Aves","Anseriformes",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"68",403117,403117,403116,"Species","Anobothrus gracilis","(Malmgren, 1866)",129789,9,1,"Annelida","Ampharetidae","Anobothrus","Anobothrus gracilis","Polychaeta","Terebellida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"69",403119,403119,1040401,"Genus","Anodonta","Lamarck, 1799",224838,2,1,"Mollusca","Unionidae","Anodonta",NA,"Bivalvia","Unionoida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"70",403211,403211,767747,"Infraorder","Anomura","MacLeay, 1838",106671,1,1,"Arthropoda",NA,NA,NA,"Malacostraca","Decapoda",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"71",403212,403212,781281,"Genus","Anonyx","Krøyer, 1838",101592,6,1,"Arthropoda","Uristidae","Anonyx",NA,"Malacostraca","Amphipoda",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"72",403231,403231,738346,"Species","Anoplarchus insignis","Gilbert & Burke, 1912",279632,10,4,"Chordata","Stichaeidae","Anoplarchus","Anoplarchus insignis","Actinopteri","Perciformes",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"73",403232,403232,738346,"Species","Anoplarchus purpurescens","Gill, 1861",279633,14,3,"Chordata","Stichaeidae","Anoplarchus","Anoplarchus purpurescens","Actinopteri","Perciformes",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"74",403270,403270,403239,"Species","Anoplodactylus viridintestinalis","(Cole, 1904)",239846,2,1,"Arthropoda","Phoxichilidiidae","Anoplodactylus","Anoplodactylus viridintestinalis","Pycnogonida","Pantopoda",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"75",403284,403284,771743,"Species","Anoplopoma fimbria","(Pallas, 1814)",159463,45,4,"Chordata","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria","Actinopteri","Scorpaeniformes",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"76",403344,403344,403343,"Species","Anser albifrons","(Scopoli, 1769)",159159,1,1,"Chordata","Anatidae","Anser","Anser albifrons","Aves","Anseriformes",TRUE,"LC",NA,NA,"Puget Trough_Georgia Basin"
"77",403358,403358,432917,"Genus","Antalis","H. Adams & A. Adams, 1854",150531,10,2,"Mollusca","Dentaliidae","Antalis",NA,"Scaphopoda","Dentaliida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"78",403727,403727,403720,"Species","Anthopleura artemisia","(Pickering in Dana, 1846)",283337,21,2,"Cnidaria","Actiniidae","Anthopleura","Anthopleura artemisia","Anthozoa","Actiniaria",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"79",403770,403770,403720,"Species","Anthopleura xanthogrammica","(Brandt, 1835)",283377,6,4,"Cnidaria","Actiniidae","Anthopleura","Anthopleura xanthogrammica","Anthozoa","Actiniaria",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"80",403809,403809,765441,"Family","Anthuridae","Leach, 1814",118244,2,2,"Arthropoda","Anthuridae",NA,NA,"Malacostraca","Isopoda",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"81",403995,403995,772239,"Genus","Antithamnion","Nägeli, 1847",143827,1,1,"Rhodophyta","Ceramiaceae","Antithamnion",NA,"Florideophyceae","Ceramiales",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"82",404001,404001,403995,"Species","Antithamnion defectum","Kylin, 1925",238760,1,1,"Rhodophyta","Ceramiaceae","Antithamnion","Antithamnion defectum","Florideophyceae","Ceramiales",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"83",404106,404106,1011464,"Family","Aoridae","Stebbing, 1899",101368,28,2,"Arthropoda","Aoridae",NA,NA,"Malacostraca","Amphipoda",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"84",404238,404238,738559,"Species","Aphareus rutilans","Cuvier, 1830",218468,1,1,"Chordata","Lutjanidae","Aphareus","Aphareus rutilans","Actinopteri","Perciformes",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"85",404244,404244,601789,"Species","Aphelochaeta glandaria","Blake, 1996",326478,32,1,"Annelida","Cirratulidae","Aphelochaeta","Aphelochaeta glandaria","Polychaeta","Terebellida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"86",404251,404251,601789,"Species","Aphelochaeta tigrina","Blake, 1996",326481,4,1,"Annelida","Cirratulidae","Aphelochaeta","Aphelochaeta tigrina","Polychaeta","Terebellida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"87",404313,404313,758792,"Genus","Aphriza","Audubon, 1839",225875,17,6,"Chordata","Scolopacidae","Aphriza",NA,"Aves","Charadriiformes",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"88",404318,404318,404315,"Species","Aphrocallistes vastus","Schulze, 1886",171632,2,2,"Porifera","Aphrocallistidae","Aphrocallistes","Aphrocallistes vastus","Hexactinellida","Hexactinosida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"89",404327,404327,601831,"Species","Aphrodita japonica","Marenzeller, 1879",326499,1,1,"Annelida","Aphroditidae","Aphrodita","Aphrodita japonica","Polychaeta","Phyllodocida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"90",404328,404328,601831,"Species","Aphrodita negligens","Moore, 1905",332999,2,2,"Annelida","Aphroditidae","Aphrodita","Aphrodita negligens","Polychaeta","Phyllodocida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"91",404432,404432,601900,"Species","Apistobranchus ornatus","Hartman, 1965",326532,28,3,"Annelida","Apistobranchidae","Apistobranchus","Apistobranchus ornatus","Polychaeta","Spionida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"92",404490,404490,756411,"Genus","Aplidium","Savigny, 1816",103471,5,2,"Chordata","Polyclinidae","Aplidium",NA,"Ascidiacea","Aplousobranchia",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"93",404677,404677,776172,"Species","Apodichthys flavidus","Girard, 1854",279664,39,6,"Chordata","Pholidae","Apodichthys","Apodichthys flavidus","Actinopteri","Perciformes",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"94",404678,404678,776172,"Species","Apodichthys fucorum","Jordan & Gilbert, 1880",279665,2,2,"Chordata","Pholidae","Apodichthys","Apodichthys fucorum","Actinopteri","Perciformes",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"95",405045,405045,405041,"Species","Apristurus brunneus","(Gilbert, 1892)",158512,73,5,"Chordata","Pentanchidae","Apristurus","Apristurus brunneus","Elasmobranchii","Carcharhiniformes",TRUE,"DD",NA,NA,"Puget Trough_Georgia Basin"
"96",405225,405225,741733,"Class","Arachnida","Cuvier, 1812",1300,1,1,"Arthropoda",NA,NA,NA,"Arachnida",NA,NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"97",405314,405314,774917,"Genus","Araphura","Bird & Holdich, 1984",136206,2,2,"Arthropoda","Tanaellidae","Araphura",NA,"Malacostraca","Tanaidacea",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"98",405318,405318,405314,"Species","Araphura cuspirostris","Dojiri & Sieg, 1997",247661,2,1,"Arthropoda","Tanaellidae","Araphura","Araphura cuspirostris","Malacostraca","Tanaidacea",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"99",405436,405436,774246,"Species","Archaeomysis grebnitzkii","Czerniavsky, 1882",226485,1,1,"Arthropoda","Mysidae","Archaeomysis","Archaeomysis grebnitzkii","Malacostraca","Mysida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"100",405500,405500,767493,"Genus","Archidistoma","Garstang, 1891",103452,1,1,"Chordata","Polycitoridae","Archidistoma",NA,"Ascidiacea","Aplousobranchia",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"101",405664,405664,602521,"Species","Arcteobia anticostiensis","(Mcintosh, 1874)",157214,50,2,"Annelida","Polynoidae","Arcteobia","Arcteobia anticostiensis","Polychaeta","Phyllodocida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"102",405691,405691,405690,"Species","Arctonoe fragilis","(Baird, 1863)",333029,1,1,"Annelida","Polynoidae","Arctonoe","Arctonoe fragilis","Polychaeta","Phyllodocida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"103",405692,405692,405690,"Species","Arctonoe pulchra","(Johnson, 1897)",333030,3,3,"Annelida","Polynoidae","Arctonoe","Arctonoe pulchra","Polychaeta","Phyllodocida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"104",405693,405693,405690,"Species","Arctonoe vittata","(Grube, 1855)",254301,1,1,"Annelida","Polynoidae","Arctonoe","Arctonoe vittata","Polychaeta","Phyllodocida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"105",405749,405749,771734,"Species","Ardea herodias","Linnaeus, 1758",159382,8362,21,"Chordata","Ardeidae","Ardea","Ardea herodias","Aves","Ciconiiformes",TRUE,"LC",NA,NA,"Puget Trough_Georgia Basin"
"106",405783,405783,758792,"Genus","Arenaria","Brisson, 1760",147430,100,11,"Chordata","Scolopacidae","Arenaria",NA,"Aves","Charadriiformes",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"107",405785,405785,405783,"Species","Arenaria interpres","(Linnaeus, 1758)",147431,4,2,"Chordata","Scolopacidae","Arenaria","Arenaria interpres","Aves","Charadriiformes",TRUE,"LC",NA,NA,"Puget Trough_Georgia Basin"
"108",405787,405787,405783,"Species","Arenaria melanocephala","(Vigors, 1829)",366869,23,8,"Chordata","Scolopacidae","Arenaria","Arenaria melanocephala","Aves","Charadriiformes",TRUE,"LC",NA,NA,"Puget Trough_Georgia Basin"
"109",405890,405890,428222,"Genus","Argis","Krøyer, 1843",107006,23,1,"Arthropoda","Crangonidae","Argis",NA,"Malacostraca","Decapoda",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"110",406304,406304,602933,"Species","Armandia brevis","(Moore, 1906)",333048,212,4,"Annelida","Opheliidae","Armandia","Armandia brevis","Polychaeta",NA,NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"111",406429,406429,406428,"Species","Artacama coniferi","Moore, 1905",326651,4,1,"Annelida","Terebellidae","Artacama","Artacama coniferi","Polychaeta","Terebellida",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"112",406465,406465,738927,"Species","Artedius fenestralis","Jordan & Gilbert, 1883",279700,20,5,"Chordata","Cottidae","Artedius","Artedius fenestralis","Actinopteri","Scorpaeniformes",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"113",406466,406466,738927,"Species","Artedius harringtoni","(Starks, 1896)",279701,9,5,"Chordata","Cottidae","Artedius","Artedius harringtoni","Actinopteri","Scorpaeniformes",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"114",406581,406581,776189,"Species","Ascelichthys rhodorus","Jordan & Gilbert, 1880",279706,7,4,"Chordata","Cottidae","Ascelichthys","Ascelichthys rhodorus","Actinopteri","Scorpaeniformes",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"115",406597,406597,603103,"Species","Ascidia columbiana","(Huntsman, 1912)",249979,2,1,"Chordata","Ascidiidae","Ascidia","Ascidia columbiana","Ascidiacea","Phlebobranchia",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
"116",406615,406615,603103,"Species","Ascidia paratropa","(Huntsman, 1912)",250022,1,1,"Chordata","Ascidiidae","Ascidia","Ascidia paratropa","Ascidiacea","Phlebobranchia",NA,NA,NA,NA,"Puget Trough_Georgia Basin"
