"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","redlist","status","hab","gisd","ecoregion"
"17",397861,397861,767920,"Species","Actiniscus pentasterias","(Ehrenberg) Ehrenberg, 1844",109717,3,1,"Myzozoa","Actiniscales","Actiniscaceae","Actiniscus","Dinophyceae","Actiniscus pentasterias",NA,NA,NA,NA,"Gulf of Alaska"
"18",397893,397893,849984,"Species","Actinocyclus curvatulus","Janisch, 1874",345847,4,1,"Ochrophyta","Coscinodiscales","Hemidiscaceae","Actinocyclus","Bacillariophyceae","Actinocyclus curvatulus",NA,NA,NA,NA,"Gulf of Alaska"
"19",398029,398029,770756,"Genus","Actinoptychus","Ehrenberg, 1843",148947,2,2,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus","Bacillariophyceae",NA,NA,NA,NA,NA,"Gulf of Alaska"
"20",398083,398083,398029,"Species","Actinoptychus senarius","(Ehrenberg) Ehrenberg, 1843",148948,31,1,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus","Bacillariophyceae","Actinoptychus senarius",NA,NA,NA,NA,"Gulf of Alaska"
"21",398085,398085,398029,"Species","Actinoptychus splendens","(Shadbolt) Ralfs ex Pritchard, 1861",148949,3,1,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus","Bacillariophyceae","Actinoptychus splendens",NA,NA,NA,NA,"Gulf of Alaska"
"22",398258,398258,776118,"Species","Adelosebastes latens","Eschmeyer, Abe & Nakano, 1979",279508,1,1,"Chordata","Scorpaeniformes","Sebastidae","Adelosebastes","Actinopteri","Adelosebastes latens",NA,NA,NA,NA,"Gulf of Alaska"
"23",398561,398561,767084,"Genus","Aequorea","Péron & Lesueur, 1810",116998,1,1,"Cnidaria","Leptothecata","Aequoreidae","Aequorea","Hydrozoa",NA,NA,NA,NA,NA,"Gulf of Alaska"
"24",398634,398634,740483,"Family","Aetideidae","Giesbrecht, 1892",104075,22,1,"Arthropoda","Calanoida","Aetideidae",NA,NA,NA,NA,NA,NA,NA,"Gulf of Alaska"
"25",398635,398635,398634,"Genus","Aetideopsis","Sars G.O., 1903",104111,2,1,"Arthropoda","Calanoida","Aetideidae","Aetideopsis",NA,NA,NA,NA,NA,NA,"Gulf of Alaska"
"26",398644,398644,398634,"Genus","Aetideus","Brady, 1883",104112,37,1,"Arthropoda","Calanoida","Aetideidae","Aetideus",NA,NA,NA,NA,NA,NA,"Gulf of Alaska"
"27",398647,398647,398644,"Species","Aetideus armatus","(Boeck, 1872)",104275,31,1,"Arthropoda","Calanoida","Aetideidae","Aetideus",NA,"Aetideus armatus",NA,NA,NA,NA,"Gulf of Alaska"
"28",398790,398790,398789,"Species","Agarum clathratum","Dumortier, 1822",157207,732,1,"Ochrophyta","Laminariales","Costariaceae","Agarum","Phaeophyceae","Agarum clathratum",NA,NA,NA,NA,"Gulf of Alaska"
"29",398961,398961,776123,"Species","Agonomalus mozinoi","Wilimovsky & Wilson, 1979",279517,1,1,"Chordata","Scorpaeniformes","Agonidae","Agonomalus","Actinopteri","Agonomalus mozinoi",NA,NA,NA,NA,"Gulf of Alaska"
"30",399043,399043,399042,"Species","Ahnfeltia fastigiata","(Endlicher) Makienko, 1970",372235,8,1,"Rhodophyta","Ahnfeltiales","Ahnfeltiaceae","Ahnfeltia","Florideophyceae","Ahnfeltia fastigiata",NA,NA,NA,NA,"Gulf of Alaska"
"31",399212,399212,770298,"Genus","Alaria","Greville, 1830",144194,466,1,"Ochrophyta","Laminariales","Alariaceae","Alaria","Phaeophyceae",NA,NA,NA,NA,NA,"Gulf of Alaska"
"32",399215,399215,399212,"Species","Alaria marginata","Postels & Ruprecht, 1840",371791,115,1,"Ochrophyta","Laminariales","Alariaceae","Alaria","Phaeophyceae","Alaria marginata",NA,NA,NA,NA,"Gulf of Alaska"
"33",399231,399231,774544,"Species","Albatrossia pectoralis","(Gilbert, 1892)",236135,62,3,"Chordata","Gadiformes","Macrouridae","Albatrossia","Actinopteri","Albatrossia pectoralis",NA,NA,NA,NA,"Gulf of Alaska"
"34",399768,399768,598830,"Species","Alosa sapidissima","(Wilson, 1811)",158670,10,1,"Chordata","Clupeiformes","Clupeidae","Alosa","Actinopteri","Alosa sapidissima",TRUE,"LC",NA,NA,"Gulf of Alaska"
"35",399991,399991,861467,"Genus","Alteutha","Baird, 1846",115427,3,1,"Arthropoda","Harpacticoida","Peltidiidae","Alteutha",NA,NA,NA,NA,NA,NA,"Gulf of Alaska"
"36",400043,400043,504575,"Genus","Alvania","Risso, 1826",138439,7,1,"Mollusca","Littorinimorpha","Rissoidae","Alvania","Gastropoda",NA,NA,NA,NA,NA,"Gulf of Alaska"
"37",400606,400606,779027,"Genus","Amicula","Gray, 1847",159926,1,1,"Mollusca","Chitonida","Mopaliidae","Amicula","Polyplacophora",NA,NA,NA,NA,NA,"Gulf of Alaska"
"38",400655,400655,599445,"Species","Ammodytes personatus","Girard, 1856",272967,3,2,"Chordata","Perciformes","Ammodytidae","Ammodytes","Actinopteri","Ammodytes personatus",NA,NA,NA,NA,"Gulf of Alaska"
"39",400656,400656,599445,"Species","Ammodytes tobianus","Linnaeus, 1758",126752,1,1,"Chordata","Perciformes","Ammodytidae","Ammodytes","Actinopteri","Ammodytes tobianus",TRUE,"DD",NA,NA,"Gulf of Alaska"
"40",400896,400896,599696,"Species","Ampharete acutifrons","(Grube, 1860)",129775,1,1,"Annelida","Terebellida","Ampharetidae","Ampharete","Polychaeta","Ampharete acutifrons",NA,NA,NA,NA,"Gulf of Alaska"
"41",400898,400898,599696,"Species","Ampharete arctica","Malmgren, 1866",159916,2,1,"Annelida","Terebellida","Ampharetidae","Ampharete","Polychaeta","Ampharete arctica",NA,NA,NA,NA,"Gulf of Alaska"
"42",401022,401022,737969,"Genus","Amphicteis","Grube, 1850",129156,2,1,"Annelida","Terebellida","Ampharetidae","Amphicteis","Polychaeta",NA,NA,NA,NA,NA,"Gulf of Alaska"
"43",401029,401029,401022,"Species","Amphicteis scaphobranchiata","Moore, 1906",326344,4,1,"Annelida","Terebellida","Ampharetidae","Amphicteis","Polychaeta","Amphicteis scaphobranchiata",NA,NA,NA,NA,"Gulf of Alaska"
"44",401113,401113,401110,"Species","Amphilectus lobatus","(Montagu, 1814)",168344,4,1,"Porifera","Poecilosclerida","Esperiopsidae","Amphilectus","Demospongiae","Amphilectus lobatus",NA,NA,NA,NA,"Gulf of Alaska"
"45",401320,401320,401717,"Genus","Amphipholis","Ljungman, 1866",123612,26,1,"Echinodermata","Ophiurida","Amphiuridae","Amphipholis","Ophiuroidea",NA,NA,NA,NA,NA,"Gulf of Alaska"
"46",401328,401328,401320,"Species","Amphipholis pugetana","(Lyman, 1860)",242878,30,3,"Echinodermata","Ophiurida","Amphiuridae","Amphipholis","Ophiuroidea","Amphipholis pugetana",NA,NA,NA,NA,"Gulf of Alaska"
"47",401331,401331,401320,"Species","Amphipholis squamata","(Delle Chiaje, 1828)",125064,12,1,"Echinodermata","Ophiurida","Amphiuridae","Amphipholis","Ophiuroidea","Amphipholis squamata",NA,NA,NA,NA,"Gulf of Alaska"
"48",401581,401581,776151,"Species","Amphistichus argenteus","Agassiz, 1854",279594,1,1,"Chordata","Perciformes","Embiotocidae","Amphistichus","Actinopteri","Amphistichus argenteus",NA,NA,NA,NA,"Gulf of Alaska"
"49",401717,401717,772939,"Family","Amphiuridae","Ljungman, 1867",123206,10,1,"Echinodermata","Ophiurida","Amphiuridae",NA,"Ophiuroidea",NA,NA,NA,NA,NA,"Gulf of Alaska"
"50",402024,402024,1014255,"Genus","Ampithoe","Leach, 1814",101459,1,1,"Arthropoda","Amphipoda","Ampithoidae","Ampithoe","Malacostraca",NA,NA,NA,NA,NA,"Gulf of Alaska"
"51",402075,402075,778668,"Species","Amplisiphonia pacifica","Hollenberg, 1939",372526,5,1,"Rhodophyta","Ceramiales","Rhodomelaceae","Amplisiphonia","Florideophyceae","Amplisiphonia pacifica",NA,NA,NA,NA,"Gulf of Alaska"
"52",402329,402329,738199,"Species","Analipus japonicus","(Harvey) M.J.Wynne, 1971",371891,44,1,"Ochrophyta","Scytosiphonales","Scytosiphonaceae","Analipus","Phaeophyceae","Analipus japonicus",NA,NA,NA,NA,"Gulf of Alaska"
"53",402999,402999,769056,"Species","Anisarchus medius","(Reinhardt, 1837)",127070,239,6,"Chordata","Perciformes","Stichaeidae","Anisarchus","Actinopteri","Anisarchus medius",NA,NA,NA,NA,"Gulf of Alaska"
"54",403117,403117,403116,"Species","Anobothrus gracilis","(Malmgren, 1866)",129789,5,2,"Annelida","Terebellida","Ampharetidae","Anobothrus","Polychaeta","Anobothrus gracilis",NA,NA,NA,NA,"Gulf of Alaska"
"55",403211,403211,767747,"Infraorder","Anomura","MacLeay, 1838",106671,373,2,"Arthropoda","Decapoda",NA,NA,"Malacostraca",NA,NA,NA,NA,NA,"Gulf of Alaska"
"56",403212,403212,781281,"Genus","Anonyx","Krøyer, 1838",101592,2,1,"Arthropoda","Amphipoda","Uristidae","Anonyx","Malacostraca",NA,NA,NA,NA,NA,"Gulf of Alaska"
"57",403231,403231,738346,"Species","Anoplarchus insignis","Gilbert & Burke, 1912",279632,5,3,"Chordata","Perciformes","Stichaeidae","Anoplarchus","Actinopteri","Anoplarchus insignis",NA,NA,NA,NA,"Gulf of Alaska"
"58",403232,403232,738346,"Species","Anoplarchus purpurescens","Gill, 1861",279633,16,3,"Chordata","Perciformes","Stichaeidae","Anoplarchus","Actinopteri","Anoplarchus purpurescens",NA,NA,NA,NA,"Gulf of Alaska"
"59",403275,403275,738353,"Species","Anoplogaster cornuta","(Valenciennes, 1833)",126393,1,1,"Chordata","Beryciformes","Anoplogastridae","Anoplogaster","Actinopteri","Anoplogaster cornuta",NA,NA,NA,NA,"Gulf of Alaska"
"60",403284,403284,771743,"Species","Anoplopoma fimbria","(Pallas, 1814)",159463,2140,8,"Chordata","Scorpaeniformes","Anoplopomatidae","Anoplopoma","Actinopteri","Anoplopoma fimbria",NA,NA,NA,NA,"Gulf of Alaska"
"61",403690,403690,737630,"Genus","Anthomastus","Verrill, 1878",125285,9,2,"Cnidaria","Alcyonacea","Alcyoniidae","Anthomastus","Anthozoa",NA,NA,NA,NA,NA,"Gulf of Alaska"
"62",403727,403727,403720,"Species","Anthopleura artemisia","(Pickering in Dana, 1846)",283337,13,2,"Cnidaria","Actiniaria","Actiniidae","Anthopleura","Anthozoa","Anthopleura artemisia",NA,NA,NA,NA,"Gulf of Alaska"
"63",403776,403776,403774,"Species","Anthoptilum murrayi","Kölliker, 1880",128505,2,1,"Cnidaria","Pennatulacea","Anthoptilidae","Anthoptilum","Anthozoa","Anthoptilum murrayi",NA,NA,NA,NA,"Gulf of Alaska"
"64",403920,403920,738473,"Species","Antimora microlepis","Bean, 1890",272460,232,3,"Chordata","Gadiformes","Moridae","Antimora","Actinopteri","Antimora microlepis",TRUE,"DD",NA,NA,"Gulf of Alaska"
"65",404001,404001,403995,"Species","Antithamnion defectum","Kylin, 1925",238760,3,1,"Rhodophyta","Ceramiales","Ceramiaceae","Antithamnion","Florideophyceae","Antithamnion defectum",NA,NA,NA,NA,"Gulf of Alaska"
"66",404318,404318,404315,"Species","Aphrocallistes vastus","Schulze, 1886",171632,778,2,"Porifera","Hexactinosida","Aphrocallistidae","Aphrocallistes","Hexactinellida","Aphrocallistes vastus",NA,NA,NA,NA,"Gulf of Alaska"
"67",404323,404323,601831,"Species","Aphrodita aculeata","Linnaeus, 1758",129840,4,1,"Annelida","Phyllodocida","Aphroditidae","Aphrodita","Polychaeta","Aphrodita aculeata",NA,NA,NA,NA,"Gulf of Alaska"
"68",404432,404432,601900,"Species","Apistobranchus ornatus","Hartman, 1965",326532,3,1,"Annelida","Spionida","Apistobranchidae","Apistobranchus","Polychaeta","Apistobranchus ornatus",NA,NA,NA,NA,"Gulf of Alaska"
"69",404490,404490,756411,"Genus","Aplidium","Savigny, 1816",103471,11,2,"Chordata","Aplousobranchia","Polyclinidae","Aplidium","Ascidiacea",NA,NA,NA,NA,NA,"Gulf of Alaska"
"70",404677,404677,776172,"Species","Apodichthys flavidus","Girard, 1854",279664,12,3,"Chordata","Perciformes","Pholidae","Apodichthys","Actinopteri","Apodichthys flavidus",NA,NA,NA,NA,"Gulf of Alaska"
"71",405045,405045,405041,"Species","Apristurus brunneus","(Gilbert, 1892)",158512,2,1,"Chordata","Carcharhiniformes","Pentanchidae","Apristurus","Elasmobranchii","Apristurus brunneus",TRUE,"DD",NA,NA,"Gulf of Alaska"
"72",405156,405156,405155,"Species","Aptocyclus ventricosus","(Pallas, 1769)",254299,89,4,"Chordata","Scorpaeniformes","Cyclopteridae","Aptocyclus","Actinopteri","Aptocyclus ventricosus",NA,NA,NA,NA,"Gulf of Alaska"
"73",405225,405225,741733,"Class","Arachnida","Cuvier, 1812",1300,115,2,"Arthropoda",NA,NA,NA,"Arachnida",NA,NA,NA,NA,NA,"Gulf of Alaska"
"74",405689,405689,778951,"Species","Arctomelon stearnsii","(Dall, 1872)",384681,5,1,"Mollusca","Neogastropoda","Volutidae","Arctomelon","Gastropoda","Arctomelon stearnsii",NA,NA,NA,NA,"Gulf of Alaska"
"75",405692,405692,405690,"Species","Arctonoe pulchra","(Johnson, 1897)",333030,10,1,"Annelida","Phyllodocida","Polynoidae","Arctonoe","Polychaeta","Arctonoe pulchra",NA,NA,NA,NA,"Gulf of Alaska"
"76",405693,405693,405690,"Species","Arctonoe vittata","(Grube, 1855)",254301,10,2,"Annelida","Phyllodocida","Polynoidae","Arctonoe","Polychaeta","Arctonoe vittata",NA,NA,NA,NA,"Gulf of Alaska"
"77",406020,406020,738848,"Species","Aricidea (Acmira) simplex","Day, 1963",333037,4,1,"Annelida",NA,"Paraonidae","Aricidea","Polychaeta","Aricidea (Acmira) simplex",NA,NA,NA,NA,"Gulf of Alaska"
"78",406066,406066,602725,"Species","Aricidea neosuecica","Hartman, 1965 sensu Laubier & Ramos, 1974",130566,3,1,"Annelida",NA,"Paraonidae","Aricidea","Polychaeta","Aricidea neosuecica",NA,NA,NA,NA,"Gulf of Alaska"
"79",406304,406304,602933,"Species","Armandia brevis","(Moore, 1906)",333048,2,1,"Annelida",NA,"Opheliidae","Armandia","Polychaeta","Armandia brevis",NA,NA,NA,NA,"Gulf of Alaska"
"80",406428,406428,777676,"Genus","Artacama","Malmgren, 1866",129688,1,1,"Annelida","Terebellida","Terebellidae","Artacama","Polychaeta",NA,NA,NA,NA,NA,"Gulf of Alaska"
"81",406429,406429,406428,"Species","Artacama coniferi","Moore, 1905",326651,9,2,"Annelida","Terebellida","Terebellidae","Artacama","Polychaeta","Artacama coniferi",NA,NA,NA,NA,"Gulf of Alaska"
"82",406448,406448,743064,"Genus","Artediellus","Jordan, 1885",126147,4,1,"Chordata","Scorpaeniformes","Cottidae","Artediellus","Actinopteri",NA,NA,NA,NA,NA,"Gulf of Alaska"
"83",406458,406458,406448,"Species","Artediellus pacificus","Gilbert, 1896",254517,1,1,"Chordata","Scorpaeniformes","Cottidae","Artediellus","Actinopteri","Artediellus pacificus",NA,NA,NA,NA,"Gulf of Alaska"
"84",406465,406465,738927,"Species","Artedius fenestralis","Jordan & Gilbert, 1883",279700,27,3,"Chordata","Scorpaeniformes","Cottidae","Artedius","Actinopteri","Artedius fenestralis",NA,NA,NA,NA,"Gulf of Alaska"
"85",406466,406466,738927,"Species","Artedius harringtoni","(Starks, 1896)",279701,205,2,"Chordata","Scorpaeniformes","Cottidae","Artedius","Actinopteri","Artedius harringtoni",NA,NA,NA,NA,"Gulf of Alaska"
"86",406592,406592,603103,"Species","Ascidia callosa","Stimpson, 1852",103700,43,1,"Chordata","Phlebobranchia","Ascidiidae","Ascidia","Ascidiacea","Ascidia callosa",NA,NA,NA,NA,"Gulf of Alaska"
"87",406597,406597,603103,"Species","Ascidia columbiana","(Huntsman, 1912)",249979,4,1,"Chordata","Phlebobranchia","Ascidiidae","Ascidia","Ascidiacea","Ascidia columbiana",NA,NA,NA,NA,"Gulf of Alaska"
"88",406642,406642,406641,"Species","Asclerocheilus beringianus","Uschakov, 1955",326667,1,1,"Annelida",NA,"Scalibregmatidae","Asclerocheilus","Polychaeta","Asclerocheilus beringianus",NA,NA,NA,NA,"Gulf of Alaska"
"89",406863,406863,406862,"Species","Aspidophoroides bartoni","Gilbert, 1896",254502,27,3,"Chordata","Scorpaeniformes","Agonidae","Aspidophoroides","Actinopteri","Aspidophoroides bartoni",NA,NA,NA,NA,"Gulf of Alaska"
"90",406866,406866,406862,"Species","Aspidophoroides monopterygius","(Bloch, 1786)",159459,1,1,"Chordata","Scorpaeniformes","Agonidae","Aspidophoroides","Actinopteri","Aspidophoroides monopterygius",NA,NA,NA,NA,"Gulf of Alaska"
"91",406868,406868,406862,"Species","Aspidophoroides olrikii","Lütken, 1877",309268,1,1,"Chordata","Scorpaeniformes","Agonidae","Aspidophoroides","Actinopteri","Aspidophoroides olrikii",NA,NA,NA,NA,"Gulf of Alaska"
"92",407014,407014,739018,"Species","Astarte elliptica","(Brown, 1827)",138821,1,1,"Mollusca","Carditoida","Astartidae","Astarte","Bivalvia","Astarte elliptica",NA,NA,NA,NA,"Gulf of Alaska"
"93",407088,407088,770790,"Species","Asterionellopsis glacialis","(Castracane) Round, 1990",149139,11,2,"Ochrophyta","Fragilariales","Fragilariaceae","Asterionellopsis","Bacillariophyceae","Asterionellopsis glacialis",NA,NA,NA,NA,"Gulf of Alaska"
"94",407159,407159,771841,"Genus","Asteromphalus","Ehrenberg, 1844",162254,14,2,"Ochrophyta","Asterolamprales","Asterolampraceae","Asteromphalus","Bacillariophyceae",NA,NA,NA,NA,NA,"Gulf of Alaska"
"95",407176,407176,407159,"Species","Asteromphalus heptactis","(Brébisson) Ralfs, 1861",162258,6,1,"Ochrophyta","Asterolamprales","Asterolampraceae","Asteromphalus","Bacillariophyceae","Asteromphalus heptactis",NA,NA,NA,NA,"Gulf of Alaska"
"96",407214,407214,407213,"Species","Asteronyx loveni","Müller & Troschel, 1842",124951,3,1,"Echinodermata","Euryalida","Asteronychidae","Asteronyx","Ophiuroidea","Asteronyx loveni",NA,NA,NA,NA,"Gulf of Alaska"
"97",407719,407719,407716,"Species","Astyris rosacea","(Gould, 1840)",160108,1,1,"Mollusca","Neogastropoda","Columbellidae","Astyris","Gastropoda","Astyris rosacea",NA,NA,NA,NA,"Gulf of Alaska"
"98",407867,407867,739245,"Species","Atheresthes evermanni","Jordan & Starks, 1904",279791,178,3,"Chordata","Pleuronectiformes","Pleuronectidae","Atheresthes","Actinopteri","Atheresthes evermanni",NA,NA,NA,NA,"Gulf of Alaska"
"99",407868,407868,739245,"Species","Atheresthes stomias","(Jordan & Gilbert, 1880)",279792,3862,8,"Chordata","Pleuronectiformes","Pleuronectidae","Atheresthes","Actinopteri","Atheresthes stomias",NA,NA,NA,NA,"Gulf of Alaska"
"100",408195,408195,770254,"Genus","Audouinella","Bory de Saint-Vincent, 1823",143800,4,1,"Rhodophyta",NA,"Acrochaetiaceae","Audouinella","Florideophyceae",NA,NA,NA,NA,NA,"Gulf of Alaska"
"101",408456,408456,776218,"Species","Aulorhynchus flavidus","Gill, 1861",279839,1,1,"Chordata","Gasterosteiformes","Aulorhynchidae","Aulorhynchus","Actinopteri","Aulorhynchus flavidus",NA,NA,NA,NA,"Gulf of Alaska"
"102",408790,408790,739386,"Species","Avocettina bowersii","(Garman, 1899)",271904,1,1,"Chordata","Anguilliformes","Nemichthyidae","Avocettina","Actinopteri","Avocettina bowersii",NA,NA,NA,NA,"Gulf of Alaska"
"103",408873,408873,408869,"Species","Axinopsida serricata","(Carpenter, 1864)",246819,21,2,"Mollusca","Lucinoida","Thyasiridae","Axinopsida","Bivalvia","Axinopsida serricata",NA,NA,NA,NA,"Gulf of Alaska"
"104",408907,408907,745662,"Genus","Axiothella","Verrill, 1900",129342,3,2,"Annelida",NA,"Maldanidae","Axiothella","Polychaeta",NA,NA,NA,NA,NA,"Gulf of Alaska"
"105",409094,409094,770762,"Genus","Bacteriastrum","Shadbolt, 1854",149118,64,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum","Bacillariophyceae",NA,NA,NA,NA,NA,"Gulf of Alaska"
"106",409100,409100,409094,"Species","Bacteriastrum delicatulum","Cleve, 1897",164108,13,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum","Bacillariophyceae","Bacteriastrum delicatulum",NA,NA,NA,NA,"Gulf of Alaska"
"107",409124,409124,771883,"Species","Bacterosira bathyomphala","(Cleve) Syvertsen & Hasle, 1993",162927,4,1,"Ochrophyta",NA,NA,"Bacterosira","Bacillariophyceae","Bacterosira bathyomphala",NA,NA,NA,NA,"Gulf of Alaska"
"108",409235,409235,739484,"Species","Balaenoptera borealis","Lesson, 1828",137088,1,1,"Chordata","Cetartiodactyla","Balaenopteridae","Balaenoptera","Mammalia","Balaenoptera borealis",TRUE,"EN",NA,NA,"Gulf of Alaska"
"109",409238,409238,739484,"Species","Balaenoptera musculus","(Linnaeus, 1758)",137090,4,1,"Chordata","Cetartiodactyla","Balaenopteridae","Balaenoptera","Mammalia","Balaenoptera musculus",TRUE,"EN",NA,NA,"Gulf of Alaska"
"110",409240,409240,739484,"Species","Balaenoptera physalus","(Linnaeus, 1758)",137091,434,19,"Chordata","Cetartiodactyla","Balaenopteridae","Balaenoptera","Mammalia","Balaenoptera physalus",TRUE,"EN",NA,NA,"Gulf of Alaska"
"111",409244,409244,409255,"Family","Balanidae","Leach, 1806",106057,9,1,"Arthropoda","Sessilia","Balanidae",NA,NA,NA,NA,NA,NA,NA,"Gulf of Alaska"
"112",409369,409369,604839,"Species","Balanus crenatus","Bruguière, 1789",106215,1,1,"Arthropoda","Sessilia","Balanidae","Balanus",NA,"Balanus crenatus",NA,NA,NA,NA,"Gulf of Alaska"
"113",409376,409376,604839,"Species","Balanus glandula","Darwin, 1854",394848,87,1,"Arthropoda","Sessilia","Balanidae","Balanus",NA,"Balanus glandula",NA,NA,NA,NA,"Gulf of Alaska"
"114",409508,409508,770255,"Genus","Bangia","Lyngbye, 1819",143807,1,1,"Rhodophyta","Bangiales","Bangiaceae","Bangia","Bangiophyceae",NA,NA,NA,NA,NA,"Gulf of Alaska"
"115",410240,410240,775731,"Genus","Bathyagonus","Gilbert, 1890",254303,19,1,"Chordata","Scorpaeniformes","Agonidae","Bathyagonus","Actinopteri",NA,NA,NA,NA,NA,"Gulf of Alaska"
"116",410244,410244,410240,"Species","Bathyagonus nigripinnis","Gilbert, 1890",254505,9,3,"Chordata","Scorpaeniformes","Agonidae","Bathyagonus","Actinopteri","Bathyagonus nigripinnis",NA,NA,NA,NA,"Gulf of Alaska"
"117",410416,410416,747062,"Genus","Bathyglycinde","Fauchald, 1972",238729,1,1,"Annelida","Phyllodocida","Goniadidae","Bathyglycinde","Polychaeta",NA,NA,NA,NA,NA,"Gulf of Alaska"
"118",410496,410496,605725,"Species","Bathylagus pacificus","Gilbert, 1890",272919,271,3,"Chordata","Osmeriformes","Bathylagidae","Bathylagus","Actinopteri","Bathylagus pacificus",NA,NA,NA,NA,"Gulf of Alaska"
"119",410545,410545,739680,"Genus","Bathymaster","Cope, 1873",254304,1002,3,"Chordata","Perciformes","Bathymasteridae","Bathymaster","Actinopteri",NA,NA,NA,NA,NA,"Gulf of Alaska"
"120",410546,410546,410545,"Species","Bathymaster caeruleofasciatus","Gilbert & Burke, 1912",279415,2,1,"Chordata","Perciformes","Bathymasteridae","Bathymaster","Actinopteri","Bathymaster caeruleofasciatus",NA,NA,NA,NA,"Gulf of Alaska"
"121",410549,410549,410545,"Species","Bathymaster leurolepis","McPhail, 1965",254512,9,2,"Chordata","Perciformes","Bathymasteridae","Bathymaster","Actinopteri","Bathymaster leurolepis",NA,NA,NA,NA,"Gulf of Alaska"
