"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","redlist","status","records","datasets","phylum","order","family","genus","species","class","gisd","hab","ecoregion"
"29",398908,398908,398885,"Species","Aglaophenia struthionides","(Murray, 1860)",284054,NA,NA,16,2,"Cnidaria","Leptothecata","Aglaopheniidae","Aglaophenia","Aglaophenia struthionides","Hydrozoa",NA,NA,"Southern California Bight"
"30",398988,398988,776124,"Species","Agonopsis sterletus","(Gilbert, 1898)",279521,NA,NA,1,1,"Chordata","Scorpaeniformes","Agonidae","Agonopsis","Agonopsis sterletus","Actinopteri",NA,NA,"Southern California Bight"
"31",399093,399093,695382,"Species","Aiptasia californica","Carlgren, 1952",283478,NA,NA,4,1,"Cnidaria","Actiniaria","Aiptasiidae","Aiptasia","Aiptasia californica","Anthozoa",NA,NA,"Southern California Bight"
"32",399362,399362,399360,"Species","Alderia modesta","(Lovén, 1844)",141555,NA,NA,3,1,"Mollusca","Sacoglossa","Limapontiidae","Alderia","Alderia modesta","Gastropoda",NA,NA,"Southern California Bight"
"33",399538,399538,774241,"Species","Alienacanthomysis macropsis","(W. Tattersall, 1932)",226662,NA,NA,5,1,"Arthropoda","Mysida","Mysidae","Alienacanthomysis","Alienacanthomysis macropsis","Malacostraca",NA,NA,"Southern California Bight"
"34",399565,399565,774445,"Species","Alitta succinea","(Leuckart, 1847)",234850,NA,NA,1,1,"Annelida","Phyllodocida","Nereididae","Alitta","Alitta succinea","Polychaeta",TRUE,NA,"Southern California Bight"
"35",399768,399768,598830,"Species","Alosa sapidissima","(Wilson, 1811)",158670,TRUE,"LC",5,1,"Chordata","Clupeiformes","Clupeidae","Alosa","Alosa sapidissima","Actinopteri",NA,NA,"Southern California Bight"
"36",399779,399779,767767,"Family","Alpheidae","Rafinesque, 1815",106776,NA,NA,4,1,"Arthropoda","Decapoda","Alpheidae",NA,NA,"Malacostraca",NA,NA,"Southern California Bight"
"37",400165,400165,599174,"Species","Amaeana occidentalis","(Hartman, 1944)",332917,NA,NA,45,1,"Annelida","Terebellida","Terebellidae","Amaeana","Amaeana occidentalis","Polychaeta",NA,NA,"Southern California Bight"
"38",400558,400558,599390,"Species","Ameiurus melas","(Rafinesque, 1820)",154205,TRUE,"LC",3,2,"Chordata","Siluriformes","Ictaluridae","Ameiurus","Ameiurus melas","Actinopteri",NA,NA,"Southern California Bight"
"39",400559,400559,599390,"Species","Ameiurus natalis","(Lesueur, 1819)",154201,TRUE,"LC",2,1,"Chordata","Siluriformes","Ictaluridae","Ameiurus","Ameiurus natalis","Actinopteri",NA,NA,"Southern California Bight"
"40",400708,400708,400707,"Genus","Ammothella","Verrill, 1900",134570,NA,NA,1,1,"Arthropoda","Pantopoda","Ammotheidae","Ammothella",NA,"Pycnogonida",NA,NA,"Southern California Bight"
"41",400781,400781,737935,"Species","Ampelisca abdita","Mills, 1964",158020,NA,NA,1,1,"Arthropoda","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca abdita","Malacostraca",NA,NA,"Southern California Bight"
"42",400785,400785,737935,"Species","Ampelisca agassizi","(Judd, 1896)",158021,NA,NA,62,2,"Arthropoda","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca agassizi","Malacostraca",NA,NA,"Southern California Bight"
"43",400811,400811,737935,"Species","Ampelisca cristata","Holmes, 1908",421436,NA,NA,9,2,"Arthropoda","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca cristata","Malacostraca",NA,NA,"Southern California Bight"
"44",400835,400835,737935,"Species","Ampelisca lobata","Holmes, 1908",421438,NA,NA,2,1,"Arthropoda","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca lobata","Malacostraca",NA,NA,"Southern California Bight"
"45",400896,400896,599696,"Species","Ampharete acutifrons","(Grube, 1860)",129775,NA,NA,11,1,"Annelida","Terebellida","Ampharetidae","Ampharete","Ampharete acutifrons","Polychaeta",NA,NA,"Southern California Bight"
"46",400901,400901,599696,"Species","Ampharete finmarchica","(M. Sars, 1865)",129778,NA,NA,17,1,"Annelida","Terebellida","Ampharetidae","Ampharete","Ampharete finmarchica","Polychaeta",NA,NA,"Southern California Bight"
"47",400906,400906,599696,"Species","Ampharete labrops","Hartman, 1961",326317,NA,NA,62,1,"Annelida","Terebellida","Ampharetidae","Ampharete","Ampharete labrops","Polychaeta",NA,NA,"Southern California Bight"
"48",400917,400917,772642,"Species","Ampheraster marianus","(Ludwig, 1905)",254842,NA,NA,3,1,"Echinodermata","Forcipulatida","Pedicellasteridae","Ampheraster","Ampheraster marianus","Asteroidea",NA,NA,"Southern California Bight"
"49",401010,401010,774841,"Species","Amphichondrius granulatus","(Lütken & Mortensen, 1899)",246610,NA,NA,29,2,"Echinodermata","Ophiurida","Amphiuridae","Amphichondrius","Amphichondrius granulatus","Ophiuroidea",NA,NA,"Southern California Bight"
"50",401022,401022,737969,"Genus","Amphicteis","Grube, 1850",129156,NA,NA,11,1,"Annelida","Terebellida","Ampharetidae","Amphicteis",NA,"Polychaeta",NA,NA,"Southern California Bight"
"51",401029,401029,401022,"Species","Amphicteis scaphobranchiata","Moore, 1906",326344,NA,NA,70,1,"Annelida","Terebellida","Ampharetidae","Amphicteis","Amphicteis scaphobranchiata","Polychaeta",NA,NA,"Southern California Bight"
"52",401208,401208,401717,"Genus","Amphiodia","Verrill, 1899",172595,NA,NA,100,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiodia",NA,"Ophiuroidea",NA,NA,"Southern California Bight"
"53",401210,401210,774900,"Species","Amphiodia (Amphispina) digitata","Nielsen, 1932",242689,NA,NA,59,2,"Echinodermata","Ophiurida","Amphiuridae","Amphiodia","Amphiodia (Amphispina) digitata","Ophiuroidea",NA,NA,"Southern California Bight"
"54",401212,401212,774900,"Species","Amphiodia (Amphispina) urtica","(Lyman, 1860)",245665,NA,NA,131,2,"Echinodermata","Ophiurida","Amphiuridae","Amphiodia","Amphiodia (Amphispina) urtica","Ophiuroidea",NA,NA,"Southern California Bight"
"55",401251,401251,401229,"Species","Amphiophiura superba","(Lütken & Mortensen, 1899)",242740,NA,NA,4,1,"Echinodermata","Ophiurida","Ophiuridae","Amphiophiura","Amphiophiura superba","Ophiuroidea",NA,NA,"Southern California Bight"
"56",401320,401320,401717,"Genus","Amphipholis","Ljungman, 1866",123612,NA,NA,4,1,"Echinodermata","Ophiurida","Amphiuridae","Amphipholis",NA,"Ophiuroidea",NA,NA,"Southern California Bight"
"57",401328,401328,401320,"Species","Amphipholis pugetana","(Lyman, 1860)",242878,NA,NA,11,2,"Echinodermata","Ophiurida","Amphiuridae","Amphipholis","Amphipholis pugetana","Ophiuroidea",NA,NA,"Southern California Bight"
"58",401331,401331,401320,"Species","Amphipholis squamata","(Delle Chiaje, 1828)",125064,NA,NA,64,2,"Echinodermata","Ophiurida","Amphiuridae","Amphipholis","Amphipholis squamata","Ophiuroidea",NA,NA,"Southern California Bight"
"59",401367,401367,738062,"Genus","Amphiporus","Ehrenberg, 1831",122391,NA,NA,25,1,"Nemertea","Monostilifera","Amphiporidae","Amphiporus",NA,"Enopla",NA,NA,"Southern California Bight"
"60",401523,401523,738079,"Species","Amphisamytha galapagensis","Zottoli, 1983",326388,NA,NA,1,1,"Annelida","Terebellida","Ampharetidae","Amphisamytha","Amphisamytha galapagensis","Polychaeta",NA,NA,"Southern California Bight"
"61",401536,401536,767902,"Genus","Amphisolenia","Stein, 1883",109459,NA,NA,5,1,"Myzozoa","Dinophysiales","Amphisoleniaceae","Amphisolenia",NA,"Dinophyceae",NA,NA,"Southern California Bight"
"62",401556,401556,778573,"Species","Amphispyris reticulata","(Ehrenberg, 1872)",367384,NA,NA,12,1,"Radiozoa","Nassellaria","Trissocyclidae","Amphispyris","Amphispyris reticulata","Polycystina",NA,NA,"Southern California Bight"
"63",401581,401581,776151,"Species","Amphistichus argenteus","Agassiz, 1854",279594,NA,NA,15,3,"Chordata","Perciformes","Embiotocidae","Amphistichus","Amphistichus argenteus","Actinopteri",NA,NA,"Southern California Bight"
"64",401582,401582,776151,"Species","Amphistichus koelzi","(Hubbs, 1933)",279595,TRUE,"LC",1,1,"Chordata","Perciformes","Embiotocidae","Amphistichus","Amphistichus koelzi","Actinopteri",NA,NA,"Southern California Bight"
"65",401633,401633,401717,"Genus","Amphiura","Forbes, 1843",123613,NA,NA,1,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiura",NA,"Ophiuroidea",NA,NA,"Southern California Bight"
"66",401699,401699,401633,"Species","Amphiura otteri","Ljungman, 1872",125092,NA,NA,1,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiura","Amphiura otteri","Ophiuroidea",NA,NA,"Southern California Bight"
"67",401717,401717,772939,"Family","Amphiuridae","Ljungman, 1867",123206,NA,NA,125,1,"Echinodermata","Ophiurida","Amphiuridae",NA,NA,"Ophiuroidea",NA,NA,"Southern California Bight"
"68",401723,401723,770794,"Genus","Amphora","Ehrenberg ex Kützing, 1844",149200,NA,NA,3,1,"Ochrophyta","Thalassiophysales","Catenulaceae","Amphora",NA,"Bacillariophyceae",NA,TRUE,"Southern California Bight"
"69",401862,401862,401723,"Species","Amphora hyalina","Kützing, 1844",160700,NA,NA,4,1,"Ochrophyta","Thalassiophysales","Catenulaceae","Amphora","Amphora hyalina","Bacillariophyceae",NA,NA,"Southern California Bight"
"70",402024,402024,1014255,"Genus","Ampithoe","Leach, 1814",101459,NA,NA,13,1,"Arthropoda","Amphipoda","Ampithoidae","Ampithoe",NA,"Malacostraca",NA,NA,"Southern California Bight"
"71",402047,402047,402024,"Species","Ampithoe longimana","Smith, 1873",158026,NA,NA,5,3,"Arthropoda","Amphipoda","Ampithoidae","Ampithoe","Ampithoe longimana","Malacostraca",NA,NA,"Southern California Bight"
"72",402424,402424,402423,"Species","Anas acuta","Linnaeus, 1758",158939,TRUE,"LC",2,2,"Chordata","Anseriformes","Anatidae","Anas","Anas acuta","Aves",NA,NA,"Southern California Bight"
"73",402436,402436,402423,"Species","Anas platyrhynchos","Linnaeus, 1758",148791,TRUE,"LC",2,1,"Chordata","Anseriformes","Anatidae","Anas","Anas platyrhynchos","Aves",TRUE,NA,"Southern California Bight"
"74",402469,402469,402464,"Species","Anatoma crispata","(Fleming, 1828)",141417,NA,NA,1,1,"Mollusca",NA,"Anatomidae","Anatoma","Anatoma crispata","Gastropoda",NA,NA,"Southern California Bight"
"75",402514,402514,772717,"Species","Anchicolurus occidentalis","(Calman, 1912)",181909,NA,NA,6,1,"Arthropoda","Cumacea","Diastylidae","Anchicolurus","Anchicolurus occidentalis","Malacostraca",NA,NA,"Southern California Bight"
"76",402534,402534,777662,"Genus","Anchinothria","Paxton, 1986",173752,NA,NA,1,1,"Annelida","Eunicida","Onuphidae","Anchinothria",NA,"Polychaeta",NA,NA,"Southern California Bight"
"77",402581,402581,695543,"Species","Anchoa delicatissima","(Girard, 1854)",275515,TRUE,"LC",5,4,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa delicatissima","Actinopteri",NA,NA,"Southern California Bight"
"78",402723,402723,600885,"Species","Ancistrosyllis groenlandica","McIntosh, 1879",130695,NA,NA,8,1,"Annelida","Phyllodocida","Pilargidae","Ancistrosyllis","Ancistrosyllis groenlandica","Polychaeta",NA,NA,"Southern California Bight"
"79",402942,402942,768083,"Species","Anguinella palmata","Van Beneden, 1845",111631,NA,NA,2,1,"Bryozoa","Ctenostomatida","Nolellidae","Anguinella","Anguinella palmata","Gymnolaemata",NA,NA,"Southern California Bight"
"80",403117,403117,403116,"Species","Anobothrus gracilis","(Malmgren, 1866)",129789,NA,NA,25,1,"Annelida","Terebellida","Ampharetidae","Anobothrus","Anobothrus gracilis","Polychaeta",NA,NA,"Southern California Bight"
"81",403270,403270,403239,"Species","Anoplodactylus viridintestinalis","(Cole, 1904)",239846,NA,NA,5,1,"Arthropoda","Pantopoda","Phoxichilidiidae","Anoplodactylus","Anoplodactylus viridintestinalis","Pycnogonida",NA,NA,"Southern California Bight"
"82",403275,403275,738353,"Species","Anoplogaster cornuta","(Valenciennes, 1833)",126393,NA,NA,4,2,"Chordata","Beryciformes","Anoplogastridae","Anoplogaster","Anoplogaster cornuta","Actinopteri",NA,NA,"Southern California Bight"
"83",403284,403284,771743,"Species","Anoplopoma fimbria","(Pallas, 1814)",159463,NA,NA,8,1,"Chordata","Scorpaeniformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria","Actinopteri",NA,NA,"Southern California Bight"
"84",403303,403303,774563,"Species","Anoropallene palpida","(Hilton, 1939)",239465,NA,NA,7,1,"Arthropoda","Pantopoda","Callipallenidae","Anoropallene","Anoropallene palpida","Pycnogonida",NA,NA,"Southern California Bight"
"85",403318,403318,777705,"Species","Anotomastus gordiodes","(Moore, 1909)",332979,NA,NA,16,1,"Annelida",NA,"Capitellidae","Anotomastus","Anotomastus gordiodes","Polychaeta",NA,NA,"Southern California Bight"
"86",403690,403690,737630,"Genus","Anthomastus","Verrill, 1878",125285,NA,NA,166,1,"Cnidaria","Alcyonacea","Alcyoniidae","Anthomastus",NA,"Anthozoa",NA,NA,"Southern California Bight"
"87",403727,403727,403720,"Species","Anthopleura artemisia","(Pickering in Dana, 1846)",283337,NA,NA,1,1,"Cnidaria","Actiniaria","Actiniidae","Anthopleura","Anthopleura artemisia","Anthozoa",NA,NA,"Southern California Bight"
"88",403770,403770,403720,"Species","Anthopleura xanthogrammica","(Brandt, 1835)",283377,NA,NA,3,2,"Cnidaria","Actiniaria","Actiniidae","Anthopleura","Anthopleura xanthogrammica","Anthozoa",NA,NA,"Southern California Bight"
"89",403774,403774,769174,"Genus","Anthoptilum","Kölliker, 1880",128489,NA,NA,33,2,"Cnidaria","Pennatulacea","Anthoptilidae","Anthoptilum",NA,"Anthozoa",NA,NA,"Southern California Bight"
"90",403776,403776,403774,"Species","Anthoptilum murrayi","Kölliker, 1880",128505,NA,NA,3,1,"Cnidaria","Pennatulacea","Anthoptilidae","Anthoptilum","Anthoptilum murrayi","Anthozoa",NA,NA,"Southern California Bight"
"91",403809,403809,765441,"Family","Anthuridae","Leach, 1814",118244,NA,NA,1,1,"Arthropoda","Isopoda","Anthuridae",NA,NA,"Malacostraca",NA,NA,"Southern California Bight"
"92",403920,403920,738473,"Species","Antimora microlepis","Bean, 1890",272460,TRUE,"DD",1,1,"Chordata","Gadiformes","Moridae","Antimora","Antimora microlepis","Actinopteri",NA,NA,"Southern California Bight"
"93",404106,404106,1011464,"Family","Aoridae","Stebbing, 1899",101368,NA,NA,3,1,"Arthropoda","Amphipoda","Aoridae",NA,NA,"Malacostraca",NA,NA,"Southern California Bight"
"94",404244,404244,601789,"Species","Aphelochaeta glandaria","Blake, 1996",326478,NA,NA,64,1,"Annelida","Terebellida","Cirratulidae","Aphelochaeta","Aphelochaeta glandaria","Polychaeta",NA,NA,"Southern California Bight"
"95",404251,404251,601789,"Species","Aphelochaeta tigrina","Blake, 1996",326481,NA,NA,9,1,"Annelida","Terebellida","Cirratulidae","Aphelochaeta","Aphelochaeta tigrina","Polychaeta",NA,NA,"Southern California Bight"
"96",404294,404294,772185,"Species","Aphorme horrida","Schulze, 1899",172014,NA,NA,2,2,"Porifera","Lyssacinosida","Rossellidae","Aphorme","Aphorme horrida","Hexactinellida",NA,NA,"Southern California Bight"
"97",404318,404318,404315,"Species","Aphrocallistes vastus","Schulze, 1886",171632,NA,NA,4,2,"Porifera","Hexactinosida","Aphrocallistidae","Aphrocallistes","Aphrocallistes vastus","Hexactinellida",NA,NA,"Southern California Bight"
"98",404327,404327,601831,"Species","Aphrodita japonica","Marenzeller, 1879",326499,NA,NA,1,1,"Annelida","Phyllodocida","Aphroditidae","Aphrodita","Aphrodita japonica","Polychaeta",NA,NA,"Southern California Bight"
"99",404328,404328,601831,"Species","Aphrodita negligens","Moore, 1905",332999,NA,NA,1,1,"Annelida","Phyllodocida","Aphroditidae","Aphrodita","Aphrodita negligens","Polychaeta",NA,NA,"Southern California Bight"
"100",404490,404490,756411,"Genus","Aplidium","Savigny, 1816",103471,NA,NA,20,1,"Chordata","Aplousobranchia","Polyclinidae","Aplidium",NA,"Ascidiacea",NA,NA,"Southern California Bight"
"101",404496,404496,404490,"Species","Aplidium californicum","(Ritter & Forsyth, 1917)",249827,NA,NA,44,2,"Chordata","Aplousobranchia","Polyclinidae","Aplidium","Aplidium californicum","Ascidiacea",NA,NA,"Southern California Bight"
"102",404512,404512,404490,"Species","Aplidium glabrum","(Verrill, 1871)",103647,NA,NA,1,1,"Chordata","Aplousobranchia","Polyclinidae","Aplidium","Aplidium glabrum","Ascidiacea",NA,NA,"Southern California Bight"
"103",404538,404538,404490,"Species","Aplidium solidum","(Ritter & Forsyth, 1917)",215889,NA,NA,1,1,"Chordata","Aplousobranchia","Polyclinidae","Aplidium","Aplidium solidum","Ascidiacea",NA,NA,"Southern California Bight"
"104",404614,404614,738962,"Order","Aplousobranchia","Lahille, 1886",103434,NA,NA,3,1,"Chordata","Aplousobranchia",NA,NA,NA,"Ascidiacea",NA,NA,"Southern California Bight"
"105",404781,404781,695650,"Species","Apogon guadalupensis","(Osburn & Nichols, 1916)",273016,TRUE,"LC",4,1,"Chordata","Perciformes","Apogonidae","Apogon","Apogon guadalupensis","Actinopteri",NA,NA,"Southern California Bight"
"106",405045,405045,405041,"Species","Apristurus brunneus","(Gilbert, 1892)",158512,TRUE,"DD",10,3,"Chordata","Carcharhiniformes","Pentanchidae","Apristurus","Apristurus brunneus","Elasmobranchii",NA,NA,"Southern California Bight"
"107",405187,405187,650613,"Genus","Arabella","Grube, 1850",129199,NA,NA,2,1,"Annelida","Eunicida","Oenonidae","Arabella",NA,"Polychaeta",NA,NA,"Southern California Bight"
"108",405189,405189,405187,"Species","Arabella endonata","Emerson, 1974",326547,NA,NA,2,1,"Annelida","Eunicida","Oenonidae","Arabella","Arabella endonata","Polychaeta",NA,NA,"Southern California Bight"
"109",405192,405192,405187,"Species","Arabella iricolor","(Montagu, 1804)",129854,NA,NA,1,1,"Annelida","Eunicida","Oenonidae","Arabella","Arabella iricolor","Polychaeta",NA,NA,"Southern California Bight"
"110",405314,405314,774917,"Genus","Araphura","Bird & Holdich, 1984",136206,NA,NA,1,1,"Arthropoda","Tanaidacea","Tanaellidae","Araphura",NA,"Malacostraca",NA,NA,"Southern California Bight"
"111",405318,405318,405314,"Species","Araphura cuspirostris","Dojiri & Sieg, 1997",247661,NA,NA,8,1,"Arthropoda","Tanaidacea","Tanaellidae","Araphura","Araphura cuspirostris","Malacostraca",NA,NA,"Southern California Bight"
"112",405500,405500,767493,"Genus","Archidistoma","Garstang, 1891",103452,NA,NA,2,1,"Chordata","Aplousobranchia","Polycitoridae","Archidistoma",NA,"Ascidiacea",NA,NA,"Southern California Bight"
"113",405679,405679,405674,"Species","Arctocephalus philippii","(Peters, 1866)",255006,TRUE,"LC",1,1,"Chordata","Carnivora","Otariidae","Arctocephalus","Arctocephalus philippii","Mammalia",NA,NA,"Southern California Bight"
"114",405749,405749,771734,"Species","Ardea herodias","Linnaeus, 1758",159382,TRUE,"LC",3,3,"Chordata","Ciconiiformes","Ardeidae","Ardea","Ardea herodias","Aves",NA,NA,"Southern California Bight"
"115",405783,405783,758792,"Genus","Arenaria","Brisson, 1760",147430,NA,NA,5,1,"Chordata","Charadriiformes","Scolopacidae","Arenaria",NA,"Aves",NA,NA,"Southern California Bight"
"116",405785,405785,405783,"Species","Arenaria interpres","(Linnaeus, 1758)",147431,TRUE,"LC",2,2,"Chordata","Charadriiformes","Scolopacidae","Arenaria","Arenaria interpres","Aves",NA,NA,"Southern California Bight"
"117",405787,405787,405783,"Species","Arenaria melanocephala","(Vigors, 1829)",366869,TRUE,"LC",4,2,"Chordata","Charadriiformes","Scolopacidae","Arenaria","Arenaria melanocephala","Aves",NA,NA,"Southern California Bight"
"118",405877,405877,405864,"Species","Argentina sialis","Gilbert, 1890",272897,TRUE,"LC",29,6,"Chordata","Osmeriformes","Argentinidae","Argentina","Argentina sialis","Actinopteri",NA,NA,"Southern California Bight"
"119",405907,405907,767079,"Genus","Argonauta","Linnaeus, 1758",137676,NA,NA,1,1,"Mollusca","Octopoda","Argonautidae","Argonauta",NA,"Cephalopoda",NA,NA,"Southern California Bight"
"120",405908,405908,405907,"Species","Argonauta argo","Linnaeus, 1758",138803,TRUE,"LC",2,1,"Mollusca","Octopoda","Argonautidae","Argonauta","Argonauta argo","Cephalopoda",NA,NA,"Southern California Bight"
"121",405925,405925,405924,"Subspecies","Argopecten irradians concentricus","(Say, 1822)",394266,NA,NA,27,1,"Mollusca","Pectinoida","Pectinidae","Argopecten","Argopecten irradians","Bivalvia",NA,NA,"Southern California Bight"
"122",405933,405933,405931,"Genus","Argulus","O.F. Müller, 1785",104071,NA,NA,1,1,"Arthropoda","Arguloida","Argulidae","Argulus",NA,"Ichthyostraca",NA,NA,"Southern California Bight"
"123",405962,405962,405954,"Species","Argyropelecus hemigymnus","Cocco, 1829",127309,TRUE,"LC",2,1,"Chordata","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus hemigymnus","Actinopteri",NA,NA,"Southern California Bight"
"124",405971,405971,405954,"Species","Argyropelecus sladeni","Regan, 1908",158837,NA,NA,4,1,"Chordata","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus sladeni","Actinopteri",NA,NA,"Southern California Bight"
