"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","hab","redlist","status","gisd","ecoregion"
"32",405686,405686,405684,"Species","Arctogadus glacialis","(Peters, 1872)",126432,2,1,"Chordata","Gadiformes","Gadidae","Arctogadus","Actinopteri","Arctogadus glacialis",NA,NA,NA,NA,"Chukchi Sea"
"33",405690,405690,1029776,"Genus","Arctonoe","Chamberlin, 1920",254300,2,1,"Annelida","Phyllodocida","Polynoidae","Arctonoe","Polychaeta",NA,NA,NA,NA,NA,"Chukchi Sea"
"34",405693,405693,405690,"Species","Arctonoe vittata","(Grube, 1855)",254301,1,1,"Annelida","Phyllodocida","Polynoidae","Arctonoe","Polychaeta","Arctonoe vittata",NA,NA,NA,NA,"Chukchi Sea"
"35",406430,406430,406428,"Species","Artacama proboscidea","Malmgren, 1866",131482,4,1,"Annelida","Terebellida","Terebellidae","Artacama","Polychaeta","Artacama proboscidea",NA,NA,NA,NA,"Chukchi Sea"
"36",406448,406448,743064,"Genus","Artediellus","Jordan, 1885",126147,2,2,"Chordata","Scorpaeniformes","Cottidae","Artediellus","Actinopteri",NA,NA,NA,NA,NA,"Chukchi Sea"
"37",406449,406449,406448,"Species","Artediellus atlanticus","Jordan & Evermann, 1898",127193,3,1,"Chordata","Scorpaeniformes","Cottidae","Artediellus","Actinopteri","Artediellus atlanticus",NA,NA,NA,NA,"Chukchi Sea"
"38",406458,406458,406448,"Species","Artediellus pacificus","Gilbert, 1896",254517,1,1,"Chordata","Scorpaeniformes","Cottidae","Artediellus","Actinopteri","Artediellus pacificus",NA,NA,NA,NA,"Chukchi Sea"
"39",406459,406459,406448,"Species","Artediellus scaber","Knipowitsch, 1907",127194,97,3,"Chordata","Scorpaeniformes","Cottidae","Artediellus","Actinopteri","Artediellus scaber",NA,NA,NA,NA,"Chukchi Sea"
"40",406460,406460,406448,"Species","Artediellus uncinatus","(Reinhardt, 1834)",127195,3,3,"Chordata","Scorpaeniformes","Cottidae","Artediellus","Actinopteri","Artediellus uncinatus",NA,NA,NA,NA,"Chukchi Sea"
"41",406534,406534,406533,"Species","Artotrogus orbicularis","Boeck, 1859",135666,1,1,"Arthropoda","Siphonostomatoida","Artotrogidae","Artotrogus",NA,"Artotrogus orbicularis",NA,NA,NA,NA,"Chukchi Sea"
"42",406592,406592,603103,"Species","Ascidia callosa","Stimpson, 1852",103700,1,1,"Chordata","Phlebobranchia","Ascidiidae","Ascidia","Ascidiacea","Ascidia callosa",NA,NA,NA,NA,"Chukchi Sea"
"43",406613,406613,603103,"Species","Ascidia obliqua","Alder, 1863",103713,1,1,"Chordata","Phlebobranchia","Ascidiidae","Ascidia","Ascidiacea","Ascidia obliqua",NA,NA,NA,NA,"Chukchi Sea"
"44",406866,406866,406862,"Species","Aspidophoroides monopterygius","(Bloch, 1786)",159459,29,2,"Chordata","Scorpaeniformes","Agonidae","Aspidophoroides","Actinopteri","Aspidophoroides monopterygius",NA,NA,NA,NA,"Chukchi Sea"
"45",406868,406868,406862,"Species","Aspidophoroides olrikii","Lütken, 1877",309268,112,6,"Chordata","Scorpaeniformes","Agonidae","Aspidophoroides","Actinopteri","Aspidophoroides olrikii",NA,NA,NA,NA,"Chukchi Sea"
"46",407010,407010,739018,"Species","Astarte borealis","(Schumacher, 1817)",138818,20,3,"Mollusca","Carditoida","Astartidae","Astarte","Bivalvia","Astarte borealis",NA,NA,NA,NA,"Chukchi Sea"
"47",407159,407159,771841,"Genus","Asteromphalus","Ehrenberg, 1844",162254,1,1,"Ochrophyta","Asterolamprales","Asterolampraceae","Asteromphalus","Bacillariophyceae",NA,NA,NA,NA,NA,"Chukchi Sea"
"48",408342,408342,408335,"Species","Aulactinia stella","(Verrill, 1864)",100814,2,1,"Cnidaria","Actiniaria","Actiniidae","Aulactinia","Anthozoa","Aulactinia stella",NA,NA,NA,NA,"Chukchi Sea"
"49",408472,408472,604355,"Species","Aurelia aurita","(Linnaeus, 1758)",135306,19,4,"Cnidaria","Semaeostomeae","Ulmaridae","Aurelia","Scyphozoa","Aurelia aurita",NA,NA,NA,NA,"Chukchi Sea"
"50",408869,408869,701064,"Genus","Axinopsida","Keen & Chavan in Chavan, 1951",138550,5,1,"Mollusca","Lucinoida","Thyasiridae","Axinopsida","Bivalvia",NA,NA,NA,NA,NA,"Chukchi Sea"
"51",408907,408907,745662,"Genus","Axiothella","Verrill, 1900",129342,4,1,"Annelida",NA,"Maldanidae","Axiothella","Polychaeta",NA,NA,NA,NA,NA,"Chukchi Sea"
"52",409124,409124,771883,"Species","Bacterosira bathyomphala","(Cleve) Syvertsen & Hasle, 1993",162927,68,1,"Ochrophyta",NA,NA,"Bacterosira","Bacillariophyceae","Bacterosira bathyomphala",NA,NA,NA,NA,"Chukchi Sea"
"53",409229,409229,769778,"Species","Balaena mysticetus","Linnaeus, 1758",137086,1712,7,"Chordata","Cetartiodactyla","Balaenidae","Balaena","Mammalia","Balaena mysticetus",NA,TRUE,"LC",NA,"Chukchi Sea"
"54",409240,409240,739484,"Species","Balaenoptera physalus","(Linnaeus, 1758)",137091,2,1,"Chordata","Cetartiodactyla","Balaenopteridae","Balaenoptera","Mammalia","Balaenoptera physalus",NA,TRUE,"EN",NA,"Chukchi Sea"
"55",409249,409249,766935,"Genus","Balanoglossus","Delle Chiaje, 1829",137592,1,1,"Hemichordata","Enteropneusta [order]","Ptychoderidae","Balanoglossus","Enteropneusta",NA,NA,NA,NA,NA,"Chukchi Sea"
"56",409365,409365,604839,"Species","Balanus balanus","(Linnaeus, 1758)",106213,7,1,"Arthropoda","Sessilia","Balanidae","Balanus",NA,"Balanus balanus",NA,NA,NA,NA,"Chukchi Sea"
"57",409369,409369,604839,"Species","Balanus crenatus","Bruguière, 1789",106215,9,1,"Arthropoda","Sessilia","Balanidae","Balanus",NA,"Balanus crenatus",NA,NA,NA,NA,"Chukchi Sea"
"58",410552,410552,699147,"Genus","Bathymedon","Sars, 1892",101691,14,1,"Arthropoda","Amphipoda","Oedicerotidae","Bathymedon","Malacostraca",NA,NA,NA,NA,NA,"Chukchi Sea"
"59",410555,410555,410552,"Species","Bathymedon nanseni","Gurjanova, 1946",158033,1,1,"Arthropoda","Amphipoda","Oedicerotidae","Bathymedon","Malacostraca","Bathymedon nanseni",NA,NA,NA,NA,"Chukchi Sea"
"60",411429,411429,771565,"Species","Berkeleya rutilans","(Trentepohl ex Roth) Grunow, 1880",156955,28,1,"Ochrophyta","Naviculales","Berkeleyaceae","Berkeleya","Bacillariophyceae","Berkeleya rutilans",NA,NA,NA,NA,"Chukchi Sea"
"61",411958,411958,411957,"Species","Blepsias bilobus","Cuvier, 1829",254540,8,2,"Chordata","Scorpaeniformes","Hemitripteridae","Blepsias","Actinopteri","Blepsias bilobus",NA,NA,NA,NA,"Chukchi Sea"
"62",412112,412112,751769,"Genus","Bolbolaimus","Cobb, 1920",153204,1,1,"Nematoda","Desmodorida","Microlaimidae","Bolbolaimus","Chromadorea",NA,NA,NA,NA,NA,"Chukchi Sea"
"63",412255,412255,412254,"Species","Boltenia echinata","(Linnaeus, 1767)",103814,23,3,"Chordata","Stolidobranchia","Pyuridae","Boltenia","Ascidiacea","Boltenia echinata",NA,NA,NA,NA,"Chukchi Sea"
"64",412257,412257,412254,"Species","Boltenia ovifera","(Linnaeus, 1767)",103815,34,3,"Chordata","Stolidobranchia","Pyuridae","Boltenia","Ascidiacea","Boltenia ovifera",NA,NA,NA,NA,"Chukchi Sea"
"65",412390,412390,606801,"Species","Boreotrophon clathratus","(Linnaeus, 1767)",146732,4,2,"Mollusca","Neogastropoda","Muricidae","Boreotrophon","Gastropoda","Boreotrophon clathratus",NA,NA,NA,NA,"Chukchi Sea"
"66",412463,412463,412462,"Species","Bostrichobranchus pilularis","(Verrill, 1871)",157861,9,1,"Chordata","Stolidobranchia","Molgulidae","Bostrichobranchus","Ascidiacea","Bostrichobranchus pilularis",NA,NA,NA,NA,"Chukchi Sea"
"67",412653,412653,412672,"Genus","Bougainvillia","Lesson, 1830",117015,17,1,"Cnidaria","Anthoathecata","Bougainvilliidae","Bougainvillia","Hydrozoa",NA,NA,NA,NA,NA,"Chukchi Sea"
"68",412660,412660,412653,"Species","Bougainvillia multitentaculata","Foerster, 1923",284241,8,1,"Cnidaria","Anthoathecata","Bougainvilliidae","Bougainvillia","Hydrozoa","Bougainvillia multitentaculata",NA,NA,NA,NA,"Chukchi Sea"
"69",412664,412664,412653,"Species","Bougainvillia principis","(Steenstrup, 1850)",117329,1,1,"Cnidaria","Anthoathecata","Bougainvilliidae","Bougainvillia","Hydrozoa","Bougainvillia principis",NA,NA,NA,NA,"Chukchi Sea"
"70",412827,412827,433783,"Genus","Brachydiastylis","Stebbing, 1912",110397,3,1,"Arthropoda","Cumacea","Diastylidae","Brachydiastylis","Malacostraca",NA,NA,NA,NA,NA,"Chukchi Sea"
"71",412953,412953,607096,"Species","Brada inhabilis","(Rathke, 1843)",130097,2,2,"Annelida","Terebellida","Flabelligeridae","Brada","Polychaeta","Brada inhabilis",NA,NA,NA,NA,"Chukchi Sea"
"72",413528,413528,413521,"Species","Buccinum glaciale","Linnaeus, 1761",138864,2,2,"Mollusca","Neogastropoda","Buccinidae","Buccinum","Gastropoda","Buccinum glaciale",NA,NA,NA,NA,"Chukchi Sea"
"73",413532,413532,413521,"Species","Buccinum plectrum","Stimpson, 1865",160127,2,2,"Mollusca","Neogastropoda","Buccinidae","Buccinum","Gastropoda","Buccinum plectrum",NA,NA,NA,NA,"Chukchi Sea"
"74",413533,413533,413521,"Species","Buccinum scalariforme","Møller, 1842",138875,16,1,"Mollusca","Neogastropoda","Buccinidae","Buccinum","Gastropoda","Buccinum scalariforme",NA,NA,NA,NA,"Chukchi Sea"
"75",414462,414462,414431,"Genus","Calanus","Leach, 1816",104152,231,6,"Arthropoda","Calanoida","Calanidae","Calanus",NA,NA,NA,NA,NA,NA,"Chukchi Sea"
"76",414468,414468,414462,"Species","Calanus finmarchicus","(Gunnerus, 1770)",104464,215,3,"Arthropoda","Calanoida","Calanidae","Calanus",NA,"Calanus finmarchicus",NA,NA,NA,NA,"Chukchi Sea"
"77",414475,414475,414462,"Species","Calanus marshallae","Frost, 1974",196770,149,4,"Arthropoda","Calanoida","Calanidae","Calanus",NA,"Calanus marshallae",NA,NA,NA,NA,"Chukchi Sea"
"78",414827,414827,766967,"Genus","Calligyrus","Lorenzen, 1969",2371,1,1,"Nematoda","Desmoscolecida","Desmoscolecidae","Calligyrus","Chromadorea",NA,NA,NA,NA,NA,"Chukchi Sea"
"79",415454,415454,751769,"Genus","Calomicrolaimus","Lorenzen, 1976",153207,1,1,"Nematoda","Desmodorida","Microlaimidae","Calomicrolaimus","Chromadorea",NA,NA,NA,NA,NA,"Chukchi Sea"
"80",415824,415824,744534,"Genus","Campylaimus","Cobb, 1920",2437,1,1,"Nematoda","Araeolaimida","Diplopeltidae","Campylaimus","Chromadorea",NA,NA,NA,NA,NA,"Chukchi Sea"
"81",416170,416170,609426,"Species","Candacia columbiae","Campbell, 1929",349800,1,1,"Arthropoda","Calanoida","Candaciidae","Candacia",NA,"Candacia columbiae",NA,NA,NA,NA,"Chukchi Sea"
"82",416382,416382,416381,"Species","Capitella capitata","(Fabricius, 1780)",129876,13,1,"Annelida",NA,"Capitellidae","Capitella","Polychaeta","Capitella capitata",NA,NA,NA,NA,"Chukchi Sea"
"83",416494,416494,763741,"Family","Caprellidae","Leach, 1814",101361,6,1,"Arthropoda","Amphipoda","Caprellidae",NA,"Malacostraca",NA,NA,NA,NA,NA,"Chukchi Sea"
"84",417030,417030,696262,"Species","Careproctus reinhardti","(Krøyer, 1862)",127212,1,1,"Chordata","Scorpaeniformes","Liparidae","Careproctus","Actinopteri","Careproctus reinhardti",NA,NA,NA,NA,"Chukchi Sea"
"85",417469,417469,417468,"Species","Catablema vesicarium","(A. Agassiz, 1862)",117784,6,1,"Cnidaria","Anthoathecata","Pandeidae","Catablema","Hydrozoa","Catablema vesicarium",NA,NA,NA,NA,"Chukchi Sea"
"86",418226,418226,741274,"Genus","Centropages","Krøyer, 1849",104159,5,1,"Arthropoda","Calanoida","Centropagidae","Centropages",NA,NA,NA,NA,NA,NA,"Chukchi Sea"
"87",418227,418227,418226,"Species","Centropages abdominalis","Sato, 1913",196774,142,6,"Arthropoda","Calanoida","Centropagidae","Centropages",NA,"Centropages abdominalis",NA,NA,NA,NA,"Chukchi Sea"
"88",418240,418240,418226,"Species","Centropages hamatus","(Lilljeborg, 1853)",104496,1,1,"Arthropoda","Calanoida","Centropagidae","Centropages",NA,"Centropages hamatus",NA,NA,NA,NA,"Chukchi Sea"
"89",418487,418487,418484,"Species","Cepphus grylle","(Linnaeus, 1758)",137130,10,1,"Chordata","Charadriiformes","Alcidae","Cepphus","Aves","Cepphus grylle",NA,TRUE,"LC",NA,"Chukchi Sea"
"90",418669,418669,767906,"Genus","Ceratium","Schrank, 1793",109506,2,2,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Dinophyceae",NA,NA,NA,NA,NA,"Chukchi Sea"
"91",418995,418995,749976,"Genus","Cerebratulus","Renier, 1804",122348,2,1,"Nemertea",NA,"Lineidae","Cerebratulus","Anopla",NA,NA,NA,NA,NA,"Chukchi Sea"
"92",418999,418999,418995,"Species","Cerebratulus fuscus","(McIntosh, 1874)",122471,1,1,"Nemertea",NA,"Lineidae","Cerebratulus","Anopla","Cerebratulus fuscus",NA,NA,NA,NA,"Chukchi Sea"
"93",419295,419295,758317,"Genus","Cervonema","Wieser, 1954",2430,1,1,"Nematoda","Araeolaimida","Comesomatidae","Cervonema","Chromadorea",NA,NA,NA,NA,NA,"Chukchi Sea"
"94",419486,419486,770762,"Genus","Chaetoceros","Ehrenberg, 1844",148985,230,2,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Bacillariophyceae",NA,NA,NA,NA,NA,"Chukchi Sea"
"95",419493,419493,419486,"Species","Chaetoceros affinis","Lauder, 1864",149241,1,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Bacillariophyceae","Chaetoceros affinis",NA,NA,NA,NA,"Chukchi Sea"
"96",419513,419513,419486,"Species","Chaetoceros atlanticus","Cleve, 1873",149288,3,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Bacillariophyceae","Chaetoceros atlanticus",NA,NA,NA,NA,"Chukchi Sea"
"97",419523,419523,419486,"Species","Chaetoceros borealis","Bailey, 1854",149124,1,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Bacillariophyceae","Chaetoceros borealis",NA,NA,NA,NA,"Chukchi Sea"
"98",419546,419546,419486,"Species","Chaetoceros compressus","Lauder, 1864",149129,22,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Bacillariophyceae","Chaetoceros compressus",NA,NA,NA,NA,"Chukchi Sea"
"99",419570,419570,419486,"Species","Chaetoceros debilis","Cleve, 1894",149219,17,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Bacillariophyceae","Chaetoceros debilis",NA,NA,NA,NA,"Chukchi Sea"
"100",419571,419571,419486,"Species","Chaetoceros decipiens","Cleve, 1873",149126,6,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Bacillariophyceae","Chaetoceros decipiens",NA,NA,NA,NA,"Chukchi Sea"
"101",419613,419613,419486,"Species","Chaetoceros furcellatus","Yendo, 1911",149624,57,2,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Bacillariophyceae","Chaetoceros furcellatus",NA,NA,NA,NA,"Chukchi Sea"
"102",419633,419633,419486,"Species","Chaetoceros laciniosus","F.Schütt, 1895",149228,1,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Bacillariophyceae","Chaetoceros laciniosus",NA,NA,NA,NA,"Chukchi Sea"
"103",419714,419714,419486,"Species","Chaetoceros simplex","Ostenfeld, 1902",149294,3,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Bacillariophyceae","Chaetoceros simplex",NA,NA,NA,NA,"Chukchi Sea"
"104",419717,419717,419486,"Species","Chaetoceros socialis","H.S.Lauder, 1864",149123,2,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Bacillariophyceae","Chaetoceros socialis",NA,NA,NA,NA,"Chukchi Sea"
"105",419721,419721,419486,"Species","Chaetoceros subsecundus","(Grunow ex Van Heurck) Hustedt, 1927",163047,14,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Bacillariophyceae","Chaetoceros subsecundus",NA,NA,NA,NA,"Chukchi Sea"
"106",419725,419725,419486,"Species","Chaetoceros teres","Cleve, 1896",149125,2,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Bacillariophyceae","Chaetoceros teres",NA,NA,NA,NA,"Chukchi Sea"
"107",420006,420006,742089,"Genus","Chaetozone","Malmgren, 1867",129242,5,1,"Annelida","Terebellida","Cirratulidae","Chaetozone","Polychaeta",NA,NA,NA,NA,NA,"Chukchi Sea"
"108",420902,420902,742911,"Genus","Chelyosoma","Broderip & Sowerby, 1830",103494,19,2,"Chordata","Phlebobranchia","Corellidae","Chelyosoma","Ascidiacea",NA,NA,NA,NA,NA,"Chukchi Sea"
"109",421202,421202,1042348,"Genus","Chionoecetes","Krøyer, 1838",106898,23,1,"Arthropoda","Decapoda","Oregoniidae","Chionoecetes","Malacostraca",NA,NA,NA,NA,NA,"Chukchi Sea"
"110",421206,421206,421202,"Species","Chionoecetes opilio","(O. Fabricius, 1788)",107315,85,4,"Arthropoda","Decapoda","Oregoniidae","Chionoecetes","Malacostraca","Chionoecetes opilio",NA,NA,NA,NA,"Chukchi Sea"
"111",421229,421229,612680,"Species","Chiridota laevis","(O. Fabricius, 1780)",124434,1,1,"Echinodermata","Apodida","Chiridotidae","Chiridota","Holothuroidea","Chiridota laevis",NA,NA,NA,NA,"Chukchi Sea"
"112",421347,421347,771137,"Genus","Chiton","Linnaeus, 1758",137779,1,1,"Mollusca","Chitonida","Chitonidae","Chiton","Polyplacophora",NA,NA,NA,NA,NA,"Chukchi Sea"
"113",421628,421628,778624,"Division","Chlorophyta","Pascher, 1914",801,39,1,"Chlorophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chukchi Sea"
"114",421830,421830,758325,"Genus","Chone","Krøyer, 1856",129525,15,1,"Annelida","Sabellida","Sabellidae","Chone","Polychaeta",NA,NA,NA,NA,NA,"Chukchi Sea"
"115",421836,421836,421830,"Species","Chone duneri","Malmgren, 1867",130888,3,1,"Annelida","Sabellida","Sabellidae","Chone","Polychaeta","Chone duneri",NA,NA,NA,NA,"Chukchi Sea"
"116",423114,423114,655698,"Genus","Cistenides","Malmgren, 1866",157316,4,1,"Annelida","Terebellida","Pectinariidae","Cistenides","Polychaeta",NA,NA,NA,NA,NA,"Chukchi Sea"
"117",423118,423118,423114,"Species","Cistenides hyperborea","Malmgren, 1866",157317,1,1,"Annelida","Terebellida","Pectinariidae","Cistenides","Polychaeta","Cistenides hyperborea",NA,NA,NA,NA,"Chukchi Sea"
"118",423473,423473,857451,"Species","Clangula hyemalis","(Linnaeus, 1758)",137071,2,1,"Chordata","Anseriformes","Anatidae","Clangula","Aves","Clangula hyemalis",NA,TRUE,"VU",NA,"Chukchi Sea"
"119",423702,423702,740483,"Family","Clausocalanidae","Giesbrecht, 1893",104082,1,1,"Arthropoda","Calanoida","Clausocalanidae",NA,NA,NA,NA,NA,NA,NA,"Chukchi Sea"
"120",423704,423704,696573,"Species","Clausocalanus arcuicornis","(Dana, 1849)",104502,34,1,"Arthropoda","Calanoida","Clausocalanidae","Clausocalanus",NA,"Clausocalanus arcuicornis",NA,NA,NA,NA,"Chukchi Sea"
"121",423998,423998,778897,"Genus","Clinocardium","Keen, 1936",156818,9,1,"Mollusca","Cardiida","Cardiidae","Clinocardium","Bivalvia",NA,NA,NA,NA,NA,"Chukchi Sea"
"122",424077,424077,424098,"Genus","Clione","Pallas, 1774",137793,1,1,"Mollusca","Gymnosomata","Clionidae","Clione","Gastropoda",NA,NA,NA,NA,NA,"Chukchi Sea"
"123",424079,424079,424077,"Species","Clione limacina","(Phipps, 1774)",139178,223,7,"Mollusca","Gymnosomata","Clionidae","Clione","Gastropoda","Clione limacina",NA,NA,NA,NA,"Chukchi Sea"
"124",424201,424201,424193,"Species","Clupea harengus","Linnaeus, 1758",126417,3,1,"Chordata","Clupeiformes","Clupeidae","Clupea","Actinopteri","Clupea harengus",NA,TRUE,"LC",NA,"Chukchi Sea"
