"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","redlist","status","records","datasets","phylum","order","family","genus","species","class","gisd","ecoregion"
"33",419465,419465,741513,"Species","Chaenopsis schmitti","Böhlke, 1957",280110,TRUE,"VU",4,1,"Chordata","Perciformes","Chaenopsidae","Chaenopsis","Chaenopsis schmitti","Actinopteri",NA,"Western Galapagos Islands"
"34",419774,419774,696396,"Species","Chaetodon auriga","Forsskål, 1775",218730,TRUE,"LC",1,1,"Chordata","Perciformes","Chaetodontidae","Chaetodon","Chaetodon auriga","Actinopteri",NA,"Western Galapagos Islands"
"35",420218,420218,773827,"Species","Chanos chanos","(Forsskål, 1775)",217625,NA,NA,1,1,"Chordata","Gonorhynchiformes","Chanidae","Chanos","Chanos chanos","Actinopteri",NA,"Western Galapagos Islands"
"36",420653,420653,420623,"Species","Cheilopogon xenopterus","(Gilbert, 1890)",272166,TRUE,"LC",3,1,"Chordata","Beloniformes","Exocoetidae","Cheilopogon","Cheilopogon xenopterus","Actinopteri",NA,"Western Galapagos Islands"
"37",420876,420876,743298,"Family","Cheloniidae","Oppel, 1811",136999,NA,NA,2,1,"Chordata","Testudines","Cheloniidae",NA,NA,"Reptilia",NA,"Western Galapagos Islands"
"38",420956,420956,612446,"Species","Chiasmodon niger","Johnson, 1864",126840,NA,NA,1,1,"Chordata","Perciformes","Chiasmodontidae","Chiasmodon","Chiasmodon niger","Actinopteri",NA,"Western Galapagos Islands"
"39",421114,421114,421106,"Species","Chilomycterus reticulatus","(Linnaeus, 1758)",219964,NA,NA,8,1,"Chordata","Tetraodontiformes","Diodontidae","Chilomycterus","Chilomycterus reticulatus","Actinopteri",NA,"Western Galapagos Islands"
"40",421532,421532,421530,"Species","Chlopsis bicollaris","(Myers & Wade, 1941)",271713,TRUE,"NT",3,2,"Chordata","Anguilliformes","Chlopsidae","Chlopsis","Chlopsis bicollaris","Actinopteri",NA,"Western Galapagos Islands"
"41",421619,421619,421602,"Species","Chlorophthalmus mento","Garman, 1899",272058,NA,NA,2,2,"Chordata","Aulopiformes","Chlorophthalmidae","Chlorophthalmus","Chlorophthalmus mento","Actinopteri",NA,"Western Galapagos Islands"
"42",422110,422110,422102,"Species","Chromis alta","Greenfield & Woods, 1980",273710,TRUE,"LC",19,3,"Chordata","Perciformes","Pomacentridae","Chromis","Chromis alta","Actinopteri",NA,"Western Galapagos Islands"
"43",422804,422804,422867,"Genus","Cirolana","Leach, 1818",118399,NA,NA,1,1,"Arthropoda","Isopoda","Cirolanidae","Cirolana",NA,"Malacostraca",NA,"Western Galapagos Islands"
"44",425316,425316,742510,"Species","Cololabis adocetus","Böhlke, 1951",280365,NA,NA,1,1,"Chordata","Beloniformes","Scomberesocidae","Cololabis","Cololabis adocetus","Actinopteri",NA,"Western Galapagos Islands"
"45",425661,425661,769566,"Species","Concentrotheca vaughani","Cairns, 1991",286787,TRUE,"DD",8,3,"Cnidaria","Scleractinia","Caryophylliidae","Concentrotheca","Concentrotheca vaughani","Anthozoa",NA,"Western Galapagos Islands"
"46",427034,427034,603431,"Genus","Coronaster","Perrier, 1885",123232,NA,NA,2,1,"Echinodermata","Forcipulatida","Asteriidae","Coronaster",NA,"Asteroidea",NA,"Western Galapagos Islands"
"47",427392,427392,743008,"Species","Coryphaenoides gypsochilus","Iwamoto & McCosker, 2001",272332,NA,NA,2,1,"Chordata","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides gypsochilus","Actinopteri",NA,"Western Galapagos Islands"
"48",428775,428775,743224,"Species","Crispatotrochus galapagensis","Cairns, 1991",289738,TRUE,"DD",12,3,"Cnidaria","Scleractinia","Caryophylliidae","Crispatotrochus","Crispatotrochus galapagensis","Anthozoa",NA,"Western Galapagos Islands"
"49",429038,429038,799828,"Genus","Crypthelia","Milne Edwards & Haime, 1849",117241,NA,NA,2,2,"Cnidaria","Anthoathecata","Stylasteridae","Crypthelia",NA,"Hydrozoa",NA,"Western Galapagos Islands"
"50",429043,429043,429038,"Species","Crypthelia cymas","Cairns, 1986",285778,NA,NA,4,2,"Cnidaria","Anthoathecata","Stylasteridae","Crypthelia","Crypthelia cymas","Hydrozoa",NA,"Western Galapagos Islands"
"51",429045,429045,429038,"Species","Crypthelia lacunosa","Cairns, 1986",285788,NA,NA,2,2,"Cnidaria","Anthoathecata","Stylasteridae","Crypthelia","Crypthelia lacunosa","Hydrozoa",NA,"Western Galapagos Islands"
"52",430401,430401,696894,"Species","Cyclothone signata","Garman, 1899",154831,NA,NA,1,1,"Chordata","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone signata","Actinopteri",NA,"Western Galapagos Islands"
"53",431587,431587,431583,"Species","Cystodytes dellechiajei","(Della Valle, 1877)",103601,NA,NA,2,1,"Chordata","Aplousobranchia","Polycitoridae","Cystodytes","Cystodytes dellechiajei","Ascidiacea",NA,"Western Galapagos Islands"
"54",431904,431904,431894,"Species","Dactyloscopus pectoralis","Gill, 1861",276404,TRUE,"LC",1,1,"Chordata","Perciformes","Dactyloscopidae","Dactyloscopus","Dactyloscopus pectoralis","Actinopteri",NA,"Western Galapagos Islands"
"55",432297,432297,696975,"Species","Dasyatis brevis","(Garman, 1880)",271428,NA,NA,1,1,"Chordata","Myliobatiformes","Dasyatidae","Dasyatis","Dasyatis brevis","Elasmobranchii",NA,"Western Galapagos Islands"
"56",432475,432475,432454,"Species","Decapterus scombrinus","(Valenciennes, 1846)",273280,NA,NA,1,1,"Chordata","Perciformes","Carangidae","Decapterus","Decapterus scombrinus","Actinopteri",NA,"Western Galapagos Islands"
"57",432573,432573,743939,"Genus","Delphinus","Linnaeus, 1758",137015,NA,NA,2,1,"Chordata","Cetartiodactyla","Delphinidae","Delphinus",NA,"Mammalia",NA,"Western Galapagos Islands"
"58",432575,432575,432573,"Species","Delphinus delphis","Linnaeus, 1758",137094,TRUE,"LC",212,9,"Chordata","Cetartiodactyla","Delphinidae","Delphinus","Delphinus delphis","Mammalia",NA,"Western Galapagos Islands"
"59",432877,432877,697011,"Species","Dendrophyllia oldroydae","Oldroyd, 1924",286978,NA,NA,4,2,"Cnidaria","Scleractinia","Dendrophylliidae","Dendrophyllia","Dendrophyllia oldroydae","Anthozoa",NA,"Western Galapagos Islands"
"60",433185,433185,769806,"Species","Dermochelys coriacea","(Vandelli, 1761)",137209,TRUE,"VU",24,2,"Chordata","Testudines","Dermochelyidae","Dermochelys","Dermochelys coriacea","Reptilia",NA,"Western Galapagos Islands"
"61",433369,433369,433364,"Species","Desmophyllum dianthus","(Esper, 1794)",135159,NA,NA,8,4,"Cnidaria","Scleractinia","Caryophylliidae","Desmophyllum","Desmophyllum dianthus","Anthozoa",NA,"Western Galapagos Islands"
"62",433711,433711,784120,"Species","Diaphus rafinesquii","(Cocco, 1838)",126596,TRUE,"LC",6,1,"Chordata","Myctophiformes","Myctophidae","Diaphus","Diaphus rafinesquii","Actinopteri",NA,"Western Galapagos Islands"
"63",433869,433869,620851,"Species","Dibranchus discors","Bradbury, McCosker & Long, 1999",272606,NA,NA,3,2,"Chordata","Lophiiformes","Ogcocephalidae","Dibranchus","Dibranchus discors","Actinopteri",NA,"Western Galapagos Islands"
"64",434253,434253,621044,"Genus","Didemnum","Savigny, 1816",103456,NA,NA,2,1,"Chordata","Aplousobranchia","Didemnidae","Didemnum",NA,"Ascidiacea",NA,"Western Galapagos Islands"
"65",434264,434264,434253,"Species","Didemnum carnulentum","Ritter & Forsyth, 1917",250480,NA,NA,1,1,"Chordata","Aplousobranchia","Didemnidae","Didemnum","Didemnum carnulentum","Ascidiacea",NA,"Western Galapagos Islands"
"66",435940,435940,622016,"Species","Dolopichthys allector","Garman, 1899",126562,NA,NA,1,1,"Chordata","Lophiiformes","Oneirodidae","Dolopichthys","Dolopichthys allector","Actinopteri",NA,"Western Galapagos Islands"
"67",437525,437525,437517,"Species","Ectopleura sacculifera","Kramp, 1957",117985,NA,NA,2,1,"Cnidaria","Anthoathecata","Tubulariidae","Ectopleura","Ectopleura sacculifera","Hydrozoa",NA,"Western Galapagos Islands"
"68",437528,437528,622944,"Species","Ectreposebastes imus","Garman, 1899",159566,NA,NA,5,2,"Chordata","Scorpaeniformes","Setarchidae","Ectreposebastes","Ectreposebastes imus","Actinopteri",NA,"Western Galapagos Islands"
"69",438440,438440,745168,"Species","Encheliophis vermicularis","Müller, 1842",279269,NA,NA,1,1,"Chordata","Ophidiiformes","Carapidae","Encheliophis","Encheliophis vermicularis","Actinopteri",NA,"Western Galapagos Islands"
"70",438640,438640,438619,"Species","Engraulis ringens","Jenyns, 1842",272287,TRUE,"LC",2,1,"Chordata","Clupeiformes","Engraulidae","Engraulis","Engraulis ringens","Actinopteri",NA,"Western Galapagos Islands"
"71",439095,439095,439091,"Species","Entomacrodus chiostictus","(Jordan & Gilbert, 1882)",277243,TRUE,"LC",1,1,"Chordata","Perciformes","Blenniidae","Entomacrodus","Entomacrodus chiostictus","Actinopteri",NA,"Western Galapagos Islands"
"72",439391,439391,745346,"Genus","Epigonus","Rafinesque, 1810",125967,NA,NA,1,1,"Chordata","Perciformes","Epigonidae","Epigonus",NA,"Actinopteri",NA,"Western Galapagos Islands"
"73",439446,439446,745366,"Genus","Epinephelus","Bloch, 1793",126068,NA,NA,13,1,"Chordata","Perciformes","Serranidae","Epinephelus",NA,"Actinopteri",NA,"Western Galapagos Islands"
"74",439979,439979,769804,"Species","Eretmochelys imbricata","(Linnaeus, 1766)",137207,TRUE,"CR",1,1,"Chordata","Testudines","Cheloniidae","Eretmochelys","Eretmochelys imbricata","Reptilia",NA,"Western Galapagos Islands"
"75",440927,440927,625137,"Species","Euchaeta marinella","Bradford, 1974",346441,NA,NA,1,1,"Arthropoda","Calanoida","Euchaetidae","Euchaeta","Euchaeta marinella",NA,NA,"Western Galapagos Islands"
"76",440936,440936,625137,"Species","Euchaeta rimana","Bradford, 1974",346444,NA,NA,1,1,"Arthropoda","Calanoida","Euchaetidae","Euchaeta","Euchaeta rimana",NA,NA,"Western Galapagos Islands"
"77",441311,441311,767493,"Genus","Eudistoma","Caullery, 1909",103465,NA,NA,2,1,"Chordata","Aplousobranchia","Polycitoridae","Eudistoma",NA,"Ascidiacea",NA,"Western Galapagos Islands"
"78",441786,441786,441758,"Species","Eunice filamentosa","Grube & Örsted in Grube, 1856",327679,NA,NA,1,1,"Annelida","Eunicida","Eunicidae","Eunice","Eunice filamentosa","Polychaeta",NA,"Western Galapagos Islands"
"79",442875,442875,746013,"Species","Evermannella ahlstromi","Johnson & Glodek, 1975",272063,NA,NA,3,1,"Chordata","Aulopiformes","Evermannellidae","Evermannella","Evermannella ahlstromi","Actinopteri",NA,"Western Galapagos Islands"
"80",443256,443256,443254,"Species","Facciolella equatorialis","(Gilbert, 1891)",271907,NA,NA,1,1,"Chordata","Anguilliformes","Nettastomatidae","Facciolella","Facciolella equatorialis","Actinopteri",NA,"Western Galapagos Islands"
"81",443716,443716,443715,"Species","Feresa attenuata","Gray, 1874",137095,TRUE,"DD",1,1,"Chordata","Cetartiodactyla","Delphinidae","Feresa","Feresa attenuata","Mammalia",NA,"Western Galapagos Islands"
"82",443959,443959,771741,"Species","Fistularia commersonii","Rüppell, 1838",217966,NA,NA,3,2,"Chordata","Syngnathiformes","Fistulariidae","Fistularia","Fistularia commersonii","Actinopteri",NA,"Western Galapagos Islands"
"83",443960,443960,771741,"Species","Fistularia corneta","Gilbert & Starks, 1904",276231,TRUE,"LC",2,1,"Chordata","Syngnathiformes","Fistulariidae","Fistularia","Fistularia corneta","Actinopteri",NA,"Western Galapagos Islands"
"84",444015,444015,769561,"Genus","Flabellum","Lesson, 1831",135114,NA,NA,2,2,"Cnidaria","Scleractinia","Flabellidae","Flabellum",NA,"Anthozoa",NA,"Western Galapagos Islands"
"85",444215,444215,776469,"Species","Fodiator rostratus","(Günther, 1866)",280792,TRUE,"LC",4,1,"Chordata","Beloniformes","Exocoetidae","Fodiator","Fodiator rostratus","Actinopteri",NA,"Western Galapagos Islands"
"86",445039,445039,627885,"Species","Gadella filifer","(Garman, 1899)",272463,NA,NA,2,1,"Chordata","Gadiformes","Moridae","Gadella","Gadella filifer","Actinopteri",NA,"Western Galapagos Islands"
"87",445047,445047,627885,"Species","Gadella thysthlon","Long & McCosker, 1998",272470,NA,NA,1,1,"Chordata","Gadiformes","Moridae","Gadella","Gadella thysthlon","Actinopteri",NA,"Western Galapagos Islands"
"88",445402,445402,445386,"Species","Galeus piperatus","Springer & Wagner, 1966",271363,TRUE,"LC",1,1,"Chordata","Carcharhiniformes","Pentanchidae","Galeus","Galeus piperatus","Elasmobranchii",NA,"Western Galapagos Islands"
"89",446571,446571,746789,"Species","Gillellus semicinctus","Gilbert, 1890",280849,TRUE,"LC",2,1,"Chordata","Perciformes","Dactyloscopidae","Gillellus","Gillellus semicinctus","Actinopteri",NA,"Western Galapagos Islands"
"90",446724,446724,629011,"Species","Globicephala macrorhynchus","Gray, 1846",137096,TRUE,"DD",28,5,"Chordata","Cetartiodactyla","Delphinidae","Globicephala","Globicephala macrorhynchus","Mammalia",NA,"Western Galapagos Islands"
"91",446821,446821,629048,"Species","Globorotalia scitula","(Brady, 1882)",113452,NA,NA,1,1,"Foraminifera","Globigerinida","Globorotaliidae","Globorotalia","Globorotalia scitula","Globothalamea",NA,"Western Galapagos Islands"
"92",448177,448177,448173,"Species","Gonichthys venetus","Becker, 1964",272703,NA,NA,1,1,"Chordata","Myctophiformes","Myctophidae","Gonichthys","Gonichthys venetus","Actinopteri",NA,"Western Galapagos Islands"
"93",448800,448800,448799,"Species","Grampus griseus","(G. Cuvier, 1812)",137098,TRUE,"LC",38,4,"Chordata","Cetartiodactyla","Delphinidae","Grampus","Grampus griseus","Mammalia",NA,"Western Galapagos Islands"
"94",449093,449093,768953,"Species","Guentherus altivela","Osório, 1917",272023,NA,NA,2,1,"Chordata","Ateleopodiformes","Ateleopodidae","Guentherus","Guentherus altivela","Actinopteri",NA,"Western Galapagos Islands"
"95",449537,449537,747330,"Species","Gymnothorax buroensis","(Bleeker, 1857)",217479,NA,NA,1,1,"Chordata","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax buroensis","Actinopteri",NA,"Western Galapagos Islands"
"96",449604,449604,747330,"Species","Gymnothorax panamensis","(Steindachner, 1876)",271866,TRUE,"LC",13,2,"Chordata","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax panamensis","Actinopteri",NA,"Western Galapagos Islands"
"97",450384,450384,450360,"Species","Halichoeres dispilus","(Günther, 1864)",275763,TRUE,"LC",61,3,"Chordata","Perciformes","Labridae","Halichoeres","Halichoeres dispilus","Actinopteri",NA,"Western Galapagos Islands"
"98",452856,452856,632747,"Species","Henricia obesa","(Sladen, 1889)",178757,NA,NA,1,1,"Echinodermata","Spinulosida","Echinasteridae","Henricia","Henricia obesa","Asteroidea",NA,"Western Galapagos Islands"
"99",454414,454414,454406,"Species","Hirundichthys speculiger","(Valenciennes, 1847)",126387,NA,NA,1,1,"Chordata","Beloniformes","Exocoetidae","Hirundichthys","Hirundichthys speculiger","Actinopteri",NA,"Western Galapagos Islands"
"100",454541,454541,454527,"Species","Holacanthus tricolor","(Bloch, 1795)",276017,TRUE,"LC",1,1,"Chordata","Perciformes","Pomacanthidae","Holacanthus","Holacanthus tricolor","Actinopteri",NA,"Western Galapagos Islands"
"101",454691,454691,768893,"Species","Holothuria (Platyperona) difficilis","Semper, 1868",148752,NA,NA,1,1,"Echinodermata","Aspidochirotida","Holothuriidae","Holothuria","Holothuria (Platyperona) difficilis","Holothuroidea",NA,"Western Galapagos Islands"
"102",455801,455801,455793,"Species","Hygophum reinhardtii","(Lütken, 1892)",126604,NA,NA,13,1,"Chordata","Myctophiformes","Myctophidae","Hygophum","Hygophum reinhardtii","Actinopteri",NA,"Western Galapagos Islands"
"103",457054,457054,774285,"Species","Indopacetus pacificus","(Longman, 1926)",231418,TRUE,"DD",1,1,"Chordata","Cetartiodactyla","Ziphiidae","Indopacetus","Indopacetus pacificus","Mammalia",NA,"Western Galapagos Islands"
"104",457110,457110,457102,"Species","Iniistius pavo","(Valenciennes, 1840)",219004,TRUE,"LC",2,1,"Chordata","Perciformes","Labridae","Iniistius","Iniistius pavo","Actinopteri",NA,"Western Galapagos Islands"
"105",457674,457674,489355,"Order","Isopoda","Latreille, 1817",1131,NA,NA,3,1,"Arthropoda","Isopoda",NA,NA,NA,"Malacostraca",NA,"Western Galapagos Islands"
"106",458788,458788,1042387,"Genus","Kogia","Gray, 1846",159024,NA,NA,4,1,"Chordata","Cetartiodactyla","Kogiidae","Kogia",NA,"Mammalia",NA,"Western Galapagos Islands"
"107",458790,458790,458788,"Species","Kogia sima","(Owen, 1866)",159025,TRUE,"DD",2,1,"Chordata","Cetartiodactyla","Kogiidae","Kogia","Kogia sima","Mammalia",NA,"Western Galapagos Islands"
"108",459147,459147,636717,"Species","Labidocera acutifrons","(Dana, 1849)",104727,NA,NA,1,1,"Arthropoda","Calanoida","Pontellidae","Labidocera","Labidocera acutifrons",NA,NA,"Western Galapagos Islands"
"109",459246,459246,749153,"Species","Labrisomus jenkinsi","(Heller & Snodgrass, 1903)",281256,TRUE,"VU",5,1,"Chordata","Perciformes","Labrisomidae","Labrisomus","Labrisomus jenkinsi","Actinopteri",NA,"Western Galapagos Islands"
"110",459597,459597,769779,"Species","Lagenodelphis hosei","Fraser, 1956",137099,TRUE,"LC",2,1,"Chordata","Cetartiodactyla","Delphinidae","Lagenodelphis","Lagenodelphis hosei","Mammalia",NA,"Western Galapagos Islands"
"111",459858,459858,459840,"Species","Lampanyctus hubbsi","Wisner, 1963",272710,NA,NA,1,1,"Chordata","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus hubbsi","Actinopteri",NA,"Western Galapagos Islands"
"112",459871,459871,459840,"Species","Lampanyctus macropterus","(Brauer, 1904)",272713,NA,NA,9,1,"Chordata","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus macropterus","Actinopteri",NA,"Western Galapagos Islands"
"113",459880,459880,459840,"Species","Lampanyctus omostigma","Gilbert, 1908",272714,NA,NA,10,1,"Chordata","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus omostigma","Actinopteri",NA,"Western Galapagos Islands"
"114",459898,459898,459840,"Species","Lampanyctus tenuiformis","(Brauer, 1906)",158898,NA,NA,2,1,"Chordata","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus tenuiformis","Actinopteri",NA,"Western Galapagos Islands"
"115",461295,461295,769805,"Species","Lepidochelys olivacea","(Eschscholtz, 1829)",220293,TRUE,"VU",1,1,"Chordata","Testudines","Cheloniidae","Lepidochelys","Lepidochelys olivacea","Reptilia",NA,"Western Galapagos Islands"
"116",462702,462702,698274,"Species","Leuckartiara zacae","Bigelow, 1940",221195,NA,NA,2,2,"Cnidaria","Anthoathecata","Pandeidae","Leuckartiara","Leuckartiara zacae","Hydrozoa",NA,"Western Galapagos Islands"
"117",463782,463782,743092,"Genus","Liocranchia","Pfeffer, 1884",137851,NA,NA,2,1,"Mollusca","Oegopsida","Cranchiidae","Liocranchia",NA,"Cephalopoda",NA,"Western Galapagos Islands"
"118",463857,463857,463847,"Species","Liopropoma fasciatum","Bussing, 1980",275942,TRUE,"LC",2,1,"Chordata","Perciformes","Serranidae","Liopropoma","Liopropoma fasciatum","Actinopteri",NA,"Western Galapagos Islands"
"119",465159,465159,465156,"Species","Loweina rara","(Lütken, 1892)",126625,NA,NA,1,1,"Chordata","Myctophiformes","Myctophidae","Loweina","Loweina rara","Actinopteri",NA,"Western Galapagos Islands"
"120",465699,465699,750406,"Genus","Lutjanus","Bloch, 1790",159791,NA,NA,13,1,"Chordata","Perciformes","Lutjanidae","Lutjanus",NA,"Actinopteri",NA,"Western Galapagos Islands"
"121",466359,466359,750488,"Species","Lythrypnus dalli","(Gilbert, 1890)",281457,TRUE,"LC",1,1,"Chordata","Perciformes","Gobiidae","Lythrypnus","Lythrypnus dalli","Actinopteri",NA,"Western Galapagos Islands"
"122",466361,466361,750488,"Species","Lythrypnus gilberti","(Heller & Snodgrass, 1903)",281459,TRUE,"VU",38,3,"Chordata","Perciformes","Gobiidae","Lythrypnus","Lythrypnus gilberti","Actinopteri",NA,"Western Galapagos Islands"
