"","id","valid_id","parent_id","rank_name","tname","tauthor","records","datasets","phylum","family","genus","species","class","order","worms_id","redlist","status","gisd","hab","ecoregion"
"17",395743,395743,395729,"Species","Acanthemblemaria spinosa","Metzelaar, 1919",1,1,"Chordata","Chaenopsidae","Acanthemblemaria","Acanthemblemaria spinosa","Actinopteri","Perciformes",254883,TRUE,"LC",NA,NA,"Floridian"
"18",395746,395746,695236,"Species","Acanthephyra acanthitelsonis","Spence Bate, 1888",2,1,"Arthropoda","Acanthephyridae","Acanthephyra","Acanthephyra acanthitelsonis","Malacostraca","Decapoda",240809,NA,NA,NA,NA,"Floridian"
"19",395747,395747,695236,"Species","Acanthephyra acutifrons","Spence Bate, 1888",2,1,"Arthropoda","Acanthephyridae","Acanthephyra","Acanthephyra acutifrons","Malacostraca","Decapoda",158347,NA,NA,NA,NA,"Floridian"
"20",395754,395754,695236,"Species","Acanthephyra eximia","Smith, 1884",3,1,"Arthropoda","Acanthephyridae","Acanthephyra","Acanthephyra eximia","Malacostraca","Decapoda",564909,NA,NA,NA,NA,"Floridian"
"21",395764,395764,695236,"Species","Acanthephyra pelagica","(Risso, 1816)",3,1,"Arthropoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica","Malacostraca","Decapoda",107581,NA,NA,NA,NA,"Floridian"
"22",395815,395815,395814,"Species","Acanthocarpus alexandri","Stimpson, 1871",23,3,"Arthropoda","Calappidae","Acanthocarpus","Acanthocarpus alexandri","Malacostraca","Decapoda",158044,NA,NA,NA,NA,"Floridian"
"23",395911,395911,769048,"Species","Acanthocybium solandri","(Cuvier, 1832)",843,5,"Chordata","Scombridae","Acanthocybium","Acanthocybium solandri","Actinopteri","Perciformes",127014,TRUE,"LC",NA,NA,"Floridian"
"24",395918,395918,768283,"Species","Acanthodasys aculeatus","Remane, 1927",1,1,"Gastrotricha","Thaumastodermatidae","Acanthodasys","Acanthodasys aculeatus",NA,"Macrodasyida",114618,NA,NA,NA,NA,"Floridian"
"25",395963,395963,451939,"Genus","Acanthohaustorius","Bousfield, 1965",21,4,"Arthropoda","Haustoriidae","Acanthohaustorius",NA,"Malacostraca","Amphipoda",158013,NA,NA,NA,NA,"Floridian"
"26",395965,395965,395963,"Species","Acanthohaustorius intermedius","Bousfield, 1965",2,1,"Arthropoda","Haustoriidae","Acanthohaustorius","Acanthohaustorius intermedius","Malacostraca","Amphipoda",158014,NA,NA,NA,NA,"Floridian"
"27",395966,395966,395963,"Species","Acanthohaustorius millsi","Bousfield, 1965",6,3,"Arthropoda","Haustoriidae","Acanthohaustorius","Acanthohaustorius millsi","Malacostraca","Amphipoda",158015,NA,NA,NA,NA,"Floridian"
"28",395967,395967,395963,"Species","Acanthohaustorius pansus","Thomas & J.L. Barnard, 1984",58,3,"Arthropoda","Haustoriidae","Acanthohaustorius","Acanthohaustorius pansus","Malacostraca","Amphipoda",345319,NA,NA,NA,NA,"Floridian"
"29",395968,395968,395963,"Species","Acanthohaustorius shoemakeri","Bousfield, 1965",8,3,"Arthropoda","Haustoriidae","Acanthohaustorius","Acanthohaustorius shoemakeri","Malacostraca","Amphipoda",345320,NA,NA,NA,NA,"Floridian"
"30",395970,395970,395963,"Species","Acanthohaustorius uncinus","Foster, 1989",18,4,"Arthropoda","Haustoriidae","Acanthohaustorius","Acanthohaustorius uncinus","Malacostraca","Amphipoda",345323,NA,NA,NA,NA,"Floridian"
"31",396073,396073,771677,"Species","Acanthonus armatus","Günther, 1878",1,1,"Chordata","Ophidiidae","Acanthonus","Acanthonus armatus","Actinopteri","Ophidiiformes",158998,NA,NA,NA,NA,"Floridian"
"32",396214,396214,737105,"Genus","Acanthurus","Forsskål, 1775",45,6,"Chordata","Acanthuridae","Acanthurus",NA,"Actinopteri","Perciformes",125908,NA,NA,NA,NA,"Floridian"
"33",396238,396238,396214,"Species","Acanthurus guttatus","Forster, 1801",1,1,"Chordata","Acanthuridae","Acanthurus","Acanthurus guttatus","Actinopteri","Perciformes",219650,TRUE,"LC",NA,NA,"Floridian"
"34",396260,396260,396214,"Species","Acanthurus sohal","(Forsskål, 1775)",1,1,"Chordata","Acanthuridae","Acanthurus","Acanthurus sohal","Actinopteri","Perciformes",219649,TRUE,"LC",NA,NA,"Floridian"
"35",396290,396290,405225,"Subclass","Acari","Leach, 1817",2,2,"Arthropoda",NA,NA,NA,"Arachnida",NA,292684,NA,NA,NA,NA,"Floridian"
"36",396298,396298,772018,"Genus","Acarnus","Gray, 1867",10,1,"Porifera","Acarnidae","Acarnus",NA,"Demospongiae","Poecilosclerida",167337,NA,NA,NA,NA,"Floridian"
"37",396303,396303,396298,"Species","Acarnus souriei","(Lévi, 1952)",2,1,"Porifera","Acarnidae","Acarnus","Acarnus souriei","Demospongiae","Poecilosclerida",167351,NA,NA,NA,NA,"Floridian"
"38",396381,396381,396376,"Species","Acasta cyathus","Darwin, 1854",6,1,"Arthropoda","Archaeobalanidae","Acasta","Acasta cyathus",NA,"Sessilia",370509,NA,NA,NA,NA,"Floridian"
"39",396529,396529,770277,"Genus","Acetabularia","J.V.Lamouroux, 1812",127,1,"Chlorophyta","Polyphysaceae","Acetabularia",NA,"Ulvophyceae","Dasycladales",144059,NA,NA,NA,NA,"Floridian"
"40",396549,396549,596697,"Subspecies","Acetes americanus carolinae","Hansen, 1933",4,2,"Arthropoda","Sergestidae","Acetes","Acetes americanus","Malacostraca","Decapoda",158345,NA,NA,NA,NA,"Floridian"
"41",396607,396607,400707,"Genus","Achelia","Hodge, 1864",2,1,"Arthropoda","Ammotheidae","Achelia",NA,"Pycnogonida","Pantopoda",134568,NA,NA,NA,NA,"Floridian"
"42",396799,396799,396798,"Species","Acinetospora crinita","(Carmichael) Sauvageau, 1899",1,1,"Ochrophyta","Acinetosporaceae","Acinetospora","Acinetospora crinita","Phaeophyceae","Ectocarpales",145398,NA,NA,NA,NA,"Floridian"
"43",396813,396813,396804,"Species","Acipenser oxyrinchus","Mitchill, 1815",2,1,"Chordata","Acipenseridae","Acipenser","Acipenser oxyrinchus","Actinopteri","Acipenseriformes",151802,TRUE,"NT",NA,NA,"Floridian"
"44",396838,396838,779102,"Family","Aclididae","G.O. Sars, 1878",121,3,"Mollusca","Aclididae",NA,NA,"Gastropoda","Littorinimorpha",134,NA,NA,NA,NA,"Floridian"
"45",396851,396851,396867,"Genus","Acmaea","Eschscholtz, 1833",18,3,"Mollusca","Acmaeidae","Acmaea",NA,"Gastropoda",NA,137616,NA,NA,NA,NA,"Floridian"
"46",396867,396867,779142,"Family","Acmaeidae","Forbes, 1850",27,3,"Mollusca","Acmaeidae",NA,NA,"Gastropoda",NA,114,NA,NA,NA,NA,"Floridian"
"47",396957,396957,695290,"Species","Acrocalanus andersoni","Bowman, 1958",2,1,"Arthropoda","Paracalanidae","Acrocalanus","Acrocalanus andersoni",NA,"Calanoida",104644,NA,NA,NA,NA,"Floridian"
"48",396961,396961,695290,"Species","Acrocalanus longicornis","Giesbrecht, 1888",5,2,"Arthropoda","Paracalanidae","Acrocalanus","Acrocalanus longicornis",NA,"Calanoida",104646,NA,NA,NA,NA,"Floridian"
"49",397019,397019,396983,"Species","Acrochaetium microscopicum","(Nägeli ex Kützing) Nägeli, 1858",2,1,"Rhodophyta","Acrochaetiaceae","Acrochaetium","Acrochaetium microscopicum","Florideophyceae",NA,144368,NA,NA,NA,NA,"Floridian"
"50",397029,397029,396983,"Species","Acrochaetium sancti-thomae","Børgesen, 1915",1,1,"Rhodophyta","Acrochaetiaceae","Acrochaetium","Acrochaetium sancti-thomae","Florideophyceae",NA,371136,NA,NA,NA,NA,"Floridian"
"51",397031,397031,396983,"Species","Acrochaetium savianum","(Meneghini) Nägeli, 1862",2,1,"Rhodophyta","Acrochaetiaceae","Acrochaetium","Acrochaetium savianum","Florideophyceae",NA,144386,NA,NA,NA,NA,"Floridian"
"52",397053,397053,596981,"Species","Acrocirrus frontifilis","(Grube, 1860)",6,2,"Annelida","Acrocirridae","Acrocirrus","Acrocirrus frontifilis","Polychaeta","Terebellida",129739,NA,NA,NA,NA,"Floridian"
"53",397092,397092,772910,"Genus","Acropora","Oken, 1815",23,2,"Cnidaria","Acroporidae","Acropora",NA,"Anthozoa","Scleractinia",205469,NA,NA,NA,NA,"Floridian"
"54",397439,397439,397433,"Species","Acryptolaria longitheca","(Allman, 1877)",3,1,"Cnidaria","Lafoeidae","Acryptolaria","Acryptolaria longitheca","Hydrozoa","Leptothecata",117681,NA,NA,NA,NA,"Floridian"
"55",397440,397440,397433,"Species","Acryptolaria rectangularis","(Jarvis, 1922)",3,2,"Cnidaria","Lafoeidae","Acryptolaria","Acryptolaria rectangularis","Hydrozoa","Leptothecata",284933,NA,NA,NA,NA,"Floridian"
"56",397524,397524,597146,"Species","Acteocina lepta","Woodring, 1928",268,4,"Mollusca","Acteocinidae","Acteocina","Acteocina lepta","Gastropoda","Cephalaspidea",420534,NA,NA,NA,NA,"Floridian"
"57",397533,397533,737331,"Genus","Acteon","Montfort, 1810",3,3,"Mollusca","Acteonidae","Acteon",NA,"Gastropoda","Heterobranchia incertae sedis",137618,NA,NA,NA,NA,"Floridian"
"58",397568,397568,397561,"Species","Actinauge longicornis","(Verrill, 1882)",2,1,"Cnidaria","Hormathiidae","Actinauge","Actinauge longicornis","Anthozoa","Actiniaria",158212,NA,NA,NA,NA,"Floridian"
"59",397970,397970,520628,"Genus","Actinocythereis","Puri, 1953",126,2,"Arthropoda","Trachyleberididae","Actinocythereis",NA,"Ostracoda","Podocopida",159931,NA,NA,NA,NA,"Floridian"
"60",398285,398285,768217,"Species","Adercotryma glomerata","(Brady, 1878)",3,1,"Foraminifera","Adercotrymidae","Adercotryma","Adercotryma glomerata","Globothalamea","Lituolida",113837,NA,NA,NA,NA,"Floridian"
"61",398289,398289,776119,"Species","Adinia xenica","(Jordan & Gilbert, 1882)",9,2,"Chordata","Fundulidae","Adinia","Adinia xenica","Actinopteri","Cyprinodontiformes",279509,NA,NA,NA,NA,"Floridian"
"62",398324,398324,773089,"Species","Admetella longipedata","(McIntosh, 1885)",2,2,"Annelida","Polynoidae","Admetella","Admetella longipedata","Polychaeta","Phyllodocida",214466,NA,NA,NA,NA,"Floridian"
"63",398380,398380,778545,"Species","Aechmophorus occidentalis","(Lawrence, 1858)",3,1,"Chordata","Podicipedidae","Aechmophorus","Aechmophorus occidentalis","Aves","Podicipediformes",366617,TRUE,"LC",NA,NA,"Floridian"
"64",398401,398401,398391,"Species","Aega dentata","Schioedte & Meinert, 1879",2,2,"Arthropoda","Aegidae","Aega","Aega dentata","Malacostraca","Isopoda",NA,NA,NA,NA,NA,"Floridian"
"65",398412,398412,398391,"Species","Aega psora","(Linnaeus, 1758)",4,1,"Arthropoda","Aegidae","Aega","Aega psora","Malacostraca","Isopoda",118827,NA,NA,NA,NA,"Floridian"
"66",398431,398431,398430,"Species","Aegathoa oculata","(Say, 1818)",2,1,"Arthropoda","Cymothoidae","Aegathoa","Aegathoa oculata","Malacostraca","Isopoda",258695,NA,NA,NA,NA,"Floridian"
"67",398508,398508,737469,"Genus","Aeolidia","Cuvier, 1798",2,1,"Mollusca","Aeolidiidae","Aeolidia",NA,"Gastropoda","Nudibranchia",137630,NA,NA,NA,NA,"Floridian"
"68",398552,398552,1011602,"Genus","Aequipecten","P. Fischer, 1886",1,1,"Mollusca","Pectinidae","Aequipecten",NA,"Bivalvia","Pectinoida",138313,NA,NA,NA,NA,"Floridian"
"69",398559,398559,398552,"Species","Aequipecten opercularis","(Linnaeus, 1758)",1,1,"Mollusca","Pectinidae","Aequipecten","Aequipecten opercularis","Bivalvia","Pectinoida",140687,NA,NA,NA,NA,"Floridian"
"70",398561,398561,767084,"Genus","Aequorea","Péron & Lesueur, 1810",5,1,"Cnidaria","Aequoreidae","Aequorea",NA,"Hydrozoa","Leptothecata",116998,NA,NA,NA,NA,"Floridian"
"71",398568,398568,398561,"Species","Aequorea macrodactyla","(Brandt, 1835)",1,1,"Cnidaria","Aequoreidae","Aequorea","Aequorea macrodactyla","Hydrozoa","Leptothecata",117271,NA,NA,NA,NA,"Floridian"
"72",398571,398571,398561,"Species","Aequorea pensilis","(Haeckel, 1879)",4,1,"Cnidaria","Aequoreidae","Aequorea","Aequorea pensilis","Hydrozoa","Leptothecata",117272,NA,NA,NA,NA,"Floridian"
"73",398572,398572,398561,"Species","Aequorea victoria","(Murbach & Shearer, 1902)",1,1,"Cnidaria","Aequoreidae","Aequorea","Aequorea victoria","Hydrozoa","Leptothecata",283998,NA,NA,NA,NA,"Floridian"
"74",398594,398594,695340,"Species","Aesopus stearnsii","(Tryon, 1883)",4,4,"Mollusca","Columbellidae","Aesopus","Aesopus stearnsii","Gastropoda","Neogastropoda",409950,NA,NA,NA,NA,"Floridian"
"75",398598,398598,398597,"Species","Aetea anguina","(Linnaeus, 1758)",2,1,"Bryozoa","Aeteidae","Aetea","Aetea anguina","Gymnolaemata","Cheilostomatida",111062,NA,NA,NA,NA,"Floridian"
"76",398602,398602,398597,"Species","Aetea sica","(Couch, 1844)",2,2,"Bryozoa","Aeteidae","Aetea","Aetea sica","Gymnolaemata","Cheilostomatida",111066,NA,NA,NA,NA,"Floridian"
"77",398603,398603,398597,"Species","Aetea truncata","(Landsborough, 1852)",4,2,"Bryozoa","Aeteidae","Aetea","Aetea truncata","Gymnolaemata","Cheilostomatida",111067,NA,NA,NA,NA,"Floridian"
"78",398639,398639,398635,"Species","Aetideopsis multiserrata","(Wolfenden, 1904)",3,2,"Arthropoda","Aetideidae","Aetideopsis","Aetideopsis multiserrata",NA,"Calanoida",104270,NA,NA,NA,NA,"Floridian"
"79",398644,398644,398634,"Genus","Aetideus","Brady, 1883",1,1,"Arthropoda","Aetideidae","Aetideus",NA,NA,"Calanoida",104112,NA,NA,NA,NA,"Floridian"
"80",398647,398647,398644,"Species","Aetideus armatus","(Boeck, 1872)",1,1,"Arthropoda","Aetideidae","Aetideus","Aetideus armatus",NA,"Calanoida",104275,NA,NA,NA,NA,"Floridian"
"81",398667,398667,398665,"Species","Aeverrillia setigera","(Hincks, 1887)",5,3,"Bryozoa","Aeverrilliidae","Aeverrillia","Aeverrillia setigera","Gymnolaemata","Ctenostomatida",159762,NA,NA,NA,NA,"Floridian"
"82",398748,398748,398744,"Species","Agalma okeni","Eschscholtz, 1825",5,2,"Cnidaria","Agalmatidae","Agalma","Agalma okeni","Hydrozoa","Siphonophorae",135485,NA,NA,NA,NA,"Floridian"
"83",398768,398768,695348,"Species","Agaricia humilis","Verrill, 1901",6,2,"Cnidaria","Agariciidae","Agaricia","Agaricia humilis","Anthozoa","Scleractinia",287914,TRUE,"LC",NA,NA,"Floridian"
"84",398779,398779,695348,"Species","Agaricia undata","(Ellis & Solander, 1786)",1,1,"Cnidaria","Agariciidae","Agaricia","Agaricia undata","Anthozoa","Scleractinia",287917,TRUE,"DD",NA,NA,"Floridian"
"85",398817,398817,769376,"Genus","Agelas","Duchassaing & Michelotti, 1864",2,2,"Porifera","Agelasidae","Agelas",NA,"Demospongiae","Agelasida",131771,NA,NA,NA,NA,"Floridian"
"86",398819,398819,398817,"Species","Agelas clathrodes","(Schmidt, 1870)",1,1,"Porifera","Agelasidae","Agelas","Agelas clathrodes","Demospongiae","Agelasida",164823,NA,NA,NA,NA,"Floridian"
"87",398822,398822,398817,"Species","Agelas dispar","Duchassaing & Michelotti, 1864",1,1,"Porifera","Agelasidae","Agelas","Agelas dispar","Demospongiae","Agelasida",164827,NA,NA,NA,NA,"Floridian"
"88",398828,398828,398817,"Species","Agelas schmidti","Wilson, 1902",1,1,"Porifera","Agelasidae","Agelas","Agelas schmidti","Demospongiae","Agelasida",164842,NA,NA,NA,NA,"Floridian"
"89",398863,398863,598231,"Species","Aglaophamus circinata","(Verrill in Smith & Harger, 1874)",27,5,"Annelida","Nephtyidae","Aglaophamus","Aglaophamus circinata","Polychaeta","Phyllodocida",157145,NA,NA,NA,NA,"Floridian"
"90",398909,398909,398885,"Species","Aglaophenia trifida","Agassiz, 1862",4,2,"Cnidaria","Aglaopheniidae","Aglaophenia","Aglaophenia trifida","Hydrozoa","Leptothecata",284059,NA,NA,NA,NA,"Floridian"
"91",398917,398917,398914,"Species","Aglaothamnion cordatum","(Børgesen) Feldmann-Mazoyer, 1941",2,1,"Rhodophyta","Callithamniaceae","Aglaothamnion","Aglaothamnion cordatum","Florideophyceae","Ceramiales",144492,NA,NA,NA,NA,"Floridian"
"92",398923,398923,398914,"Species","Aglaothamnion roseum","(Roth) Maggs & L'Hardy-Halos, 1993",1,1,"Rhodophyta","Callithamniaceae","Aglaothamnion","Aglaothamnion roseum","Florideophyceae","Ceramiales",144499,NA,NA,NA,NA,"Floridian"
"93",398929,398929,398914,"Species","Aglaothamnion uruguayense","(W.R.Taylor) N.E.Aponte, D.L.Ballantine & J.N.Norris, 1994",1,1,"Rhodophyta","Callithamniaceae","Aglaothamnion","Aglaothamnion uruguayense","Florideophyceae","Ceramiales",373042,NA,NA,NA,NA,"Floridian"
"94",398933,398933,737560,"Species","Aglaura hemistoma","Péron & Lesueur, 1810",5,1,"Cnidaria","Rhopalonematidae","Aglaura","Aglaura hemistoma","Hydrozoa","Trachymedusae",117851,NA,NA,NA,NA,"Floridian"
"95",399039,399039,768954,"Species","Ahliesaurus berryi","Bertelsen, Krefft & Marshall, 1976",3,1,"Chordata","Notosudidae","Ahliesaurus","Ahliesaurus berryi","Actinopteri","Aulopiformes",126347,NA,NA,NA,NA,"Floridian"
"96",399088,399088,399087,"Species","Aiolochroia crassa","(Hyatt, 1875)",12,1,"Porifera","Aplysinidae","Aiolochroia","Aiolochroia crassa","Demospongiae","Verongiida",169632,NA,NA,NA,NA,"Floridian"
"97",399126,399126,771672,"Species","Aix sponsa","(Linnaeus, 1758)",4,1,"Chordata","Anatidae","Aix","Aix sponsa","Aves","Anseriformes",158938,TRUE,"LC",NA,NA,"Floridian"
"98",399251,399251,695389,"Species","Albunea gibbesii","Stimpson, 1859",13,3,"Arthropoda","Albuneidae","Albunea","Albunea gibbesii","Malacostraca","Decapoda",421880,NA,NA,NA,NA,"Floridian"
"99",399333,399333,399317,"Species","Alcyonidium polyoum","(Hassall, 1841)",2,1,"Bryozoa","Alcyonidiidae","Alcyonidium","Alcyonidium polyoum","Gymnolaemata","Ctenostomatida",153717,NA,NA,NA,NA,"Floridian"
"100",399384,399384,737643,"Species","Aldrovandia affinis","(Günther, 1877)",2,1,"Chordata","Halosauridae","Aldrovandia","Aldrovandia affinis","Actinopteri","Notacanthiformes",126637,NA,NA,NA,NA,"Floridian"
"101",399447,399447,598612,"Species","Alepisaurus ferox","Lowe, 1833",5,1,"Chordata","Alepisauridae","Alepisaurus","Alepisaurus ferox","Actinopteri","Aulopiformes",126333,TRUE,"LC",NA,NA,"Floridian"
"102",399451,399451,737659,"Species","Alepocephalus agassizii","Goode & Bean, 1883",2,1,"Chordata","Alepocephalidae","Alepocephalus","Alepocephalus agassizii","Actinopteri","Osmeriformes",126681,NA,NA,NA,NA,"Floridian"
"103",399470,399470,737659,"Species","Alepocephalus productus","Gill, 1883",1,1,"Chordata","Alepocephalidae","Alepocephalus","Alepocephalus productus","Actinopteri","Osmeriformes",126683,NA,NA,NA,NA,"Floridian"
"104",399539,399539,460291,"Genus","Aligena","H. C. Lea, 1843",6,2,"Mollusca","Lasaeidae","Aligena",NA,"Bivalvia",NA,156814,NA,NA,NA,NA,"Floridian"
"105",399552,399552,737681,"Species","Alima neptuni","(Linnaeus, 1768)",1,1,"Arthropoda","Squillidae","Alima","Alima neptuni","Malacostraca","Stomatopoda",409168,NA,NA,NA,NA,"Floridian"
"106",399565,399565,774445,"Species","Alitta succinea","(Leuckart, 1847)",107,7,"Annelida","Nereididae","Alitta","Alitta succinea","Polychaeta","Phyllodocida",234850,NA,NA,TRUE,NA,"Floridian"
"107",399583,399583,769789,"Species","Alle alle","(Linnaeus, 1758)",6,1,"Chordata","Alcidae","Alle","Alle alle","Aves","Charadriiformes",137129,TRUE,"LC",NA,NA,"Floridian"
"108",399750,399750,767629,"Genus","Alopias","Rafinesque, 1810",7,1,"Chordata","Alopiidae","Alopias",NA,"Elasmobranchii","Lamniformes",105740,NA,NA,NA,NA,"Floridian"
"109",399767,399767,598830,"Species","Alosa pseudoharengus","(Wilson, 1811)",3,3,"Chordata","Clupeidae","Alosa","Alosa pseudoharengus","Actinopteri","Clupeiformes",158669,TRUE,"LC",TRUE,NA,"Floridian"
"110",399779,399779,767767,"Family","Alpheidae","Rafinesque, 1815",77,4,"Arthropoda","Alpheidae",NA,NA,"Malacostraca","Decapoda",106776,NA,NA,NA,NA,"Floridian"
"111",399798,399798,399779,"Genus","Alpheus","Fabricius, 1798",317,6,"Arthropoda","Alpheidae","Alpheus",NA,"Malacostraca","Decapoda",106978,NA,NA,NA,NA,"Floridian"
"112",399822,399822,399798,"Species","Alpheus bouvieri","A. Milne-Edwards, 1878",11,3,"Arthropoda","Alpheidae","Alpheus","Alpheus bouvieri","Malacostraca","Decapoda",240846,NA,NA,NA,NA,"Floridian"
"113",399837,399837,399798,"Species","Alpheus cristulifrons","Rathbun, 1900",1,1,"Arthropoda","Alpheidae","Alpheus","Alpheus cristulifrons","Malacostraca","Decapoda",240847,NA,NA,NA,NA,"Floridian"
"114",399868,399868,399798,"Species","Alpheus heterochaelis","Say, 1818",1657,5,"Arthropoda","Alpheidae","Alpheus","Alpheus heterochaelis","Malacostraca","Decapoda",158348,NA,NA,NA,NA,"Floridian"
"115",399888,399888,399798,"Species","Alpheus macrocheles","(Hailstone, 1835)",6,2,"Arthropoda","Alpheidae","Alpheus","Alpheus macrocheles","Malacostraca","Decapoda",107479,NA,NA,NA,NA,"Floridian"
"116",399902,399902,399798,"Species","Alpheus normanni","Kingsley, 1878",2621,6,"Arthropoda","Alpheidae","Alpheus","Alpheus normanni","Malacostraca","Decapoda",158349,NA,NA,NA,NA,"Floridian"
"117",399910,399910,399798,"Species","Alpheus paracrinitus","Miers, 1881",3,1,"Arthropoda","Alpheidae","Alpheus","Alpheus paracrinitus","Malacostraca","Decapoda",210522,NA,NA,NA,NA,"Floridian"
"118",400039,400039,599075,"Species","Aluterus schoepfii","(Walbaum, 1792)",19,8,"Chordata","Monacanthidae","Aluterus","Aluterus schoepfii","Actinopteri","Tetraodontiformes",159490,NA,NA,NA,NA,"Floridian"
"119",400043,400043,504575,"Genus","Alvania","Risso, 1826",47,3,"Mollusca","Rissoidae","Alvania",NA,"Gastropoda","Littorinimorpha",138439,NA,NA,NA,NA,"Floridian"
"120",400111,400111,772910,"Genus","Alveopora","Blainville, 1830",1,1,"Cnidaria","Acroporidae","Alveopora",NA,"Anthozoa","Scleractinia",206945,NA,NA,NA,NA,"Floridian"
"121",400140,400140,400134,"Species","Alvinocaris muricola","Williams, 1988",4,2,"Arthropoda","Alvinocarididae","Alvinocaris","Alvinocaris muricola","Malacostraca","Decapoda",378092,NA,NA,NA,NA,"Floridian"
"122",400166,400166,599174,"Species","Amaeana trilobata","(Sars, 1863)",44,5,"Annelida","Terebellidae","Amaeana","Amaeana trilobata","Polychaeta","Terebellida",131471,NA,NA,NA,NA,"Floridian"
"123",400174,400174,403809,"Genus","Amakusanthura","Nunomura, 1977",26,2,"Arthropoda","Anthuridae","Amakusanthura",NA,"Malacostraca","Isopoda",118287,NA,NA,NA,NA,"Floridian"
"124",400188,400188,400174,"Species","Amakusanthura magnifica","(Menzies & Frankenberg, 1966)",800,6,"Arthropoda","Anthuridae","Amakusanthura","Amakusanthura magnifica","Malacostraca","Isopoda",255365,NA,NA,NA,NA,"Floridian"
"125",400193,400193,400174,"Species","Amakusanthura signata","(Menzies & Glynn, 1968)",152,4,"Arthropoda","Anthuridae","Amakusanthura","Amakusanthura signata","Malacostraca","Isopoda",255374,NA,NA,NA,NA,"Floridian"
"126",400259,400259,774014,"Species","Amansia multifida","J.V.Lamouroux, 1809",1,1,"Rhodophyta","Rhodomelaceae","Amansia","Amansia multifida","Florideophyceae","Ceramiales",213668,NA,NA,NA,NA,"Floridian"
