"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","family","genus","species","class","order","redlist","status","hab","ecoregion"
"73",408103,408103,628170,"Family","Atylidae","Lilljeborg, 1865",146525,1,1,"Arthropoda","Atylidae",NA,NA,"Malacostraca","Amphipoda",NA,NA,NA,"Channels and Fjords of Southern Chile"
"74",408235,408235,739308,"Genus","Augaptilus","Giesbrecht, 1889",104137,9,1,"Arthropoda","Augaptilidae","Augaptilus",NA,NA,"Calanoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"75",408245,408245,408242,"Species","Augeneria tentaculata","Monro, 1930",130225,2,1,"Annelida","Lumbrineridae","Augeneria","Augeneria tentaculata","Polychaeta","Eunicida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"76",408320,408320,474816,"Genus","Aulacomya","Mörch, 1853",224603,1,1,"Mollusca","Mytilidae","Aulacomya",NA,"Bivalvia","Mytiloida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"77",408592,408592,408590,"Species","Austrocidaris spinulosa","Mortensen, 1910",160788,13,2,"Echinodermata","Cidaridae","Austrocidaris","Austrocidaris spinulosa","Echinoidea","Cidaroida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"78",408659,408659,776220,"Species","Austrolycus laticinctus","(Berg, 1895)",279844,4,3,"Chordata","Zoarcidae","Austrolycus","Austrolycus laticinctus","Actinopteri","Perciformes",NA,NA,NA,"Channels and Fjords of Southern Chile"
"79",410290,410290,410289,"Species","Bathybiaster loripes","Sladen, 1889",172715,22,3,"Echinodermata","Astropectinidae","Bathybiaster","Bathybiaster loripes","Asteroidea","Paxillosida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"80",410486,410486,605725,"Species","Bathylagus euryops","Goode & Bean, 1896",126719,1,1,"Chordata","Bathylagidae","Bathylagus","Bathylagus euryops","Actinopteri","Osmeriformes",NA,NA,NA,"Channels and Fjords of Southern Chile"
"81",410656,410656,605849,"Species","Bathypathes patula","Brook, 1889",103323,4,2,"Cnidaria","Schizopathidae","Bathypathes","Bathypathes patula","Anthozoa","Antipatharia",NA,NA,NA,"Channels and Fjords of Southern Chile"
"82",410683,410683,671919,"Genus","Bathyplotes","Östergren, 1896",123460,2,1,"Echinodermata","Synallactidae","Bathyplotes",NA,"Holothuroidea","Aspidochirotida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"83",410764,410764,739716,"Species","Bathyraja albomaculata","(Norman, 1937)",271505,1,1,"Chordata","Arhynchobatidae","Bathyraja","Bathyraja albomaculata","Elasmobranchii","Rajiformes",NA,NA,NA,"Channels and Fjords of Southern Chile"
"84",410766,410766,739716,"Species","Bathyraja brachyurops","(Fowler, 1910)",271509,7,4,"Chordata","Arhynchobatidae","Bathyraja","Bathyraja brachyurops","Elasmobranchii","Rajiformes",TRUE,"LC",NA,"Channels and Fjords of Southern Chile"
"85",410783,410783,739716,"Species","Bathyraja magellanica","(Philippi, 1902)",271521,1,1,"Chordata","Arhynchobatidae","Bathyraja","Bathyraja magellanica","Elasmobranchii","Rajiformes",NA,NA,NA,"Channels and Fjords of Southern Chile"
"86",410855,410855,605946,"Species","Bathyteuthis abyssicola","Hoyle, 1885",138848,13,1,"Mollusca","Bathyteuthidae","Bathyteuthis","Bathyteuthis abyssicola","Cephalopoda","Decapodiformes incertae sedis",TRUE,"LC",NA,"Channels and Fjords of Southern Chile"
"87",410981,410981,410970,"Species","Beania magellanica","(Busk, 1852)",111071,5,3,"Bryozoa","Beaniidae","Beania","Beania magellanica","Gymnolaemata","Cheilostomatida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"88",411240,411240,411237,"Species","Benthalbella elongata","(Norman, 1937)",234655,1,1,"Chordata","Scopelarchidae","Benthalbella","Benthalbella elongata","Actinopteri","Aulopiformes",NA,NA,NA,"Channels and Fjords of Southern Chile"
"89",411249,411249,411247,"Species","Bentharca asperula","(Dall, 1881)",138801,2,1,"Mollusca","Arcidae","Bentharca","Bentharca asperula","Bivalvia","Arcoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"90",411350,411350,411346,"Species","Benthodytes sanguinolenta","Théel, 1882",241785,1,1,"Echinodermata","Psychropotidae","Benthodytes","Benthodytes sanguinolenta","Holothuroidea","Elasipodida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"91",411807,411807,835942,"Genus","Bittium","Gray, 1847",137758,3,1,"Mollusca","Cerithiidae","Bittium",NA,"Gastropoda","Caenogastropoda incertae sedis",NA,NA,NA,"Channels and Fjords of Southern Chile"
"92",411975,411975,606601,"Species","Boccardia chilensis","Blake & Woodwick, 1971",327242,1,1,"Annelida","Spionidae","Boccardia","Boccardia chilensis","Polychaeta","Spionida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"93",411980,411980,606601,"Species","Boccardia polybranchia","(Haswell, 1885)",131111,16,1,"Annelida","Spionidae","Boccardia","Boccardia polybranchia","Polychaeta","Spionida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"94",412162,412162,606664,"Species","Bolivina compacta","Sidebottom, 1905",112970,1,1,"Foraminifera","Bolivinitidae","Bolivina","Bolivina compacta","Globothalamea","Rotaliida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"95",412225,412225,739994,"Species","Bolocera kerguelensis","Studer, 1879",283381,30,4,"Cnidaria","Actiniidae","Bolocera","Bolocera kerguelensis","Anthozoa","Actiniaria",NA,NA,NA,"Channels and Fjords of Southern Chile"
"96",412234,412234,739994,"Species","Bolocera tuediae","(Johnston, 1832)",100817,2,2,"Cnidaria","Actiniidae","Bolocera","Bolocera tuediae","Anthozoa","Actiniaria",NA,NA,NA,"Channels and Fjords of Southern Chile"
"97",412246,412246,775787,"Species","Boloceropsis platei","McMurrich, 1904",289526,2,2,"Cnidaria","Actiniidae","Boloceropsis","Boloceropsis platei","Anthozoa","Actiniaria",NA,NA,NA,"Channels and Fjords of Southern Chile"
"98",412429,412429,740024,"Species","Borostomias antarcticus","(Lönnberg, 1905)",127334,3,2,"Chordata","Stomiidae","Borostomias","Borostomias antarcticus","Actinopteri","Stomiiformes",NA,NA,NA,"Channels and Fjords of Southern Chile"
"99",412487,412487,768219,"Species","Botellina labyrinthica","Brady, 1881",113864,1,1,"Foraminifera","Botellinidae","Botellina","Botellina labyrinthica","Monothalamea","Astrorhizida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"100",413210,413210,696056,"Species","Brisaster moseleyi","(A. Agassiz, 1881)",160791,31,3,"Echinodermata","Schizasteridae","Brisaster","Brisaster moseleyi","Echinoidea","Spatangoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"101",413655,413655,1014220,"Genus","Bulbamphiascus","Lang, 1944",115306,7,1,"Arthropoda","Miraciidae","Bulbamphiascus",NA,NA,"Harpacticoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"102",413791,413791,740355,"Species","Bunodactis octoradiata","(Carlgren, 1899)",283398,38,2,"Cnidaria","Actiniidae","Bunodactis","Bunodactis octoradiata","Anthozoa","Actiniaria",NA,NA,NA,"Channels and Fjords of Southern Chile"
"103",413996,413996,740412,"Species","Bythaelurus canescens","(Günther, 1878)",316762,7,2,"Chordata","Scyliorhinidae","Bythaelurus","Bythaelurus canescens","Elasmobranchii","Carcharhiniformes",TRUE,"DD",NA,"Channels and Fjords of Southern Chile"
"104",414044,414044,414041,"Species","Caberea darwinii","Busk, 1884",173077,1,1,"Bryozoa","Candidae","Caberea","Caberea darwinii","Gymnolaemata","Cheilostomatida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"105",414096,414096,445071,"Genus","Cadulus","Philippi, 1844",138024,2,1,"Mollusca","Gadilidae","Cadulus",NA,"Scaphopoda","Gadilida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"106",414434,414434,608154,"Species","Calanoides acutus","(Giesbrecht, 1902)",342434,1,1,"Arthropoda","Calanidae","Calanoides","Calanoides acutus",NA,"Calanoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"107",414462,414462,414431,"Genus","Calanus","Leach, 1816",104152,6,1,"Arthropoda","Calanidae","Calanus",NA,NA,"Calanoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"108",414479,414479,414462,"Species","Calanus propinquus","Brady, 1883",342435,4,1,"Arthropoda","Calanidae","Calanus","Calanus propinquus",NA,"Calanoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"109",414480,414480,414462,"Species","Calanus simillimus","Giesbrecht, 1902",342436,9,1,"Arthropoda","Calanidae","Calanus","Calanus simillimus",NA,"Calanoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"110",414543,414543,774525,"Species","Calcidiscus leptoporus","(G.Murray & V.H.Blackman) Loeblich Jr. & Tappan, 1978",235923,2,1,"Haptophyta","Calcidiscaceae","Calcidiscus","Calcidiscus leptoporus","Prymnesiophyceae","Coccolithales",NA,NA,NA,"Channels and Fjords of Southern Chile"
"111",415382,415382,769379,"Genus","Callyspongia","Duchassaing & Michelotti, 1864",131825,2,2,"Porifera","Callyspongiidae","Callyspongia",NA,"Demospongiae","Haplosclerida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"112",415663,415663,415677,"Genus","Calyptraea","Lamarck, 1799",137721,4,1,"Mollusca","Calyptraeidae","Calyptraea",NA,"Gastropoda","Littorinimorpha",NA,NA,NA,"Channels and Fjords of Southern Chile"
"113",415677,415677,779100,"Family","Calyptraeidae","Lamarck, 1809",141,3,1,"Mollusca","Calyptraeidae",NA,NA,"Gastropoda","Littorinimorpha",NA,NA,NA,"Channels and Fjords of Southern Chile"
"114",416042,416042,416082,"Genus","Cancellaria","Lamarck, 1799",137726,2,1,"Mollusca","Cancellariidae","Cancellaria",NA,"Gastropoda","Neogastropoda",NA,NA,NA,"Channels and Fjords of Southern Chile"
"115",416145,416145,768160,"Species","Cancris auriculus","(Fichtel & Moll, 1798)",112940,1,1,"Foraminifera","Cancrisidae","Cancris","Cancris auriculus","Globothalamea","Rotaliida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"116",416445,416445,780126,"Genus","Caprella","Lamarck, 1801",101430,5,2,"Arthropoda","Caprellidae","Caprella",NA,"Malacostraca","Amphipoda",NA,NA,NA,"Channels and Fjords of Southern Chile"
"117",416494,416494,763741,"Family","Caprellidae","Leach, 1814",101361,6,1,"Arthropoda","Caprellidae",NA,NA,"Malacostraca","Amphipoda",NA,NA,NA,"Channels and Fjords of Southern Chile"
"118",416906,416906,816649,"Genus","Carditella","E. A. Smith, 1881",196904,5,1,"Mollusca","Condylocardiidae","Carditella",NA,"Bivalvia","Carditoida",NA,NA,NA,"Channels and Fjords of Southern Chile"
"119",417022,417022,696262,"Species","Careproctus pallidus","(Vaillant, 1888)",274455,4,3,"Chordata","Liparidae","Careproctus","Careproctus pallidus","Actinopteri","Scorpaeniformes",TRUE,"DD",NA,"Channels and Fjords of Southern Chile"
